candidate,party,percent,votes,office
"BROWN, ROBERT",REP,9.78%,457,UNITED STATES SENATOR (Republican)
"MELTON, ROYLE WILLIAM",REP,7.04%,329,UNITED STATES SENATOR (Republican)
POLIAK,REP,1.24%,58,UNITED STATES SENATOR (Republican)
"TILLEY, CHERIE M.",REP,7.38%,345,UNITED STATES SENATOR (Republican)
"WEGNER, KENNETH A.",REP,17.05%,797,UNITED STATES SENATOR (Republican)
"ZISER, RICHARD",REP,42.22%,"1,974",UNITED STATES SENATOR (Republican)
None of these Candidates,,15.29%,715,UNITED STATES SENATOR (Republican)
"BENNETT, DAVID JEROME",DEM,47.85%,"1,314",REPRESENTATIVE IN CONGRESS DISTRICT 2 (Democratic)
"COCHRAN, ANGIE G.",DEM,52.15%,"1,432",REPRESENTATIVE IN CONGRESS DISTRICT 2 (Democratic)
"ASHWORTH, DON",NP,9.86%,821,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"HARDESTY, JIM",NP,61.66%,"5,136",JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"MIRCH, KEVIN J.",NP,3.39%,282,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"STEEL, CYNTHIA",NP,16.16%,"1,346",JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
None of these Candidates,,8.93%,744,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"BROWN, LORI LIPMAN",NP,17.01%,"1,395",JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"MASON, JOHN E.",NP,30.54%,"2,505",JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"PARRAGUIRRE, RON",NP,33.35%,"2,735",JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"SMITH, DOUG",NP,8.74%,717,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
None of these Candidates,,10.36%,850,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"COOK, DAVE",NP,40.88%,"3,299",STATE BOARD OF EDUCATION DISTRICT 9 (Nonpartisan)
"MYERS, BARBARA J.",NP,26.78%,"2,161",STATE BOARD OF EDUCATION DISTRICT 9 (Nonpartisan)
"WILKE, STACIE",NP,32.34%,"2,610",STATE BOARD OF EDUCATION DISTRICT 9 (Nonpartisan)
"STAUB, RICHARD S",NP,100.00%,"7,066",SUPERVISOR WARD 4 (Nonpartisan)
"LEMAIRE, JAMES",NP,100.00%,"6,958",SCHOOL TRUSTEE DISTRICT 2 (Nonpartisan)
"BROWN, ROBERT",REP,17.85%,678,UNITED STATES SENATOR (Republican)
"MELTON, ROYLE WILLIAM",REP,5.61%,213,UNITED STATES SENATOR (Republican)
POLIAK,REP,1.34%,51,UNITED STATES SENATOR (Republican)
"TILLEY, CHERIE M.",REP,27.99%,"1,063",UNITED STATES SENATOR (Republican)
"WEGNER, KENNETH A.",REP,8.48%,322,UNITED STATES SENATOR (Republican)
"ZISER, RICHARD",REP,17.59%,668,UNITED STATES SENATOR (Republican)
None of these Candidates,,21.14%,803,UNITED STATES SENATOR (Republican)
"BENNETT, DAVID JEROME",DEM,43.50%,636,REPRESENTATIVE IN CONGRESS DISTRICT 2 (Democratic)
"COCHRAN, ANGIE G.",DEM,56.50%,826,REPRESENTATIVE IN CONGRESS DISTRICT 2 (Democratic)
