candidate,party,percent,votes,office
"BROWN, ROBERT",REP,10.85%,320,UNITED STATES SENATOR (Republican)
"MELTON, ROYLE WILLIAM",REP,13.76%,406,UNITED STATES SENATOR (Republican)
POLIAK,REP,1.12%,33,UNITED STATES SENATOR (Republican)
"TILLEY, CHERIE M.",REP,5.63%,166,UNITED STATES SENATOR (Republican)
"WEGNER, KENNETH A.",REP,16.00%,472,UNITED STATES SENATOR (Republican)
"ZISER, RICHARD",REP,36.51%,"1,077",UNITED STATES SENATOR (Republican)
None of these Candidates,,16.14%,476,UNITED STATES SENATOR (Republican)
"BENNETT, DAVID JEROME",DEM,47.20%,589,REPRESENTATIVE IN CONGRESS DISTRICT 2 (Democratic)
"COCHRAN, ANGIE G.",DEM,52.80%,659,REPRESENTATIVE IN CONGRESS DISTRICT 2 (Democratic)
"MCGINNESS, MIKE",REP,90.11%,"2,689",CENTRAL NEVADA SENATORIAL DISTRICT (Republican)
"O'CONNOR, JOHN",REP,9.89%,295,CENTRAL NEVADA SENATORIAL DISTRICT (Republican)
"ASHWORTH, DON",NP,7.86%,370,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"HARDESTY, JIM",NP,61.38%,"2,890",JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"MIRCH, KEVIN J.",NP,2.93%,138,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"STEEL, CYNTHIA",NP,17.08%,804,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
None of these Candidates,,10.75%,506,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"BROWN, LORI LIPMAN",NP,15.19%,710,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"MASON, JOHN E.",NP,35.89%,"1,677",JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"PARRAGUIRRE, RON",NP,26.88%,"1,256",JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"SMITH, DOUG",NP,8.07%,377,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
None of these Candidates,,13.97%,653,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
