candidate,party,percent,votes,office
"BROWN, ROBERT",REP,23.67%,164,UNITED STATES SENATOR (Republican)
"MELTON, ROYLE WILLIAM",REP,4.18%,29,UNITED STATES SENATOR (Republican)
POLIAK,REP,2.02%,14,UNITED STATES SENATOR (Republican)
"TILLEY, CHERIE M.",REP,16.02%,111,UNITED STATES SENATOR (Republican)
"WEGNER, KENNETH A.",REP,13.56%,94,UNITED STATES SENATOR (Republican)
"ZISER, RICHARD",REP,10.53%,73,UNITED STATES SENATOR (Republican)
None of these Candidates,,30.01%,208,UNITED STATES SENATOR (Republican)
"BENNETT, DAVID JEROME",DEM,53.76%,393,REPRESENTATIVE IN CONGRESS DISTRICT 2 (Democratic)
"COCHRAN, ANGIE G.",DEM,46.24%,338,REPRESENTATIVE IN CONGRESS DISTRICT 2 (Democratic)
"ASHWORTH, DON",NP,24.69%,420,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"HARDESTY, JIM",NP,29.45%,501,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"MIRCH, KEVIN J.",NP,4.29%,73,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"STEEL, CYNTHIA",NP,18.40%,313,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
None of these Candidates,,23.16%,394,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"BROWN, LORI LIPMAN",NP,20.59%,347,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"MASON, JOHN E.",NP,11.34%,191,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"PARRAGUIRRE, RON",NP,33.06%,557,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"SMITH, DOUG",NP,9.20%,155,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
None of these Candidates,,25.82%,435,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"CHACHAS, GEORGE C.",DEM,48.62%,439,COUNTY COMMISSIONER SEAT 2 (Democratic)
"NELSON, MARGARET",DEM,51.38%,464,COUNTY COMMISSIONER SEAT 2 (Democratic)
"HILTON, BURTON W.",REP,49.40%,328,COUNTY COMMISSIONER SEAT 2 (Republican)
"POUND, DAVID",REP,50.60%,336,COUNTY COMMISSIONER SEAT 2 (Republican)
"PROVOST, DAVID E.",REP,43.58%,312,COUNTY COMMISSIONER SEAT 3 (Republican)
"URRIZAGA, RAYMOND",REP,56.42%,404,COUNTY COMMISSIONER SEAT 3 (Republican)
"ELDRIDGE, CLINTON",REP,66.99%,489,COUNTY COMMISSIONER SEAT 4 (Republican)
"MANGUM, ELAINE",REP,33.01%,241,COUNTY COMMISSIONER SEAT 4 (Republican)
"CHACHAS, IRENE L.",NP,100.00%,"1,532",SCHOOL BOARD TRUSTEE SEAT C (Nonpartisan)
"ZADOW, CHERYL J.",NP,100.00%,"1,478",SCHOOL BOARD TRUSTEE SEAT D (Nonpartisan)
"HILL, BUNNY",NP,100.00%,"1,454",SCHOOL BOARD TRUSTEE SEAT F (Nonpartisan)
"TERRY, GLENN",NP,100.00%,"1,449",SCHOOL BOARD TRUSTEE SEAT G (Nonpartisan)
"HORSLEY, RONALD",NP,100.00%,"1,472",SOIL CONSERVATION SEAT AA (Nonpartisan)
"WINES, STERLING",NP,100.00%,"1,505",SOIL CONSERVATION SEAT CC (Nonpartisan)
