candidate,party,percent,votes,office
"BROWN, ROBERT",REP,14.89%,98,U.S. Senate (Republican)
"MELTON, ROYLE WILLIAM",REP,7.60%,50,U.S. Senate (Republican)
POLIAK,REP,2.58%,17,U.S. Senate (Republican)
"TILLEY, CHERIE M.",REP,10.79%,71,U.S. Senate (Republican)
"WEGNER, KENNETH A.",REP,27.05%,178,U.S. Senate (Republican)
"ZISER, RICHARD",REP,15.81%,104,U.S. Senate (Republican)
None of these Candidates,,21.28%,140,U.S. Senate (Republican)
"BENNETT, DAVID JEROME",DEM,42.48%,130,REPRESENTATIVE IN CONGRESS DISTRICT 2 (Democratic)
"COCHRAN, ANGIE G.",DEM,57.52%,176,REPRESENTATIVE IN CONGRESS DISTRICT 2 (Democratic)
"ASHWORTH, DON",NP,10.73%,115,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"HARDESTY, JIM",NP,45.62%,489,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"MIRCH, KEVIN J.",NP,3.08%,33,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"STEEL, CYNTHIA",NP,21.55%,231,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
None of these Candidates,,19.03%,204,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"BROWN, LORI LIPMAN",NP,17.51%,187,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"MASON, JOHN E.",NP,27.34%,292,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"PARRAGUIRRE, RON",NP,24.06%,257,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"SMITH, DOUG",NP,10.77%,115,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
None of these Candidates,,20.32%,217,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"FEEMSTER, LONNIE L.",DEM,31.62%,37,STATE ASSEMBLY DISTRICT 32 (Democratic)
"MORROW, JOAN",DEM,68.38%,80,STATE ASSEMBLY DISTRICT 32 (Democratic)
"MAULDIN, MONTE L. (BUD)",REP,19.37%,130,COUNTY COMMISSIONER DISTRICT 1 (Republican)
"MOORE, J. C. (TONY)",REP,11.33%,76,COUNTY COMMISSIONER DISTRICT 1 (Republican)
"SMITH, TAMMY L.",REP,11.33%,76,COUNTY COMMISSIONER DISTRICT 1 (Republican)
"STIENMETZ, STEVEN",REP,31.30%,210,COUNTY COMMISSIONER DISTRICT 1 (Republican)
"SULLIVAN, EUGENE L.",REP,26.68%,179,COUNTY COMMISSIONER DISTRICT 1 (Republican)
"MARILUCH, SHAWN",NP,100.00%,874,LANDER COUNTY SCHOOL DISTRICT TRUSTEE AREA 4 (Nonpartisan)
"NESTER, JEFF",NP,100.00%,865,LANDER COUNTY HOSPITAL DISTRICT TRUSTEE SEAT A (Nonpartisan)
"KILLEEN, LEE",NP,100.00%,916,LANDER COUNTY HOSPITAL DISTRICT TRUSTEE SEAT C (Nonpartisan)
"LOCKRIDGE, NANCY",NP,100.00%,882,LANDER COUNTY HOSPITAL DISTRICT TRUSTEE SEAT F (Nonpartisan)
"BOHALL, DAUN M.",NP,100.00%,758,"LANDER COUNTY GENERAL IMPROVEMENT DISTRICT, NO. 1 SEAT A (Nonpartisan)"
"ROACH, CONNIE",NP,100.00%,744,"LANDER COUNTY GENERAL IMPROVEMENT DISTRICT, NO. 1 SEAT C (Nonpartisan)"
"CASAUS, ANNIE",NP,100.00%,758,"LANDER COUNTY GENERAL IMPROVEMENT DISTRICT, NO. 1 SEAT D (Nonpartisan)"
"LUNDBERG, DENNIS D.",NP,100.00%,28,KINGSTON TOWN BOARD SEAT A (Nonpartisan)
"BYERS, JEFFERY R.",NP,100.00%,27,KINGSTON TOWN BOARD SEAT B (Nonpartisan)
