precinct,office,candidate,votes
Precinct 1,County Commissioner District 1,"FIORENZI, LEONARD",165
Precinct 1,County Commissioner District 1,"ROBINSON, WAYNE D.",97
Precinct 1,County Commissioner District 3,"BAILEY, DONNA R.",109
Precinct 1,County Commissioner District 3,"PAGE, MIKE",150
Precinct 1,President,"Baldwin, Chuck",3
Precinct 1,President,"Barr, Bob",0
Precinct 1,President,"McCain, John",215
Precinct 1,President,"McKinney, Cynthia",0
Precinct 1,President,"NADER, RALPH",2
Precinct 1,President,None Of These Candidates,2
Precinct 1,President,"Obama, Barack",42
Precinct 1,"State Assembly, District 35","GOICOECHEA, PETE",237
Precinct 1,"State Assembly, District 35","KING, RACHEL MARIE",29
Precinct 1,"State Senate, Rural Senatorial District","HANSEN, JANINE",114
Precinct 1,"State Senate, Rural Senatorial District","RHOADS, DEAN A.",146
Precinct 1,"Supreme Court Justice, Seat B",None Of These Candidates,60
Precinct 1,"Supreme Court Justice, Seat B","Pickering, Mary ""Kris""",115
Precinct 1,"Supreme Court Justice, Seat B","Schumacher, Deborah",72
Precinct 1,"Supreme Court Justice, Seat D","Christensen, Thomas Frank",60
Precinct 1,"Supreme Court Justice, Seat D","Gibbons, Mark",111
Precinct 1,"Supreme Court Justice, Seat D",None Of These Candidates,70
Precinct 1,"U.S. Representative in Congress, District 2","Bergland, Craig",7
Precinct 1,"U.S. Representative in Congress, District 2","DERBY, JILL",46
Precinct 1,"U.S. Representative in Congress, District 2","Everhart, John",16
Precinct 1,"U.S. Representative in Congress, District 2","HELLER, DEAN",190
Precinct 1,"U.S. Representative in Congress, District 2","Morse, Sean Patrick",3
Precinct 2,County Commissioner District 1,"FIORENZI, LEONARD",152
Precinct 2,County Commissioner District 1,"ROBINSON, WAYNE D.",93
Precinct 2,County Commissioner District 3,"BAILEY, DONNA R.",106
Precinct 2,County Commissioner District 3,"PAGE, MIKE",137
Precinct 2,President,"Baldwin, Chuck",5
Precinct 2,President,"Barr, Bob",2
Precinct 2,President,"McCain, John",201
Precinct 2,President,"McKinney, Cynthia",0
Precinct 2,President,"NADER, RALPH",4
Precinct 2,President,None Of These Candidates,1
Precinct 2,President,"Obama, Barack",40
Precinct 2,"State Assembly, District 35","GOICOECHEA, PETE",237
