candidate,party,percent,votes,office
"HELLER, DEAN",REP,81.06%,"2,346","U.S. Representative in Congress, District 2 (Republican)"
"SMACK, JAMES W.",REP,18.94%,548,"U.S. Representative in Congress, District 2 (Republican)"
"ALLF, NANCY LEE",NP,20.46%,"1,194","Supreme Court Justice, Seat B (Nonpartisan)"
"CHAIREZ, DON",NP,27.52%,"1,606","Supreme Court Justice, Seat B (Nonpartisan)"
"PICKERING, MARY ""KRIS""",NP,29.44%,"1,718","Supreme Court Justice, Seat B (Nonpartisan)"
"SCHUMACHER, DEBORAH",NP,11.10%,648,"Supreme Court Justice, Seat B (Nonpartisan)"
NONE OF THESE CANDIDATES,,11.48%,670,"Supreme Court Justice, Seat B (Nonpartisan)"
"BECKETT, BOB",NP,14.12%,838,"District Court Judge, District 5, Department  1 (Nonpartisan)"
"DAVIS, JOHN P.",NP,53.74%,"3,190","District Court Judge, District 5, Department  1 (Nonpartisan)"
"ZLOTEK, MARLA",NP,32.14%,"1,908","District Court Judge, District 5, Department  1 (Nonpartisan)"
"LANE, ROBERT W.",NP,100.00%,"5,171","District Court Judge, District 5, Department  2 (Nonpartisan)"
"BOBECK, JEFFREY",REP,19.53%,132,"District Court Judge, District 5, Department  2 (Nonpartisan)"
"MOBLEY, ROB",REP,21.89%,148,"District Court Judge, District 5, Department  2 (Nonpartisan)"
"VAN LOON, JOHN T.",REP,12.57%,85,"District Court Judge, District 5, Department  2 (Nonpartisan)"
"WICHMAN, LORINDA A.",REP,46.01%,311,"District Court Judge, District 5, Department  2 (Nonpartisan)"
"DOLE, ROBERT ""BUTCH""",REP,20.07%,122,County Commissioner District I (Republican)
"HOLLIS, GARY",REP,56.58%,344,County Commissioner District I (Republican)
"LACKEY, DARRYL",REP,23.36%,142,County Commissioner District I (Republican)
"MADSEN, BOYD",NP,14.94%,75,County Commissioner District III (Republican)
"MARCHAND, WILLIAM",NP,24.30%,122,County Commissioner District III (Republican)
"PARSONS, LESLIE W.",NP,23.90%,120,County Commissioner District III (Republican)
"REVERT, BOB",NP,21.71%,109,County Commissioner District III (Republican)
"VERRILLI, ALBERT M.",NP,15.14%,76,County Commissioner District III (Republican)
"WARD, TRACIE",NP,100.00%,739,BEATTY  Water & San Dist 2 yr (Nonpartisan)
"PAPE, KEVIN",NP,100.00%,860,School Board Trustee Area IV (Nonpartisan)
"OFELT, COURTLAND H.",NP,32.93%,244,School Board Trustee Area V (Nonpartisan)
"TOKERUD, HAROLD",NP,67.07%,497,School Board Trustee Area V (Nonpartisan)
"BEHRENS, MARGERY KAY",NP,9.89%,833,School Board Trustee Area VI (Nonpartisan)
"BROOKS, SEAN",NP,11.06%,932,School Board Trustee Area VI (Nonpartisan)
"DARBY, MIKE",NP,15.06%,"1,269",School Board Trustee Area VI (Nonpartisan)
"KOMOROWSKI, LU",NP,9.22%,777,School Board Trustee Area VI (Nonpartisan)
"NELSON, BRIAN",NP,8.83%,744,School Board Trustee Area VI (Nonpartisan)
"PARKER, VICKY",NP,14.40%,"1,213",School Board Trustee Area VI (Nonpartisan)
"RUST, DON",NP,16.01%,"1,349",School Board Trustee Area VI (Nonpartisan)
"TOLER, BILLY RAY",NP,6.24%,526,School Board Trustee Area VI (Nonpartisan)
"WHITE, LARKY",NP,9.27%,781,School Board Trustee Area VI (Nonpartisan)
"BIENENSTEIN, KATHLEEN L.",NP,45.98%,395,PAHRUMP TOWN Board - vf 2 - town (Nonpartisan)
"MCNEELY, J.E. ""DOC""",NP,54.02%,464,PAHRUMP TOWN Board - vf 2 - town (Nonpartisan)
"ABBOT, DAVE",NP,2.15%,102,School Board Trustee Area II (Nonpartisan)
"BLUNDO, LEONARDO F.",NP,0.55%,26,School Board Trustee Area II (Nonpartisan)
"DECANIO, LOUIS J.",NP,6.89%,327,School Board Trustee Area II (Nonpartisan)
"DEMEO, LINDA",NP,21.95%,"1,042",School Board Trustee Area II (Nonpartisan)
"FOLEY, MICHAEL",NP,8.02%,381,School Board Trustee Area II (Nonpartisan)
"FURCINI, FRANK",NP,2.53%,120,School Board Trustee Area II (Nonpartisan)
"JASPERSON, KENT",NP,20.41%,969,School Board Trustee Area II (Nonpartisan)
"MILLER, LUANA",NP,3.37%,160,School Board Trustee Area II (Nonpartisan)
"NEU, MICHAEL",NP,11.52%,547,School Board Trustee Area II (Nonpartisan)
"ORIONDO, DOROTHY",NP,2.67%,127,School Board Trustee Area II (Nonpartisan)
"SUGG, DENNIS",NP,13.10%,622,School Board Trustee Area II (Nonpartisan)
"WAGGONER, BARRY ""BEAR""",NP,4.19%,199,School Board Trustee Area II (Nonpartisan)
"WITTHOEFT, WARREN",NP,2.65%,126,School Board Trustee Area II (Nonpartisan)
