candidate,party,percent,votes,office
"HELLER, DEAN",REP,84.45%,402,"U.S. Representative in Congress, District 2 (Republican)"
"SMACK, JAMES W.",REP,15.55%,74,"U.S. Representative in Congress, District 2 (Republican)"
"ALLF, NANCY LEE",NP,12.94%,114,"Supreme Court Justice, Seat B (Nonpartisan)"
"CHAIREZ, DON",NP,9.65%,85,"Supreme Court Justice, Seat B (Nonpartisan)"
"PICKERING, MARY ""KRIS""",NP,30.19%,266,"Supreme Court Justice, Seat B (Nonpartisan)"
"SCHUMACHER, DEBORAH",NP,31.21%,275,"Supreme Court Justice, Seat B (Nonpartisan)"
NONE OF THESE CANDIDATES,,16.00%,141,"Supreme Court Justice, Seat B (Nonpartisan)"
"WAGNER, RICHARD A.",NP,100.00%,762,"District Court Judge, District 6, Department 1 (Nonpartisan)"
"DOLAN, ROBERT ""BOB""",NP,10.10%,91,"District Court Judge, District 6, Department 2 (Nonpartisan)"
"MAHER, O. KENT",NP,17.98%,162,"District Court Judge, District 6, Department 2 (Nonpartisan)"
"MONTERO, MICHAEL R.",NP,34.30%,309,"District Court Judge, District 6, Department 2 (Nonpartisan)"
"SCHAEFFER, WILLIAM E.",NP,0.89%,8,"District Court Judge, District 6, Department 2 (Nonpartisan)"
"SHIRLEY, JIM C.",NP,36.74%,331,"District Court Judge, District 6, Department 2 (Nonpartisan)"
"GOLDSWORTHY, JAMES",NP,32.82%,622,"District Court Judge, District 6, Department 2 (Nonpartisan)"
"HOSTMAN, MARK R.",NP,36.83%,698,"District Court Judge, District 6, Department 2 (Nonpartisan)"
"PIERCE, JOE L.",NP,30.34%,575,"District Court Judge, District 6, Department 2 (Nonpartisan)"
"BRINKERHOFF, WALTER A.",NP,100.00%,797,Hospital District PERSHING (Nonpartisan)
