candidate,party,percent,votes,office
"HELLER, DEAN",REP,89.39%,295,"U.S. Representative in Congress, District 2 (Republican)"
"SMACK, JAMES W.",REP,10.61%,35,"U.S. Representative in Congress, District 2 (Republican)"
"ALLF, NANCY LEE",NP,17.35%,101,"Supreme Court Justice, Seat B (Nonpartisan)"
"CHAIREZ, DON",NP,32.47%,189,"Supreme Court Justice, Seat B (Nonpartisan)"
"PICKERING, MARY ""KRIS""",NP,31.10%,181,"Supreme Court Justice, Seat B (Nonpartisan)"
"SCHUMACHER, DEBORAH",NP,11.00%,64,"Supreme Court Justice, Seat B (Nonpartisan)"
NONE OF THESE CANDIDATES,,8.08%,47,"Supreme Court Justice, Seat B (Nonpartisan)"
"DOBRESCU, STEVE L.",NP,100.00%,493,"District Court Judge, District 7, Department 1 (Nonpartisan)"
"PAPEZ, DAN L.",NP,100.00%,516,"District Court Judge, District 7, Department 2 (Nonpartisan)"
"CHEENEY, FRANK ""FRANKIE""",NP,100.00%,525,"District Court Judge, District 7, Department 2 (Nonpartisan)"
"LUCHT, MARY JEAN",NP,100.00%,533,School Trustee District A (Nonpartisan)
"MALOY, EDWARD",NP,100.00%,517,School Trustee District D (Nonpartisan)
