candidate,party,votes,percent,office
"BALDWIN, CHUCK",INDEPENDENT AMERICAN,43,0.41,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"BARR, BOB",LIBERTARIAN,42,0.40,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"MCCAIN, JOHN",REPUBLICAN,6831,64.42,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"MCKINNEY, CYNTHIA",GREEN,17,0.16,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"NADER, RALPH",INDEPENDENT,66,0.62,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"OBAMA, BARACK",DEMOCRAT,3494,32.95,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
NONE OF THESE CANDIDATES,&nbsp;,111,1.05,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"BERGLAND, CRAIG",GREEN,126,1.21,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"DERBY, JILL",DEMOCRAT,3024,29.07,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"EVERHART, JOHN",INDEPENDENT AMERICAN,429,4.12,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HELLER, DEAN (Incumbent)",REPUBLICAN,6686,64.28,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"MORSE, SEAN PATRICK",LIBERTARIAN,137,1.32,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"MCGINNESS, MIKE (Incumbent)",REPUBLICAN,8795,100.00,"STATE SENATE, CENTRAL SENATORIAL DISTRICT"
"GOICOECHEA, PETE (Incumbent)",REPUBLICAN,4931,70.79,"STATE ASSEMBLY, DISTRICT 35"
"KING, RACHEL MARIE",DEMOCRAT,2035,29.21,"STATE ASSEMBLY, DISTRICT 35"
"BABB, SCOTTY",DEMOCRAT,372,21.11,"STATE ASSEMBLY, DISTRICT 36"
"GOEDHART, ED (Incumbent)",REPUBLICAN,1390,78.89,"STATE ASSEMBLY, DISTRICT 36"
"DALTON, STEVEN J.",DEMOCRAT,328,24.85,"STATE ASSEMBLY, DISTRICT 38"
"GOMEZ, DENNIS",INDEPENDENT AMERICAN,82,6.21,"STATE ASSEMBLY, DISTRICT 38"
"GRADY, TOM (Incumbent)",REPUBLICAN,910,68.94,"STATE ASSEMBLY, DISTRICT 38"
"PICKERING, MARY ""KRIS""",NONPARTISAN,4485,45.12,"SUPREME COURT JUSTICE, SEAT B"
"SCHUMACHER, DEBORAH",NONPARTISAN,3648,36.70,"SUPREME COURT JUSTICE, SEAT B"
NONE OF THESE CANDIDATES,&nbsp;,1808,18.19,"SUPREME COURT JUSTICE, SEAT B"
"CHRISTENSEN, THOMAS FRANK",NONPARTISAN,2436,24.73,"SUPREME COURT JUSTICE, SEAT D"
"GIBBONS, MARK (Incumbent)",NONPARTISAN,5291,53.71,"SUPREME COURT JUSTICE, SEAT D"
NONE OF THESE CANDIDATES,&nbsp;,2124,21.56,"SUPREME COURT JUSTICE, SEAT D"
"HUFF, DAVID A.",NONPARTISAN,6576,67.01,"DISTRICT COURT JUDGE, DISTRICT 3, DEPARTMENT 1"
"KENNEDY, JACK",NONPARTISAN,3237,32.99,"DISTRICT COURT JUDGE, DISTRICT 3, DEPARTMENT 1"
"ABERASTURI, LEON",NONPARTISAN,6151,65.33,"DISTRICT COURT JUDGE, DISTRICT 3, DEPARTMENT 2"
"SCHLEGELMILCH, JOHN",NONPARTISAN,3264,34.67,"DISTRICT COURT JUDGE, DISTRICT 3, DEPARTMENT 2"
"ROGERS, WILLIAM",NONPARTISAN,3320,35.24,"DISTRICT COURT JUDGE, DISTRICT 3, DEPARTMENT 3"
"STOCKARD, THOMAS III",NONPARTISAN,6102,64.76,"DISTRICT COURT JUDGE, DISTRICT 3, DEPARTMENT 3"
"FREY, NORMAN W.",REPUBLICAN,7072,69.61,COUNTY COMM DIST. 1 (CW)
"MACKIE, STUART",DEMOCRAT,3088,30.39,COUNTY COMM DIST. 1 (CW)
"ERQUIAGA, CARL",REPUBLICAN,8994,100.00,COUNTY COMM DIST. 3 (CW)
"CARTER, JASON",NONPARTISAN,3635,14.21,BOARD OF SCHOOL TRUSTEES - VF 3
"JOYNER, JANA",NONPARTISAN,4273,16.70,BOARD OF SCHOOL TRUSTEES - VF 3
"KEELE, DON",NONPARTISAN,4735,18.51,BOARD OF SCHOOL TRUSTEES - VF 3
"KOENIG, GREGORY S.",NONPARTISAN,6051,23.65,BOARD OF SCHOOL TRUSTEES - VF 3
"NUNN, STEVE",NONPARTISAN,4703,18.38,BOARD OF SCHOOL TRUSTEES - VF 3
"WERFELMAN, CARRY",NONPARTISAN,2185,8.54,BOARD OF SCHOOL TRUSTEES - VF 3
"CHIPP, SHELDON",NONPARTISAN,5615,35.25,MOSQUITO ABATEMENT DST -VF 2
"EMMONS, DAVE L. SR.",NONPARTISAN,4500,28.25,MOSQUITO ABATEMENT DST -VF 2
"MCMULLEN, JOHN C.",NONPARTISAN,5813,36.50,MOSQUITO ABATEMENT DST -VF 2
