candidate,party,percent,votes,office
"HELLER, DEAN",REP,86.37%,"2,445","U.S. Representative in Congress, District 2 (Republican)"
"SMACK, JAMES W.",REP,13.63%,386,"U.S. Representative in Congress, District 2 (Republican)"
"ALLF, NANCY LEE",NP,15.02%,654,"Supreme Court Justice, Seat B (Nonpartisan)"
"CHAIREZ, DON",NP,12.47%,543,"Supreme Court Justice, Seat B (Nonpartisan)"
"PICKERING, MARY ""KRIS""",NP,33.13%,"1,442","Supreme Court Justice, Seat B (Nonpartisan)"
"SCHUMACHER, DEBORAH",NP,25.87%,"1,126","Supreme Court Justice, Seat B (Nonpartisan)"
NONE OF THESE CANDIDATES,,13.51%,588,"Supreme Court Justice, Seat B (Nonpartisan)"
"LOREMAN, DAVID D.",NP,12.43%,550,"District Court Judge, District 4, Department  1 (Nonpartisan)"
"MEMEO, MIKE",NP,51.67%,"2,287","District Court Judge, District 4, Department  1 (Nonpartisan)"
"TORVINEN, MARK",NP,35.90%,"1,589","District Court Judge, District 4, Department  1 (Nonpartisan)"
"PUCCINELLI, ANDREW J.",NP,100.00%,"3,901","District Court Judge, District 4, Department  2 (Nonpartisan)"
"DAHL, DEMAR",REP,55.39%,"1,567","District Court Judge, District 4, Department  2 (Nonpartisan)"
"TYBO, RUSTY A.",REP,44.61%,"1,262","District Court Judge, District 4, Department  2 (Nonpartisan)"
"ZELLER, CONNIE",NP,100.00%,"3,615",County Comm Dist. 1 (CW) (Republican)
"KERR, ANNETTE",NP,100.00%,"3,643",School Board Trustee Dst 2 -AL (Nonpartisan)
"FOBES, GORDON L.",NP,30.96%,"1,285",School Board Trustee Dst 3 -AL (Nonpartisan)
"HARTWIG, DEAN A.",NP,26.65%,"1,106",School Board Trustee Dst 3 -AL (Nonpartisan)
"POCHE, PENNY R.",NP,18.29%,759,School Board Trustee Dst 3 -AL (Nonpartisan)
"VOLPI, LYNNE",NP,24.10%,"1,000",School Board Trustee Dst 3 -AL (Nonpartisan)
"KARR, JONATHAN",NP,100.00%,"3,621",School Board Trustee Dst 4 -AL (Nonpartisan)
"FEASEL, TERI",NP,100.00%,173,School Board Trustee Dst 5 -AL (Nonpartisan)
