candidate,party,percent,votes,office
"HELLER, DEAN",REP,84.80%,106,"U.S. Representative in Congress, District 2 (Republican)"
"SMACK, JAMES W.",REP,15.20%,19,"U.S. Representative in Congress, District 2 (Republican)"
"ALLF, NANCY LEE",NP,19.12%,39,"Supreme Court Justice, Seat B (Nonpartisan)"
"CHAIREZ, DON",NP,15.20%,31,"Supreme Court Justice, Seat B (Nonpartisan)"
"PICKERING, MARY ""KRIS""",NP,25.98%,53,"Supreme Court Justice, Seat B (Nonpartisan)"
"SCHUMACHER, DEBORAH",NP,13.24%,27,"Supreme Court Justice, Seat B (Nonpartisan)"
NONE OF THESE CANDIDATES,,26.47%,54,"Supreme Court Justice, Seat B (Nonpartisan)"
"BECKETT, BOB",NP,8.49%,18,"District Court Judge, District 5, Department 1 (Nonpartisan)"
"DAVIS, JOHN P.",NP,68.87%,146,"District Court Judge, District 5, Department 1 (Nonpartisan)"
"ZLOTEK, MARLA",NP,22.64%,48,"District Court Judge, District 5, Department 1 (Nonpartisan)"
"LANE, ROBERT W.",NP,100.00%,173,"District Court Judge, District 5, Department 2 (Nonpartisan)"
"PAPPALARDO, DOMONINIC G.",NP,100.00%,82,"District Court Judge, District 5, Department 2 (Nonpartisan)"
"SNIFFEN, JOYCE",NP,100.00%,160,School Board Trustee Seat A (Nonpartisan)
"KILE, DOUGLAS",NP,100.00%,158,School Board Trustee Seat B (Nonpartisan)
"WOOD, CHARLES",NP,100.00%,159,School Board Trustee Seat D (Nonpartisan)
