candidate,party,percent,votes,office
"HELLER, DEAN",REP,85.09%,"19,131","U.S. Representative in Congress, District 2 (Republican)"
"SMACK, JAMES W.",REP,14.91%,"3,353","U.S. Representative in Congress, District 2 (Republican)"
"ANGLE, SHARRON",REP,47.02%,"4,327","State Senate, Washoe District 3 (Republican)"
"RAGGIO, BILL",REP,52.98%,"4,875","State Senate, Washoe District 3 (Republican)"
"BOBZIEN, DAVID",DEM,79.73%,"1,585","State Assembly, District 24 (Democratic)"
"LOVE, DAVID C.",DEM,20.27%,403,"State Assembly, District 24 (Democratic)"
"ARCHIE, ROBB",REP,32.72%,"1,746","State Assembly, District 26 (Republican)"
"COBB, TY",REP,67.28%,"3,591","State Assembly, District 26 (Republican)"
"FRUEHAN, GLENN",DEM,9.42%,155,"State Assembly, District 27 (Democratic)"
"LESLIE, SHEILA",DEM,90.58%,"1,490","State Assembly, District 27 (Democratic)"
"DAWSON, GLENN E.",REP,10.51%,469,"State Assembly, District 32 (Republican)"
"GUSTAVSON, DON",REP,36.78%,"1,641","State Assembly, District 32 (Republican)"
"MARVEL, JOHN",REP,23.42%,"1,045","State Assembly, District 32 (Republican)"
"NANCE, MICHAEL",REP,2.73%,122,"State Assembly, District 32 (Republican)"
"SMITH, ERIC",REP,8.18%,365,"State Assembly, District 32 (Republican)"
"WEBER, MICHAEL",REP,18.38%,820,"State Assembly, District 32 (Republican)"
"ALLF, NANCY LEE",NP,15.46%,"6,278","Supreme Court Justice, Seat B (Nonpartisan)"
"CHAIREZ, DON",NP,11.22%,"4,556","Supreme Court Justice, Seat B (Nonpartisan)"
"PICKERING, MARY ""KRIS""",NP,26.56%,"10,784","Supreme Court Justice, Seat B (Nonpartisan)"
"SCHUMACHER, DEBORAH",NP,41.35%,"16,788","Supreme Court Justice, Seat B (Nonpartisan)"
NONE OF THESE CANDIDATES,,5.40%,"2,192","Supreme Court Justice, Seat B (Nonpartisan)"
"BERRY, JANET",NP,100.00%,"32,545","District Court Judge, District 2, Department 1 (Nonpartisan)"
"HARDY, DAVID",NP,100.00%,"31,805","District Court Judge, District 2, Department 2 (Nonpartisan)"
"POLAHA, JEROME M. ""JERRY""",NP,100.00%,"32,565","District Court Judge, District 2, Department 3 (Nonpartisan)"
"FLANAGAN, PATRICK",NP,100.00%,"32,323","District Court Judge, District 2, Department 7 (Nonpartisan)"
"KOSACH, STEVEN R.",NP,100.00%,"31,982","District Court Judge, District 2, Department 8 (Nonpartisan)"
"ELLIOTT, STEVE",NP,100.00%,"31,711","District Court Judge, District 2, Department 10 (Nonpartisan)"
"DOHERTY, FRANCES",NP,100.00%,"31,597","District Court Judge, District 2, Department 12 Family Division (Nonpartisan)"
"PECK, BRIDGET ROBB",NP,100.00%,"31,692","District Court Judge, District 2, Department 13 Family Division (Nonpartisan)"
"COBB, WILLIAM",NP,59.70%,"10,493","University Board of Regents, District 10 (Nonpartisan)"
"HORMAZDI, FARROKH R.",NP,6.82%,"1,198","University Board of Regents, District 10 (Nonpartisan)"
"ROSENBERG, HOWARD TERM LIMITED",NP,33.49%,"5,886","University Board of Regents, District 10 (Nonpartisan)"
"CALDWELL, MICHAEL L.",NP,21.47%,"4,843","State Board of Education, District 8 (Nonpartisan)"
"MCKENNA, KEN",NP,39.84%,"8,989","State Board of Education, District 8 (Nonpartisan)"
"PULLMAN, JONNIE",NP,38.69%,"8,728","State Board of Education, District 8 (Nonpartisan)"
"CASEY, ROY J.",NP,12.29%,"1,195","State Board of Education, District 9 (Nonpartisan)"
"COOK, DAVE",NP,40.52%,"3,939","State Board of Education, District 9 (Nonpartisan)"
"MYERS, BARBARA J.",NP,47.19%,"4,587","State Board of Education, District 9 (Nonpartisan)"
"CARNE, DAN",NP,62.54%,"5,515","State Board of Education, District 9 (Nonpartisan)"
"PRIMOSCH, HERB",NP,11.02%,972,"State Board of Education, District 9 (Nonpartisan)"
"WASSON, CELANA",NP,26.43%,"2,331","State Board of Education, District 9 (Nonpartisan)"
"KELLEY, SCOTT",NP,42.06%,"2,676",School Board Trustee Dst A (Nonpartisan)
"MARTINDALE, DENNY",NP,29.27%,"1,862",School Board Trustee Dst A (Nonpartisan)
"SILVERBERG, CAROL",NP,28.67%,"1,824",School Board Trustee Dst A (Nonpartisan)
"BOWEN, PEGGY LEAR",NP,25.81%,"5,368",School Board Trustee Dst E (Nonpartisan)
"HUDSON, GREGORY LOREN",NP,7.75%,"1,613",School Board Trustee Dst E (Nonpartisan)
"MCLAURY, BARBARA L.",NP,18.75%,"3,900",School Board Trustee Dst E (Nonpartisan)
"RAMOS, LEO",NP,17.53%,"3,647",School Board Trustee Dst E (Nonpartisan)
"RAPPAPORT, MARILYN L.",NP,14.03%,"2,918",School Board Trustee Dst E (Nonpartisan)
"TURNIER, FRED",NP,16.13%,"3,354",School Board Trustee Dst E (Nonpartisan)
"DREHER, RONALD P.",NP,20.17%,"1,325",School Board Trustee Dst G-AL (Nonpartisan)
"GUSTIN, DAN",NP,56.73%,"3,727",School Board Trustee Dst G-AL (Nonpartisan)
"HERNDON, TOM",NP,23.11%,"1,518",School Board Trustee Dst G-AL (Nonpartisan)
"HASCHEFF, PIERRE A.",NP,54.74%,"10,433","PRI City of RENO Councilman, Ward 1 (Nonpartisan)"
"HAWKINS, ED",NP,15.00%,"2,859","PRI City of RENO Councilman, Ward 1 (Nonpartisan)"
"WARD, DAVID",NP,30.26%,"5,766","PRI City of RENO Councilman, Ward 1 (Nonpartisan)"
"SFERRAZZA, PETE",NP,100.00%,"21,909",City of RENO Councilman - At Large (Nonpartisan)
