candidate,party,percent,votes,office
"HELLER, DEAN",REP,87.93%,"5,003","U.S. Representative in Congress, District 2 (Republican)"
"SMACK, JAMES W.",REP,12.07%,687,"U.S. Representative in Congress, District 2 (Republican)"
"ALLF, NANCY LEE",NP,16.81%,"1,319","Supreme Court Justice, Seat B (Nonpartisan)"
"CHAIREZ, DON",NP,13.64%,"1,070","Supreme Court Justice, Seat B (Nonpartisan)"
"PICKERING, MARY ""KRIS""",NP,33.79%,"2,651","Supreme Court Justice, Seat B (Nonpartisan)"
"SCHUMACHER, DEBORAH",NP,25.77%,"2,022","Supreme Court Justice, Seat B (Nonpartisan)"
NONE OF THESE CANDIDATES,,9.98%,783,"Supreme Court Justice, Seat B (Nonpartisan)"
"GAMBLE, DAVID R.",NP,100.00%,"7,106","District Court Judge, District 9, Department  1 (Nonpartisan)"
"GIBBONS, MICHAEL",NP,100.00%,"7,022","District Court Judge, District 9, Department  2 (Nonpartisan)"
"CASEY, ROY J.",NP,16.28%,"1,140","State Board of Education, District 9 (Nonpartisan)"
"COOK, DAVE",NP,44.96%,"3,149","State Board of Education, District 9 (Nonpartisan)"
"MYERS, BARBARA J.",NP,38.76%,"2,715","State Board of Education, District 9 (Nonpartisan)"
"LYNN, GREG",REP,53.18%,"2,977","State Board of Education, District 9 (Nonpartisan)"
"NELSON, DAVE",REP,46.82%,"2,621","State Board of Education, District 9 (Nonpartisan)"
"JOHNSON, DOUG N.",REP,62.72%,"3,511",County Commissioner District 1 (Republican)
"SPIRES, BLAINE",REP,37.28%,"2,087",County Commissioner District 1 (Republican)
"EPSTEIN, NANCY",DEM,80.12%,"1,475",County Commissioner District 3 (Republican)
"THIEL, GEORGE M.",DEM,19.88%,366,County Commissioner District 3 (Republican)
"OLSON, MICHAEL",REP,54.26%,"2,977",County Commissioner District 5 (Democratic)
"POSSELT, STUART",REP,45.74%,"2,510",County Commissioner District 5 (Democratic)
"GREEN, RANDY F.",NP,100.00%,"6,687",County Commissioner District 5 (Republican)
"JAMIN, TERI",NP,100.00%,"6,465",School Board Trustee Area 4 CW (Nonpartisan)
"MOORE, THOMAS H.",NP,100.00%,"6,459",School Board Trustee Area 5 CW (Nonpartisan)
