candidate,party,votes,percent,office
"BALDWIN, CHUCK",INDEPENDENT AMERICAN,12,0.57,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"BARR, BOB",LIBERTARIAN,4,0.19,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"MCCAIN, JOHN",REPUBLICAN,1466,69.74,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"MCKINNEY, CYNTHIA",GREEN,4,0.19,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"NADER, RALPH",INDEPENDENT,18,0.86,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"OBAMA, BARACK",DEMOCRAT,577,27.45,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
NONE OF THESE CANDIDATES,&nbsp;,21,1.00,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"BERGLAND, CRAIG",GREEN,24,1.17,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"DERBY, JILL",DEMOCRAT,524,25.49,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"EVERHART, JOHN",INDEPENDENT AMERICAN,92,4.47,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HELLER, DEAN (Incumbent)",REPUBLICAN,1382,67.22,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"MORSE, SEAN PATRICK",LIBERTARIAN,34,1.65,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HANSEN, JANINE",INDEPENDENT AMERICAN,678,33.63,"STATE SENATE, RURAL SENATORIAL DISTRICT"
"RHOADS, DEAN A. (Incumbent)",REPUBLICAN,1338,66.37,"STATE SENATE, RURAL SENATORIAL DISTRICT"
"DEAL, MARC",DEMOCRAT,174,22.51,"STATE ASSEMBLY, DISTRICT 32"
"GUSTAVSON, DON",REPUBLICAN,539,69.73,"STATE ASSEMBLY, DISTRICT 32"
"KROSHUS, JAMES",INDEPENDENT AMERICAN,60,7.76,"STATE ASSEMBLY, DISTRICT 32"
"GOICOECHEA, PETE (Incumbent)",REPUBLICAN,990,79.26,"STATE ASSEMBLY, DISTRICT 35"
"KING, RACHEL MARIE",DEMOCRAT,259,20.74,"STATE ASSEMBLY, DISTRICT 35"
"PICKERING, MARY ""KRIS""",NONPARTISAN,914,45.72,"SUPREME COURT JUSTICE, SEAT B"
"SCHUMACHER, DEBORAH",NONPARTISAN,692,34.62,"SUPREME COURT JUSTICE, SEAT B"
NONE OF THESE CANDIDATES,&nbsp;,393,19.66,"SUPREME COURT JUSTICE, SEAT B"
"CHRISTENSEN, THOMAS FRANK",NONPARTISAN,519,26.25,"SUPREME COURT JUSTICE, SEAT D"
"GIBBONS, MARK (Incumbent)",NONPARTISAN,1041,52.66,"SUPREME COURT JUSTICE, SEAT D"
NONE OF THESE CANDIDATES,&nbsp;,417,21.09,"SUPREME COURT JUSTICE, SEAT D"
"MAHER, O. KENT",NONPARTISAN,650,33.18,"DISTRICT COURT JUDGE, DISTRICT 6, DEPARTMENT 2"
"MONTERO, MICHAEL",NONPARTISAN,1309,66.82,"DISTRICT COURT JUDGE, DISTRICT 6, DEPARTMENT 2"
"SCHMIDT, CHRIS",REPUBLICAN,979,50.83,COUNTY COMM DIST. NO. 2 (CW)
"WELSCH, NICK",REPUBLICAN,947,49.17,COUNTY COMM DIST. NO. 2 (CW)
"WILLIAMS, RAY H. JR.",REPUBLICAN,999,51.36,COUNTY COMM DIST. NO. 3 (CW)
"WOHLE, ROB",REPUBLICAN,946,48.64,COUNTY COMM DIST. NO. 3 (CW)
"STIENMETZ, STEVEN",REPUBLICAN,1735,100.00,COUNTY COMM DIST. NO. 4 (CW)
