precinct,office,candidate,votes
Precinct 1,County Comm Dist. 1 (CW),"DAHL, DEMAR",245
Precinct 1,County Comm Dist. 1 (CW),"NEFF, DAVID E.",135
Precinct 1,County Comm Dist. 3 (CW),"ELLISON, JOHN",351
Precinct 1,County Comm Dist. 5 (CW),"RUSSELL, WARREN",264
Precinct 1,County Comm Dist. 5 (CW),"WEEKS, ZEB",99
Precinct 1,"District Court Judge, District 4, Department  1","MEMEO, MIKE",232
Precinct 1,"District Court Judge, District 4, Department  1","TORVINEN, MARK",158
Precinct 1,ELKO CONVENTION  AUD BD SEAT A,"GRAVELIN, VICTORIA E.",159
Precinct 1,ELKO CONVENTION  AUD BD SEAT A,"MORFIN, GARY H.",199
Precinct 1,President and Vice President of the United States,"Baldwin, Chuck",11
Precinct 1,President and Vice President of the United States,"Barr, Bob",1
Precinct 1,President and Vice President of the United States,"McCain, John",253
Precinct 1,President and Vice President of the United States,"McKinney, Cynthia",2
Precinct 1,President and Vice President of the United States,"NADER, RALPH",0
Precinct 1,President and Vice President of the United States,None Of These Candidates,3
Precinct 1,President and Vice President of the United States,"Obama, Barack",141
Precinct 1,School Board Trustee Dist. 4 - AL,"FOBES, GORDON L.",163
Precinct 1,School Board Trustee Dist. 4 - AL,"HARTWIG, DEAN A.",197
Precinct 1,"State Assembly, District 33","CARPENTER, JOHN C.",251
Precinct 1,"State Assembly, District 33","TRIGGS, ZACHARY",140
Precinct 1,"State Senate, Rural Senatorial District","HANSEN, JANINE",135
Precinct 1,"State Senate, Rural Senatorial District","RHOADS, DEAN A.",256
Precinct 1,"Supreme Court Justice, Seat B",None Of These Candidates,85
Precinct 1,"Supreme Court Justice, Seat B","Pickering, Mary ""Kris""",197
Precinct 1,"Supreme Court Justice, Seat B","Schumacher, Deborah",101
Precinct 1,"Supreme Court Justice, Seat D","Christensen, Thomas Frank",83
Precinct 1,"Supreme Court Justice, Seat D","Gibbons, Mark",202
Precinct 1,"Supreme Court Justice, Seat D",None Of These Candidates,86
Precinct 1,"U.S. Representative in Congress, District 2","Bergland, Craig",2
Precinct 1,"U.S. Representative in Congress, District 2","DERBY, JILL",145
Precinct 1,"U.S. Representative in Congress, District 2","Everhart, John",18
Precinct 1,"U.S. Representative in Congress, District 2","HELLER, DEAN",220
Precinct 1,"U.S. Representative in Congress, District 2","Morse, Sean Patrick",7
Precinct 10,County Comm Dist. 1 (CW),"DAHL, DEMAR",428
Precinct 10,County Comm Dist. 1 (CW),"NEFF, DAVID E.",179
Precinct 10,County Comm Dist. 3 (CW),"ELLISON, JOHN",545
Precinct 10,County Comm Dist. 5 (CW),"RUSSELL, WARREN",427
Precinct 10,County Comm Dist. 5 (CW),"WEEKS, ZEB",152
Precinct 10,"District Court Judge, District 4, Department  1","MEMEO, MIKE",294
Precinct 10,"District Court Judge, District 4, Department  1","TORVINEN, MARK",343
Precinct 10,ELKO CONVENTION  AUD BD SEAT A,"GRAVELIN, VICTORIA E.",193
Precinct 10,ELKO CONVENTION  AUD BD SEAT A,"MORFIN, GARY H.",387
Precinct 10,President and Vice President of the United States,"Baldwin, Chuck",4
Precinct 10,President and Vice President of the United States,"Barr, Bob",3
Precinct 10,President and Vice President of the United States,"McCain, John",442
Precinct 10,President and Vice President of the United States,"McKinney, Cynthia",1
Precinct 10,President and Vice President of the United States,"NADER, RALPH",3
Precinct 10,President and Vice President of the United States,None Of These Candidates,12
Precinct 10,President and Vice President of the United States,"Obama, Barack",198
Precinct 10,School Board Trustee Dist. 4 - AL,"FOBES, GORDON L.",266
Precinct 10,School Board Trustee Dist. 4 - AL,"HARTWIG, DEAN A.",317
Precinct 10,"State Assembly, District 33","CARPENTER, JOHN C.",455
Precinct 10,"State Assembly, District 33","TRIGGS, ZACHARY",168
Precinct 10,"State Senate, Rural Senatorial District","HANSEN, JANINE",151
Precinct 10,"State Senate, Rural Senatorial District","RHOADS, DEAN A.",477
Precinct 10,"Supreme Court Justice, Seat B",None Of These Candidates,110
Precinct 10,"Supreme Court Justice, Seat B","Pickering, Mary ""Kris""",277
Precinct 10,"Supreme Court Justice, Seat B","Schumacher, Deborah",235
Precinct 10,"Supreme Court Justice, Seat D","Christensen, Thomas Frank",134
Precinct 10,"Supreme Court Justice, Seat D","Gibbons, Mark",327
Precinct 10,"Supreme Court Justice, Seat D",None Of These Candidates,141
Precinct 10,"U.S. Representative in Congress, District 2","Bergland, Craig",6
Precinct 10,"U.S. Representative in Congress, District 2","DERBY, JILL",175
Precinct 10,"U.S. Representative in Congress, District 2","Everhart, John",16
Precinct 10,"U.S. Representative in Congress, District 2","HELLER, DEAN",435
Precinct 10,"U.S. Representative in Congress, District 2","Morse, Sean Patrick",10
Precinct 11,County Comm Dist. 1 (CW),"DAHL, DEMAR",227
