candidate,party,percent,votes,office
"HELLER, DEAN",REP,86.96%,340,"U.S. Representative in Congress, District 2 (Republican)"
"SMACK, JAMES W.",REP,13.04%,51,"U.S. Representative in Congress, District 2 (Republican)"
"ALLF, NANCY LEE",NP,23.68%,251,"Supreme Court Justice, Seat B (Nonpartisan)"
"CHAIREZ, DON",NP,14.62%,155,"Supreme Court Justice, Seat B (Nonpartisan)"
"PICKERING, MARY ""KRIS""",NP,28.21%,299,"Supreme Court Justice, Seat B (Nonpartisan)"
"SCHUMACHER, DEBORAH",NP,19.15%,203,"Supreme Court Justice, Seat B (Nonpartisan)"
NONE OF THESE CANDIDATES,,14.34%,152,"Supreme Court Justice, Seat B (Nonpartisan)"
"BECKETT, BOB",NP,12.54%,134,"District Court Judge, District 5, Department  1 (Nonpartisan)"
"DAVIS, JOHN P.",NP,67.63%,723,"District Court Judge, District 5, Department  1 (Nonpartisan)"
"ZLOTEK, MARLA",NP,19.83%,212,"District Court Judge, District 5, Department  1 (Nonpartisan)"
"LANE, ROBERT W.",NP,100.00%,917,"District Court Judge, District 5, Department  2 (Nonpartisan)"
"BRYANT, RICHARD D.",DEM,51.03%,297,"District Court Judge, District 5, Department  2 (Nonpartisan)"
"BUNCH, GLENN",DEM,48.97%,285,"District Court Judge, District 5, Department  2 (Nonpartisan)"
"FITZGERALD, TOM",NP,33.21%,800,County Comm. Seat B (Democratic)
"GAZAWAY, JOAN E.",NP,34.95%,842,County Comm. Seat B (Democratic)
"VADEN, DON R.",NP,31.84%,767,County Comm. Seat B (Democratic)
"PALMER, REUBEN ""TED""",NP,100.00%,876,Hospital Board Trustee 4 Yr Term (Nonpartisan)
"GLAZIER, DONNA J.",NP,100.00%,923,School Trustee Seat INSIDE 2 yr (Nonpartisan)
"NIXON, MARK D.",NP,100.00%,908,School Trustee Seat OUTSIDE 4 yr (Nonpartisan)
"BOYLES, KAREN L.",NP,33.97%,813,School Trustee Seat INSIDE 4 yr (Nonpartisan)
"FITZGERALD, JAMES",NP,33.18%,794,School Trustee Seat INSIDE 4 yr (Nonpartisan)
"LATTIN, CALVIN",NP,32.85%,786,School Trustee Seat INSIDE 4 yr (Nonpartisan)
"DUFF, LAURIE",NP,100.00%,892,TV DISTRICT 1(4 YR) (Nonpartisan)
"BERGMANS, ELBERT H.",NP,57.38%,70,TV DISTRICT 1(2 YR) (Nonpartisan)
"PORTER, GLADYS M.",NP,42.62%,52,TV DISTRICT 1(2 YR) (Nonpartisan)
