candidate,party,votes,percent,office
"BALDWIN, CHUCK",INDEPENDENT AMERICAN,11,1.48,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"BARR, BOB",LIBERTARIAN,2,0.27,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"MCCAIN, JOHN",REPUBLICAN,564,75.70,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"MCKINNEY, CYNTHIA",GREEN,1,0.13,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"NADER, RALPH",INDEPENDENT,6,0.81,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"OBAMA, BARACK",DEMOCRAT,144,19.33,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
NONE OF THESE CANDIDATES,&nbsp;,17,2.28,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"BERGLAND, CRAIG",GREEN,13,1.78,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"DERBY, JILL",DEMOCRAT,139,19.02,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"EVERHART, JOHN",INDEPENDENT AMERICAN,50,6.84,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HELLER, DEAN (Incumbent)",REPUBLICAN,513,70.18,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"MORSE, SEAN PATRICK",LIBERTARIAN,16,2.19,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HANSEN, JANINE",INDEPENDENT AMERICAN,320,44.14,"STATE SENATE, RURAL SENATORIAL DISTRICT"
"RHOADS, DEAN A. (Incumbent)",REPUBLICAN,405,55.86,"STATE SENATE, RURAL SENATORIAL DISTRICT"
"GOICOECHEA, PETE (Incumbent)",REPUBLICAN,635,85.93,"STATE ASSEMBLY, DISTRICT 35"
"KING, RACHEL MARIE",DEMOCRAT,104,14.07,"STATE ASSEMBLY, DISTRICT 35"
"PICKERING, MARY ""KRIS""",NONPARTISAN,335,47.79,"SUPREME COURT JUSTICE, SEAT B"
"SCHUMACHER, DEBORAH",NONPARTISAN,202,28.82,"SUPREME COURT JUSTICE, SEAT B"
NONE OF THESE CANDIDATES,&nbsp;,164,23.40,"SUPREME COURT JUSTICE, SEAT B"
"CHRISTENSEN, THOMAS FRANK",NONPARTISAN,172,25.15,"SUPREME COURT JUSTICE, SEAT D"
"GIBBONS, MARK (Incumbent)",NONPARTISAN,312,45.61,"SUPREME COURT JUSTICE, SEAT D"
NONE OF THESE CANDIDATES,&nbsp;,200,29.24,"SUPREME COURT JUSTICE, SEAT D"
"FIORENZI, LEONARD",REPUBLICAN,416,57.86,COUNTY COMMISSIONER DISTRICT 1
"ROBINSON, WAYNE D.",REPUBLICAN,303,42.14,COUNTY COMMISSIONER DISTRICT 1
"BAILEY, DONNA R.",REPUBLICAN,305,42.72,COUNTY COMMISSIONER DISTRICT 3
"PAGE, MIKE",REPUBLICAN,409,57.28,COUNTY COMMISSIONER DISTRICT 3
"GANN, DAWN",NONPARTISAN,105,20.00,CRESCENT VALLEY TOWN ADVISORY BOARD
"HENRY, CHARLES G.",NONPARTISAN,98,18.67,CRESCENT VALLEY TOWN ADVISORY BOARD
"KIRKPATRICK, PEGGY",NONPARTISAN,86,16.38,CRESCENT VALLEY TOWN ADVISORY BOARD
"MALLORY, DEE",NONPARTISAN,20,3.81,CRESCENT VALLEY TOWN ADVISORY BOARD
"REDFIELD, TAMMY",NONPARTISAN,27,5.14,CRESCENT VALLEY TOWN ADVISORY BOARD
"SCHWARTZ, KOLLENE",NONPARTISAN,99,18.86,CRESCENT VALLEY TOWN ADVISORY BOARD
"SHARROW, GLORIA",NONPARTISAN,90,17.14,CRESCENT VALLEY TOWN ADVISORY BOARD
