candidate,party,percent,votes,office
"HELLER, DEAN",REP,80.49%,425,"U.S. Representative in Congress, District 2 (Republican)"
"SMACK, JAMES W.",REP,19.51%,103,"U.S. Representative in Congress, District 2 (Republican)"
"ALLF, NANCY LEE",NP,20.94%,174,"Supreme Court Justice, Seat B (Nonpartisan)"
"CHAIREZ, DON",NP,15.52%,129,"Supreme Court Justice, Seat B (Nonpartisan)"
"PICKERING, MARY ""KRIS""",NP,28.40%,236,"Supreme Court Justice, Seat B (Nonpartisan)"
"SCHUMACHER, DEBORAH",NP,24.91%,207,"Supreme Court Justice, Seat B (Nonpartisan)"
NONE OF THESE CANDIDATES,,10.23%,85,"Supreme Court Justice, Seat B (Nonpartisan)"
"RUSSELL, JAMES TODD",NP,100.00%,705,"District Court Judge, District 1, Department 1 (Nonpartisan)"
"JENKINS, CAREN",NP,16.08%,127,"District Court Judge, District 1, Department 2 (Nonpartisan)"
"KRUEGER, MARK",NP,26.71%,211,"District Court Judge, District 1, Department 2 (Nonpartisan)"
"WATERS, NOEL",NP,34.56%,273,"District Court Judge, District 1, Department 2 (Nonpartisan)"
"WILSON, JIM",NP,22.66%,179,"District Court Judge, District 1, Department 2 (Nonpartisan)"
"CONNELL, ZOE",REP,11.76%,62,"District Court Judge, District 1, Department 2 (Nonpartisan)"
"DIXON, VANESSA",REP,45.16%,238,"District Court Judge, District 1, Department 2 (Nonpartisan)"
"HESS, ROLLIE",REP,28.46%,150,"District Court Judge, District 1, Department 2 (Nonpartisan)"
"WILSON, LEE",REP,14.61%,77,"District Court Judge, District 1, Department 2 (Nonpartisan)"
"MILLER, CHRISTINE",NP,100.00%,731,County Clerk/Treasurer (Republican)
"AUSTIN, SUSAN",NP,50.00%,1,School Board Trustee Seat 1C (Nonpartisan)
"WARREN, KIRT",NP,50.00%,1,School Board Trustee Seat 1C (Nonpartisan)
"COCKERTON, DAVID G.",NP,100.00%,166,"TAHOE RENO INDUSTRIAL Gen Imp Dist,No TAHOE RENO I (Nonpartisan)"
"DENNIS, LINDA R.",NP,100.00%,167,"CANYON Gen Imp Dist,No CANYON Seat 2A (Nonpartisan)"
"BRYANT, BRAD TERM LIMITED",NP,100.00%,159,"CANYON Gen Imp Dist,No CANYON Seat 2B (Nonpartisan)"
