candidate,party,votes,percent,office
"BALDWIN, CHUCK",INDEPENDENT AMERICAN,186,1.06,President
"BARR, BOB",LIBERTARIAN,118,0.67,President
"MCCAIN, JOHN",REPUBLICAN,9535,54.53,President
"MCKINNEY, CYNTHIA",GREEN,41,0.23,President
"NADER, RALPH",INDEPENDENT,160,0.92,President
"OBAMA, BARACK",DEMOCRAT,7223,41.31,President
NONE OF THESE CANDIDATES,&nbsp;,223,1.28,President
"BERGLAND, CRAIG",GREEN,215,1.31,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"DERBY, JILL",DEMOCRAT,6128,37.20,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"EVERHART, JOHN",INDEPENDENT AMERICAN,1001,6.08,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HELLER, DEAN (Incumbent)",REPUBLICAN,8724,52.97,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"MORSE, SEAN PATRICK",LIBERTARIAN,403,2.45,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HANSEN, JANINE",INDEPENDENT AMERICAN,197,29.89,"STATE SENATE, RURAL SENATORIAL DISTRICT"
"RHOADS, DEAN A. (Incumbent)",REPUBLICAN,462,70.11,"STATE SENATE, RURAL SENATORIAL DISTRICT"
"MCGINNESS, MIKE (Incumbent)",REPUBLICAN,12183,100.00,"STATE SENATE, CENTRAL SENATORIAL DISTRICT"
"BABB, SCOTTY",DEMOCRAT,6162,37.53,"STATE ASSEMBLY, DISTRICT 36"
"GOEDHART, ED (Incumbent)",REPUBLICAN,10256,62.47,"STATE ASSEMBLY, DISTRICT 36"
"PICKERING, MARY ""KRIS""",NONPARTISAN,8143,50.37,"SUPREME COURT JUSTICE, SEAT B"
"SCHUMACHER, DEBORAH",NONPARTISAN,4574,28.30,"SUPREME COURT JUSTICE, SEAT B"
NONE OF THESE CANDIDATES,&nbsp;,3448,21.33,"SUPREME COURT JUSTICE, SEAT B"
"CHRISTENSEN, THOMAS FRANK",NONPARTISAN,4699,29.32,"SUPREME COURT JUSTICE, SEAT D"
"GIBBONS, MARK (Incumbent)",NONPARTISAN,7255,45.27,"SUPREME COURT JUSTICE, SEAT D"
NONE OF THESE CANDIDATES,&nbsp;,4072,25.41,"SUPREME COURT JUSTICE, SEAT D"
"DAVIS, JOHN P.",NONPARTISAN,9553,60.57,"DISTRICT COURT JUDGE, DISTRICT 5, DEPARTMENT 1"
"ZLOTEK, MARLA",NONPARTISAN,6220,39.43,"DISTRICT COURT JUDGE, DISTRICT 5, DEPARTMENT 1"
"MOBLEY, ROB",REPUBLICAN,1404,44.04,COUNTY COMMISSIONER DISTRICT I
"WICHMAN, LORINDA A.",REPUBLICAN,1784,55.96,COUNTY COMMISSIONER DISTRICT I
"EASTLEY, JONI",REPUBLICAN,1713,75.23,COUNTY COMMISSIONER DISTRICT II
"PETELL, JIM",REPUBLICAN,564,24.77,COUNTY COMMISSIONER DISTRICT II
"HOLLIS, GARY",REPUBLICAN,1876,54.61,COUNTY COMMISSIONER DISTRICT III
"KULKIN, HARLEY ZANE",DEMOCRAT,1559,45.39,COUNTY COMMISSIONER DISTRICT III
"BIENENSTEIN, KATHLEEN L.",NONPARTISAN,936,46.43,SCHOOL BOARD TRUSTEE AREA II
"MCNEELY, J.E. ""DOC""",NONPARTISAN,1080,53.57,SCHOOL BOARD TRUSTEE AREA II
"OFELT, COURTLAND H.",NONPARTISAN,799,40.35,SCHOOL BOARD TRUSTEE AREA VI
"TOKERUD, HAROLD",NONPARTISAN,1181,59.65,SCHOOL BOARD TRUSTEE AREA VI
"DEMEO, LINDA",NONPARTISAN,4721,34.29,JUSTICE OF THE PEACE PAHRUMP
"JASPERSON, KENT",NONPARTISAN,9047,65.71,JUSTICE OF THE PEACE PAHRUMP
"BROOKS, SEAN",NONPARTISAN,4572,20.36,PAHRUMP TOWN BOARD
"DARBY, MIKE",NONPARTISAN,6472,28.82,PAHRUMP TOWN BOARD
"PARKER, VICKY",NONPARTISAN,6305,28.07,PAHRUMP TOWN BOARD
"RUST, DON",NONPARTISAN,5111,22.76,PAHRUMP TOWN BOARD
