candidate,party,votes,percent,office
"BALDWIN, CHUCK",INDEPENDENT AMERICAN,98,0.38,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"BARR, BOB",LIBERTARIAN,140,0.54,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"MCCAIN, JOHN",REPUBLICAN,14645,56.54,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"MCKINNEY, CYNTHIA",GREEN,34,0.13,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"NADER, RALPH",INDEPENDENT,135,0.52,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"OBAMA, BARACK",DEMOCRAT,10671,41.20,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
NONE OF THESE CANDIDATES,&nbsp;,177,0.68,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"BERGLAND, CRAIG",GREEN,337,1.34,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"DERBY, JILL",DEMOCRAT,9014,35.72,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"EVERHART, JOHN",INDEPENDENT AMERICAN,797,3.16,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HELLER, DEAN (Incumbent)",REPUBLICAN,14767,58.52,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"MORSE, SEAN PATRICK",LIBERTARIAN,317,1.26,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"MCGINNESS, MIKE (Incumbent)",REPUBLICAN,7185,100.00,"STATE SENATE, CENTRAL SENATORIAL DISTRICT"
"BROWN, JOETTA",DEMOCRAT,8041,32.20,"STATE ASSEMBLY, DISTRICT 39"
"SCHUMANN, DAVID K.",INDEPENDENT AMERICAN,1232,4.93,"STATE ASSEMBLY, DISTRICT 39"
"SETTELMEYER, JAMES A. (Incumbent)",REPUBLICAN,15700,62.87,"STATE ASSEMBLY, DISTRICT 39"
"PICKERING, MARY ""KRIS""",NONPARTISAN,11701,49.79,"SUPREME COURT JUSTICE, SEAT B"
"SCHUMACHER, DEBORAH",NONPARTISAN,7820,33.28,"SUPREME COURT JUSTICE, SEAT B"
NONE OF THESE CANDIDATES,&nbsp;,3978,16.93,"SUPREME COURT JUSTICE, SEAT B"
"CHRISTENSEN, THOMAS FRANK",NONPARTISAN,3776,16.19,"SUPREME COURT JUSTICE, SEAT D"
"GIBBONS, MARK (Incumbent)",NONPARTISAN,15585,66.82,"SUPREME COURT JUSTICE, SEAT D"
NONE OF THESE CANDIDATES,&nbsp;,3962,16.99,"SUPREME COURT JUSTICE, SEAT D"
"COOK, DAVE",NONPARTISAN,12008,58.35,"STATE BOARD OF EDUCATION, DISTRICT 9"
"MYERS, BARBARA J.",NONPARTISAN,8572,41.65,"STATE BOARD OF EDUCATION, DISTRICT 9"
"DEKNIJF, ANJE",DEMOCRAT,7246,30.07,COUNTY COMMISSIONER DISTRICT 1
"LYNN, GREG",REPUBLICAN,16855,69.93,COUNTY COMMISSIONER DISTRICT 1
"JOHNSON, DOUG N.",REPUBLICAN,15872,67.89,COUNTY COMMISSIONER DISTRICT 3
"RIEMAN, ERIC",INDEPENDENT AMERICAN,7508,32.11,COUNTY COMMISSIONER DISTRICT 3
"EPSTEIN, NANCY",DEMOCRAT,10233,42.31,COUNTY COMMISSIONER DISTRICT 5
"OLSON, MICHAEL",REPUBLICAN,13951,57.69,COUNTY COMMISSIONER DISTRICT 5
"CHESSELL, KAREN H.",NONPARTISAN,10704,55.87,SCHOOL BOARD TRUSTEE - AREA 1
"SWANSON, CHARLES H.",NONPARTISAN,8455,44.13,SCHOOL BOARD TRUSTEE - AREA 1
"FELTON, GREG",NONPARTISAN,9521,46.96,SCHOOL BOARD TRUSTEE - AREA 3
"TRIGG, CINDY",NONPARTISAN,10753,53.04,SCHOOL BOARD TRUSTEE - AREA 3
"BALIGAD, CADE S.",NONPARTISAN,2485,37.83,GARDNERVILLE RANCHOS G I D - 2 SEATS
"BOURNE, DAVID",NONPARTISAN,2365,36.00,GARDNERVILLE RANCHOS G I D - 2 SEATS
"DAVIDSON, JEREMY",NONPARTISAN,1719,26.17,GARDNERVILLE RANCHOS G I D - 2 SEATS
"BAER, ART",NONPARTISAN,607,22.35,INDIAN HILLS G I D - 2 SEATS
"BUFFO, BRIAN",NONPARTISAN,562,20.69,INDIAN HILLS G I D - 2 SEATS
"HUMBLE, DIANNE",NONPARTISAN,731,26.91,INDIAN HILLS G I D - 2 SEATS
"LAU, LAURA J.",NONPARTISAN,816,30.04,INDIAN HILLS G I D - 2 SEATS
"DORTON, BRAD",NONPARTISAN,103,20.44,ROUND HILL G I D - 2 SEATS
"FAGEN, CHUCK",NONPARTISAN,100,19.84,ROUND HILL G I D - 2 SEATS
"RICE, WES",NONPARTISAN,142,28.17,ROUND HILL G I D - 2 SEATS
"SMITH, GLEN T.",NONPARTISAN,159,31.55,ROUND HILL G I D - 2 SEATS
"BERNHARD, ROBIN",NONPARTISAN,1108,36.45,TOWN OF GARDNERVILLE - 2 SEATS
"LINDSAY, PAUL A.",NONPARTISAN,1090,35.86,TOWN OF GARDNERVILLE - 2 SEATS
"SMITH, MICHAEL J.",NONPARTISAN,842,27.70,TOWN OF GARDNERVILLE - 2 SEATS
