candidate,party,votes,percent,office
"BALDWIN, CHUCK",INDEPENDENT AMERICAN,6,1.37,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"BARR, BOB",LIBERTARIAN,12,2.73,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"MCCAIN, JOHN",REPUBLICAN,303,69.02,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"MCKINNEY, CYNTHIA",GREEN,0,0,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"NADER, RALPH",INDEPENDENT,2,0.46,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"OBAMA, BARACK",DEMOCRAT,104,23.69,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
NONE OF THESE CANDIDATES,&nbsp;,12,2.73,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"BERGLAND, CRAIG",GREEN,5,1.17,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"DERBY, JILL",DEMOCRAT,85,19.91,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"EVERHART, JOHN",INDEPENDENT AMERICAN,27,6.32,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HELLER, DEAN (Incumbent)",REPUBLICAN,295,69.09,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"MORSE, SEAN PATRICK",LIBERTARIAN,15,3.51,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"MCGINNESS, MIKE (Incumbent)",REPUBLICAN,345,100.00,"STATE SENATE, CENTRAL SENATORIAL DISTRICT"
"BABB, SCOTTY",DEMOCRAT,95,23.28,"STATE ASSEMBLY, DISTRICT 36"
"GOEDHART, ED (Incumbent)",REPUBLICAN,313,76.72,"STATE ASSEMBLY, DISTRICT 36"
"PICKERING, MARY ""KRIS""",NONPARTISAN,182,44.50,"SUPREME COURT JUSTICE, SEAT B"
"SCHUMACHER, DEBORAH",NONPARTISAN,104,25.43,"SUPREME COURT JUSTICE, SEAT B"
NONE OF THESE CANDIDATES,&nbsp;,123,30.07,"SUPREME COURT JUSTICE, SEAT B"
"CHRISTENSEN, THOMAS FRANK",NONPARTISAN,100,24.75,"SUPREME COURT JUSTICE, SEAT D"
"GIBBONS, MARK (Incumbent)",NONPARTISAN,173,42.82,"SUPREME COURT JUSTICE, SEAT D"
NONE OF THESE CANDIDATES,&nbsp;,131,32.43,"SUPREME COURT JUSTICE, SEAT D"
"DAVIS, JOHN P.",NONPARTISAN,290,72.68,"DISTRICT COURT JUDGE, DISTRICT 5, DEPARTMENT 1"
"ZLOTEK, MARLA",NONPARTISAN,109,27.32,"DISTRICT COURT JUDGE, DISTRICT 5, DEPARTMENT 1"
"BOLAND, NANCY",DEMOCRAT,57,71.25,COUNTY COMMISSIONER DISTRICT 2
"POLMAN, KENNY",REPUBLICAN,23,28.75,COUNTY COMMISSIONER DISTRICT 2
"KIRBY, WILLIAM C.",REPUBLICAN,116,68.24,COUNTY COMMISSIONER DISTRICT 3
"MUNEKIYO, WAYNE",DEMOCRAT,54,31.76,COUNTY COMMISSIONER DISTRICT 3
"SERFOSS, VICKI L.",REPUBLICAN,364,100.00,PUBLIC ADMINISTRATOR
