candidate,party,votes,percent,office
"BALDWIN, CHUCK",INDEPENDENT AMERICAN,22,0.95,President
"BARR, BOB",LIBERTARIAN,11,0.48,President
"MCCAIN, JOHN",REPUBLICAN,1131,49.02,President
"MCKINNEY, CYNTHIA",GREEN,6,0.26,President
"NADER, RALPH",INDEPENDENT,21,0.91,President
"OBAMA, BARACK",DEMOCRAT,1082,46.90,President
NONE OF THESE CANDIDATES,&nbsp;,34,1.47,President
"BERGLAND, CRAIG",GREEN,41,1.84,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"DERBY, JILL",DEMOCRAT,896,40.23,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"EVERHART, JOHN",INDEPENDENT AMERICAN,153,6.87,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HELLER, DEAN (Incumbent)",REPUBLICAN,1076,48.32,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"MORSE, SEAN PATRICK",LIBERTARIAN,61,2.74,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"MCGINNESS, MIKE (Incumbent)",REPUBLICAN,1789,100.00,"STATE SENATE, CENTRAL SENATORIAL DISTRICT"
"BABB, SCOTTY",DEMOCRAT,899,42.13,"STATE ASSEMBLY, DISTRICT 36"
"GOEDHART, ED (Incumbent)",REPUBLICAN,1235,57.87,"STATE ASSEMBLY, DISTRICT 36"
"PICKERING, MARY ""KRIS""",NONPARTISAN,1045,47.54,"SUPREME COURT JUSTICE, SEAT B"
"SCHUMACHER, DEBORAH",NONPARTISAN,688,31.30,"SUPREME COURT JUSTICE, SEAT B"
NONE OF THESE CANDIDATES,&nbsp;,465,21.16,"SUPREME COURT JUSTICE, SEAT B"
"CHRISTENSEN, THOMAS FRANK",NONPARTISAN,467,21.41,"SUPREME COURT JUSTICE, SEAT D"
"GIBBONS, MARK (Incumbent)",NONPARTISAN,1207,55.34,"SUPREME COURT JUSTICE, SEAT D"
NONE OF THESE CANDIDATES,&nbsp;,507,23.25,"SUPREME COURT JUSTICE, SEAT D"
"DAVIS, JOHN P.",NONPARTISAN,1536,73.35,"DISTRICT COURT JUDGE, DISTRICT 5, DEPARTMENT 1"
"ZLOTEK, MARLA",NONPARTISAN,558,26.65,"DISTRICT COURT JUDGE, DISTRICT 5, DEPARTMENT 1"
"BLACK, NANCY J.",DEMOCRAT,1334,60.36,COUNTY COMM. SEAT A
"JOHNSON, JONI D.",REPUBLICAN,876,39.64,COUNTY COMM. SEAT A
"BRYANT, RICHARD D.",DEMOCRAT,1072,48.44,COUNTY COMM. SEAT B
"ESSENPREIS, JAMES A.",REPUBLICAN,1141,51.56,COUNTY COMM. SEAT B
