precinct,office,candidate,votes
PRECINCT 1,County Clerk/Treasurer,"DIXON, VANESSA",205
PRECINCT 1,County Clerk/Treasurer,"HESS, ROLLIE",100
PRECINCT 1,County Comm Dist. THREE (CW),"KERSHAW, BOB T.",243
PRECINCT 1,County Comm Dist. TWO (CW),"HESS, GREG ""BUM""",231
PRECINCT 1,"District Court Judge, District 1, Department 2","WATERS, NOEL",136
PRECINCT 1,"District Court Judge, District 1, Department 2","WILSON, JIM",136
PRECINCT 1,President,"Baldwin, Chuck",1
PRECINCT 1,President,"Barr, Bob",2
PRECINCT 1,President,"McCain, John",150
PRECINCT 1,President,"McKinney, Cynthia",2
PRECINCT 1,President,"NADER, RALPH",2
PRECINCT 1,President,None Of These Candidates,4
PRECINCT 1,President,"Obama, Barack",159
PRECINCT 1,School Board Trustee Seat 1A,"CHAPMAN, CURTIS J.",137
PRECINCT 1,School Board Trustee Seat 1A,"JAMES, CATHYLEE",168
PRECINCT 1,School Board Trustee Seat 1B,"CONLEY, COLLEEN",149
PRECINCT 1,School Board Trustee Seat 1B,"FIELDING, REBECCA",128
PRECINCT 1,"State Assembly, District 38","DALTON, STEVEN J.",94
PRECINCT 1,"State Assembly, District 38","GOMEZ, DENNIS C.",33
PRECINCT 1,"State Assembly, District 38","Grady, Tom",173
PRECINCT 1,"Supreme Court Justice, Seat B",None Of These Candidates,60
PRECINCT 1,"Supreme Court Justice, Seat B","Pickering, Mary ""Kris""",124
PRECINCT 1,"Supreme Court Justice, Seat B","Schumacher, Deborah",116
PRECINCT 1,"Supreme Court Justice, Seat D","Christensen, Thomas Frank",49
PRECINCT 1,"Supreme Court Justice, Seat D","Gibbons, Mark",170
PRECINCT 1,"Supreme Court Justice, Seat D",None Of These Candidates,73
PRECINCT 1,"U.S. Representative in Congress, District 2","Bergland, Craig",14
PRECINCT 1,"U.S. Representative in Congress, District 2","DERBY, JILL",109
PRECINCT 1,"U.S. Representative in Congress, District 2","Everhart, John",13
PRECINCT 1,"U.S. Representative in Congress, District 2","HELLER, DEAN",170
PRECINCT 1,"U.S. Representative in Congress, District 2","Morse, Sean Patrick",7
PRECINCT 10,County Clerk/Treasurer,"DIXON, VANESSA",0
PRECINCT 10,County Clerk/Treasurer,"HESS, ROLLIE",0
PRECINCT 10,County Comm Dist. THREE (CW),"KERSHAW, BOB T.",0
PRECINCT 10,County Comm Dist. TWO (CW),"HESS, GREG ""BUM""",0
