candidate,party,votes,percent,office
"BALDWIN, CHUCK",INDEPENDENT AMERICAN,21,1.00,President
"BARR, BOB",LIBERTARIAN,16,0.76,President
"MCCAIN, JOHN",REPUBLICAN,1498,71.10,President
"MCKINNEY, CYNTHIA",GREEN,6,0.28,President
"NADER, RALPH",INDEPENDENT,13,0.62,President
"OBAMA, BARACK",DEMOCRAT,518,24.58,President
NONE OF THESE CANDIDATES,&nbsp;,35,1.66,President
"BERGLAND, CRAIG",GREEN,24,1.18,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"DERBY, JILL",DEMOCRAT,515,25.39,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"EVERHART, JOHN",INDEPENDENT AMERICAN,112,5.52,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HELLER, DEAN (Incumbent)",REPUBLICAN,1341,66.12,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"MORSE, SEAN PATRICK",LIBERTARIAN,36,1.78,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HANSEN, JANINE",INDEPENDENT AMERICAN,636,31.75,"STATE SENATE, RURAL SENATORIAL DISTRICT"
"RHOADS, DEAN A. (Incumbent)",REPUBLICAN,1367,68.25,"STATE SENATE, RURAL SENATORIAL DISTRICT"
"BABB, SCOTTY",DEMOCRAT,449,22.32,"STATE ASSEMBLY, DISTRICT 36"
"GOEDHART, ED (Incumbent)",REPUBLICAN,1563,77.68,"STATE ASSEMBLY, DISTRICT 36"
"PICKERING, MARY ""KRIS""",NONPARTISAN,1017,51.44,"SUPREME COURT JUSTICE, SEAT B"
"SCHUMACHER, DEBORAH",NONPARTISAN,472,23.87,"SUPREME COURT JUSTICE, SEAT B"
NONE OF THESE CANDIDATES,&nbsp;,488,24.68,"SUPREME COURT JUSTICE, SEAT B"
"CHRISTENSEN, THOMAS FRANK",NONPARTISAN,527,26.85,"SUPREME COURT JUSTICE, SEAT D"
"GIBBONS, MARK (Incumbent)",NONPARTISAN,944,48.09,"SUPREME COURT JUSTICE, SEAT D"
NONE OF THESE CANDIDATES,&nbsp;,492,25.06,"SUPREME COURT JUSTICE, SEAT D"
"DIXON, KEN",REPUBLICAN,834,40.64,COUNTY COMM DIST. A (CW)
"ROWE, GEORGE T. ""TOMMY""",DEMOCRAT,1218,59.36,COUNTY COMM DIST. A (CW)
"POULSEN, WADE",REPUBLICAN,1744,100.00,COUNTY COMM DIST. C (CW)
"MATHEWS, PAUL",REPUBLICAN,1807,100.00,COUNTY COMM DIST. E (CW)
