candidate,party,percent,votes,office
"HELLER, DEAN",REP,88.14%,"3,910","U.S. Representative in Congress, District 2 (Republican)"
"SMACK, JAMES W.",REP,11.86%,526,"U.S. Representative in Congress, District 2 (Republican)"
"ALLF, NANCY LEE",NP,14.78%,"1,206","Supreme Court Justice, Seat B (Nonpartisan)"
"CHAIREZ, DON",NP,15.53%,"1,267","Supreme Court Justice, Seat B (Nonpartisan)"
"PICKERING, MARY ""KRIS""",NP,30.80%,"2,513","Supreme Court Justice, Seat B (Nonpartisan)"
"SCHUMACHER, DEBORAH",NP,31.33%,"2,556","Supreme Court Justice, Seat B (Nonpartisan)"
NONE OF THESE CANDIDATES,,7.56%,617,"Supreme Court Justice, Seat B (Nonpartisan)"
"RUSSELL, JAMES TODD",NP,100.00%,"6,988","District Court Judge, District 1, Department  1 (Nonpartisan)"
"JENKINS, CAREN",NP,17.95%,"1,447","District Court Judge, District 1, Department  2 (Nonpartisan)"
"KRUEGER, MARK",NP,15.91%,"1,283","District Court Judge, District 1, Department  2 (Nonpartisan)"
"WATERS, NOEL",NP,37.01%,"2,984","District Court Judge, District 1, Department  2 (Nonpartisan)"
"WILSON, JIM",NP,29.12%,"2,348","District Court Judge, District 1, Department  2 (Nonpartisan)"
"CASEY, ROY J.",NP,16.27%,"1,246","State Board of Education, District 9 (Nonpartisan)"
"COOK, DAVE",NP,47.35%,"3,627","State Board of Education, District 9 (Nonpartisan)"
"MYERS, BARBARA J.",NP,36.38%,"2,787","State Board of Education, District 9 (Nonpartisan)"
"CROWELL, BOB",NP,48.03%,"3,947","State Board of Education, District 9 (Nonpartisan)"
"HANSELL, PETE",NP,6.82%,560,"State Board of Education, District 9 (Nonpartisan)"
"HASKINS, KEN",NP,21.98%,"1,806","State Board of Education, District 9 (Nonpartisan)"
"LEHMANN, SEAN",NP,16.30%,"1,339","State Board of Education, District 9 (Nonpartisan)"
"MCCLUNG, STEVE",NP,2.79%,229,"State Board of Education, District 9 (Nonpartisan)"
"SHIRK, JIM",NP,4.09%,336,"State Board of Education, District 9 (Nonpartisan)"
"BONDIETT, JEAN",NP,11.25%,904,Mayor CARSON CITY (Nonpartisan)
"MCGRATH, PAUL B.",NP,18.29%,"1,470",Mayor CARSON CITY (Nonpartisan)
"SALM, ANDY",NP,6.21%,499,Mayor CARSON CITY (Nonpartisan)
"STAUB, RICHARD S.",NP,38.83%,"3,120",Mayor CARSON CITY (Nonpartisan)
"WALT, MOLLY",NP,25.42%,"2,043",Mayor CARSON CITY (Nonpartisan)
"LEMAIRE, JIM",NP,100.00%,"6,819",Supervisor Ward 4 (Nonpartisan)
