candidate,party,votes,percent,office
"AMODEI, MARK E.",REPUBLICAN,272,73.71,"U.S REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"FASANO, TIMOTHY",INDEPENDENT AMERICAN,16,4.34,"U.S REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"LEHMANN, HELMUTH",INDEPENDENT,12,3.25,"U.S REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"MARSHALL, KATE",DEMOCRAT,69,18.70,"U.S REPRESENTATIVE IN CONGRESS, DISTRICT 2"
