candidate,party,votes,percent,office
"AMODEI, MARK E.",REPUBLICAN,658,58.39,"U.S REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"FASANO, TIMOTHY",INDEPENDENT AMERICAN,41,3.64,"U.S REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"LEHMANN, HELMUTH",INDEPENDENT,68,6.03,"U.S REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"MARSHALL, KATE",DEMOCRAT,360,31.94,"U.S REPRESENTATIVE IN CONGRESS, DISTRICT 2"
