precinct,office,candidate,votes
Precinct 101,"U.S. Representative in Congress, District 2","Amodei, Mark E.",192
Precinct 101,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",8
Precinct 101,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",17
Precinct 101,"U.S. Representative in Congress, District 2","MARSHALL, KATE",131
Precinct 103,"U.S. Representative in Congress, District 2","Amodei, Mark E.",344
Precinct 103,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",9
Precinct 103,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",11
Precinct 103,"U.S. Representative in Congress, District 2","MARSHALL, KATE",213
Precinct 105,"U.S. Representative in Congress, District 2","Amodei, Mark E.",454
Precinct 105,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",13
Precinct 105,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",14
Precinct 105,"U.S. Representative in Congress, District 2","MARSHALL, KATE",190
Precinct 107,"U.S. Representative in Congress, District 2","Amodei, Mark E.",449
Precinct 107,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",4
Precinct 107,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",19
Precinct 107,"U.S. Representative in Congress, District 2","MARSHALL, KATE",190
Precinct 109,"U.S. Representative in Congress, District 2","Amodei, Mark E.",358
Precinct 109,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",9
Precinct 109,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",11
Precinct 109,"U.S. Representative in Congress, District 2","MARSHALL, KATE",207
Precinct 111,"U.S. Representative in Congress, District 2","Amodei, Mark E.",226
Precinct 111,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",15
Precinct 111,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",21
Precinct 111,"U.S. Representative in Congress, District 2","MARSHALL, KATE",157
Precinct 113,"U.S. Representative in Congress, District 2","Amodei, Mark E.",328
Precinct 113,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",2
Precinct 113,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",24
Precinct 113,"U.S. Representative in Congress, District 2","MARSHALL, KATE",163
Precinct 201,"U.S. Representative in Congress, District 2","Amodei, Mark E.",152
Precinct 201,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",11
Precinct 201,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",13
Precinct 201,"U.S. Representative in Congress, District 2","MARSHALL, KATE",110
Precinct 203,"U.S. Representative in Congress, District 2","Amodei, Mark E.",244
Precinct 203,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",9
Precinct 203,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",17
Precinct 203,"U.S. Representative in Congress, District 2","MARSHALL, KATE",155
Precinct 205,"U.S. Representative in Congress, District 2","Amodei, Mark E.",244
Precinct 205,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",9
Precinct 205,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",19
Precinct 205,"U.S. Representative in Congress, District 2","MARSHALL, KATE",151
Precinct 207,"U.S. Representative in Congress, District 2","Amodei, Mark E.",243
Precinct 207,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",16
Precinct 207,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",13
Precinct 207,"U.S. Representative in Congress, District 2","MARSHALL, KATE",153
Precinct 209,"U.S. Representative in Congress, District 2","Amodei, Mark E.",152
Precinct 209,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",13
Precinct 209,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",18
Precinct 209,"U.S. Representative in Congress, District 2","MARSHALL, KATE",108
Precinct 211,"U.S. Representative in Congress, District 2","Amodei, Mark E.",93
Precinct 211,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",2
Precinct 211,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",3
Precinct 211,"U.S. Representative in Congress, District 2","MARSHALL, KATE",28
