candidate,party,votes,percent,office
"AMODEI, MARK E.",REPUBLICAN,6472,59.70,"U.S REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"FASANO, TIMOTHY",INDEPENDENT AMERICAN,196,1.81,"U.S REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"LEHMANN, HELMUTH",INDEPENDENT,349,3.22,"U.S REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"MARSHALL, KATE",DEMOCRAT,3824,35.27,"U.S REPRESENTATIVE IN CONGRESS, DISTRICT 2"
