candidate,party,votes,percent,office
"AMODEI, MARK E.",REPUBLICAN,2746,61.67,"U.S REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"FASANO, TIMOTHY",INDEPENDENT AMERICAN,141,3.17,"U.S REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"LEHMANN, HELMUTH",INDEPENDENT,159,3.57,"U.S REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"MARSHALL, KATE",DEMOCRAT,1407,31.60,"U.S REPRESENTATIVE IN CONGRESS, DISTRICT 2"
