precinct,office,candidate,votes
East Mason Valley 1,"U.S. Representative in Congress, District 2","Amodei, Mark E.",183
East Mason Valley 1,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",11
East Mason Valley 1,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",15
East Mason Valley 1,"U.S. Representative in Congress, District 2","MARSHALL, KATE",74
East Mason Valley 2,"U.S. Representative in Congress, District 2","Amodei, Mark E.",258
East Mason Valley 2,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",10
East Mason Valley 2,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",17
East Mason Valley 2,"U.S. Representative in Congress, District 2","MARSHALL, KATE",64
Fernley 1,"U.S. Representative in Congress, District 2","Amodei, Mark E.",193
Fernley 1,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",12
Fernley 1,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",7
Fernley 1,"U.S. Representative in Congress, District 2","MARSHALL, KATE",95
Fernley 10,"U.S. Representative in Congress, District 2","Amodei, Mark E.",56
Fernley 10,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",3
Fernley 10,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",3
Fernley 10,"U.S. Representative in Congress, District 2","MARSHALL, KATE",17
Fernley 11,"U.S. Representative in Congress, District 2","Amodei, Mark E.",131
Fernley 11,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",3
Fernley 11,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",4
Fernley 11,"U.S. Representative in Congress, District 2","MARSHALL, KATE",44
Fernley 12,"U.S. Representative in Congress, District 2","Amodei, Mark E.",145
Fernley 12,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",9
Fernley 12,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",13
Fernley 12,"U.S. Representative in Congress, District 2","MARSHALL, KATE",64
Fernley 13,"U.S. Representative in Congress, District 2","Amodei, Mark E.",212
Fernley 13,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",10
Fernley 13,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",21
Fernley 13,"U.S. Representative in Congress, District 2","MARSHALL, KATE",94
Fernley 14,"U.S. Representative in Congress, District 2","Amodei, Mark E.",96
Fernley 14,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",3
Fernley 14,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",10
Fernley 14,"U.S. Representative in Congress, District 2","MARSHALL, KATE",50
Fernley 2,"U.S. Representative in Congress, District 2","Amodei, Mark E.",97
Fernley 2,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",1
Fernley 2,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",9
Fernley 2,"U.S. Representative in Congress, District 2","MARSHALL, KATE",56
Fernley 3,"U.S. Representative in Congress, District 2","Amodei, Mark E.",102
Fernley 3,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",4
Fernley 3,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",9
Fernley 3,"U.S. Representative in Congress, District 2","MARSHALL, KATE",36
Fernley 4,"U.S. Representative in Congress, District 2","Amodei, Mark E.",73
Fernley 4,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",2
Fernley 4,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",8
Fernley 4,"U.S. Representative in Congress, District 2","MARSHALL, KATE",50
Fernley 5,"U.S. Representative in Congress, District 2","Amodei, Mark E.",98
Fernley 5,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",5
Fernley 5,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",8
Fernley 5,"U.S. Representative in Congress, District 2","MARSHALL, KATE",50
Fernley 6,"U.S. Representative in Congress, District 2","Amodei, Mark E.",60
Fernley 6,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",6
Fernley 6,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",6
Fernley 6,"U.S. Representative in Congress, District 2","MARSHALL, KATE",66
Fernley 7,"U.S. Representative in Congress, District 2","Amodei, Mark E.",121
Fernley 7,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",4
Fernley 7,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",5
Fernley 7,"U.S. Representative in Congress, District 2","MARSHALL, KATE",69
Fernley 8,"U.S. Representative in Congress, District 2","Amodei, Mark E.",166
Fernley 8,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",2
Fernley 8,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",12
Fernley 8,"U.S. Representative in Congress, District 2","MARSHALL, KATE",40
Fernley 9,"U.S. Representative in Congress, District 2","Amodei, Mark E.",35
Fernley 9,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",4
Fernley 9,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",5
Fernley 9,"U.S. Representative in Congress, District 2","MARSHALL, KATE",29
Mound House 1,"U.S. Representative in Congress, District 2","Amodei, Mark E.",71
Mound House 1,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",4
Mound House 1,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",5
Mound House 1,"U.S. Representative in Congress, District 2","MARSHALL, KATE",32
Mound House 2,"U.S. Representative in Congress, District 2","Amodei, Mark E.",85
Mound House 2,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",6
Mound House 2,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",4
Mound House 2,"U.S. Representative in Congress, District 2","MARSHALL, KATE",39
North Dayton 1,"U.S. Representative in Congress, District 2","Amodei, Mark E.",54
North Dayton 1,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",1
North Dayton 1,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",4
North Dayton 1,"U.S. Representative in Congress, District 2","MARSHALL, KATE",19
North Dayton 2,"U.S. Representative in Congress, District 2","Amodei, Mark E.",193
North Dayton 2,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",18
North Dayton 2,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",15
North Dayton 2,"U.S. Representative in Congress, District 2","MARSHALL, KATE",74
North Dayton 3,"U.S. Representative in Congress, District 2","Amodei, Mark E.",149
North Dayton 3,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",5
North Dayton 3,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",6
North Dayton 3,"U.S. Representative in Congress, District 2","MARSHALL, KATE",52
North Dayton 4,"U.S. Representative in Congress, District 2","Amodei, Mark E.",172
North Dayton 4,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",13
North Dayton 4,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",13
North Dayton 4,"U.S. Representative in Congress, District 2","MARSHALL, KATE",94
North Dayton 5,"U.S. Representative in Congress, District 2","Amodei, Mark E.",325
North Dayton 5,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",11
North Dayton 5,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",10
North Dayton 5,"U.S. Representative in Congress, District 2","MARSHALL, KATE",125
Precinct 99,"U.S. Representative in Congress, District 2","Amodei, Mark E.",
Precinct 99,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",
Precinct 99,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",
Precinct 99,"U.S. Representative in Congress, District 2","MARSHALL, KATE",
Silver City,"U.S. Representative in Congress, District 2","Amodei, Mark E.",16
Silver City,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",1
Silver City,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",6
Silver City,"U.S. Representative in Congress, District 2","MARSHALL, KATE",52
Silver Springs 1,"U.S. Representative in Congress, District 2","Amodei, Mark E.",145
Silver Springs 1,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",8
Silver Springs 1,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",15
Silver Springs 1,"U.S. Representative in Congress, District 2","MARSHALL, KATE",76
Silver Springs 2,"U.S. Representative in Congress, District 2","Amodei, Mark E.",89
Silver Springs 2,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",7
Silver Springs 2,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",8
Silver Springs 2,"U.S. Representative in Congress, District 2","MARSHALL, KATE",49
Silver Springs 3,"U.S. Representative in Congress, District 2","Amodei, Mark E.",139
Silver Springs 3,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",5
Silver Springs 3,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",16
Silver Springs 3,"U.S. Representative in Congress, District 2","MARSHALL, KATE",71
Silver Springs 4,"U.S. Representative in Congress, District 2","Amodei, Mark E.",91
Silver Springs 4,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",9
Silver Springs 4,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",4
Silver Springs 4,"U.S. Representative in Congress, District 2","MARSHALL, KATE",48
Smith Valley 1,"U.S. Representative in Congress, District 2","Amodei, Mark E.",358
Smith Valley 1,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",5
Smith Valley 1,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",11
Smith Valley 1,"U.S. Representative in Congress, District 2","MARSHALL, KATE",79
Smith Valley 2,"U.S. Representative in Congress, District 2","Amodei, Mark E.",154
Smith Valley 2,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",3
Smith Valley 2,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",4
Smith Valley 2,"U.S. Representative in Congress, District 2","MARSHALL, KATE",20
South Dayton 1,"U.S. Representative in Congress, District 2","Amodei, Mark E.",209
South Dayton 1,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",6
South Dayton 1,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",10
South Dayton 1,"U.S. Representative in Congress, District 2","MARSHALL, KATE",80
South Dayton 2,"U.S. Representative in Congress, District 2","Amodei, Mark E.",58
South Dayton 2,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",6
South Dayton 2,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",2
South Dayton 2,"U.S. Representative in Congress, District 2","MARSHALL, KATE",47
South Dayton 3,"U.S. Representative in Congress, District 2","Amodei, Mark E.",252
South Dayton 3,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",3
South Dayton 3,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",14
South Dayton 3,"U.S. Representative in Congress, District 2","MARSHALL, KATE",111
South Dayton 4,"U.S. Representative in Congress, District 2","Amodei, Mark E.",102
South Dayton 4,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",3
South Dayton 4,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",1
South Dayton 4,"U.S. Representative in Congress, District 2","MARSHALL, KATE",51
Spragg-Plummer,"U.S. Representative in Congress, District 2","Amodei, Mark E.",247
Spragg-Plummer,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",5
Spragg-Plummer,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",8
Spragg-Plummer,"U.S. Representative in Congress, District 2","MARSHALL, KATE",75
Stagecoach 1,"U.S. Representative in Congress, District 2","Amodei, Mark E.",246
Stagecoach 1,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",13
Stagecoach 1,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",12
Stagecoach 1,"U.S. Representative in Congress, District 2","MARSHALL, KATE",101
Stagecoach 2,"U.S. Representative in Congress, District 2","Amodei, Mark E.",93
Stagecoach 2,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",0
Stagecoach 2,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",3
Stagecoach 2,"U.S. Representative in Congress, District 2","MARSHALL, KATE",33
West Mason Valley 1,"U.S. Representative in Congress, District 2","Amodei, Mark E.",242
West Mason Valley 1,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",6
West Mason Valley 1,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",11
West Mason Valley 1,"U.S. Representative in Congress, District 2","MARSHALL, KATE",90
West Mason Valley 2,"U.S. Representative in Congress, District 2","Amodei, Mark E.",163
West Mason Valley 2,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",5
West Mason Valley 2,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",9
West Mason Valley 2,"U.S. Representative in Congress, District 2","MARSHALL, KATE",46
West Mason Valley 3,"U.S. Representative in Congress, District 2","Amodei, Mark E.",153
West Mason Valley 3,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",9
West Mason Valley 3,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",17
West Mason Valley 3,"U.S. Representative in Congress, District 2","MARSHALL, KATE",51
