candidate,party,votes,percent,office
"AMODEI, MARK E.",REPUBLICAN,503,77.03,"U.S REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"FASANO, TIMOTHY",INDEPENDENT AMERICAN,19,2.91,"U.S REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"LEHMANN, HELMUTH",INDEPENDENT,12,1.84,"U.S REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"MARSHALL, KATE",DEMOCRAT,119,18.22,"U.S REPRESENTATIVE IN CONGRESS, DISTRICT 2"
