candidate,party,votes,percent,office
"AMODEI, MARK E.",REPUBLICAN,3502,59.52,"U.S REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"FASANO, TIMOTHY",INDEPENDENT AMERICAN,63,1.07,"U.S REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"LEHMANN, HELMUTH",INDEPENDENT,138,2.35,"U.S REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"MARSHALL, KATE",DEMOCRAT,2181,37.07,"U.S REPRESENTATIVE IN CONGRESS, DISTRICT 2"
