precinct,office,candidate,votes
1 - ALAMO,"U.S. Representative in Congress, District 2","Amodei, Mark E.",109
1 - ALAMO,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",4
1 - ALAMO,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",0
1 - ALAMO,"U.S. Representative in Congress, District 2","MARSHALL, KATE",24
2 - CALIENTE,"U.S. Representative in Congress, District 2","Amodei, Mark E.",101
2 - CALIENTE,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",7
2 - CALIENTE,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",5
2 - CALIENTE,"U.S. Representative in Congress, District 2","MARSHALL, KATE",27
3 - PANACA,"U.S. Representative in Congress, District 2","Amodei, Mark E.",132
3 - PANACA,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",1
3 - PANACA,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",5
3 - PANACA,"U.S. Representative in Congress, District 2","MARSHALL, KATE",15
4 - PIOCHE,"U.S. Representative in Congress, District 2","Amodei, Mark E.",146
4 - PIOCHE,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",6
4 - PIOCHE,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",2
4 - PIOCHE,"U.S. Representative in Congress, District 2","MARSHALL, KATE",50
5 - RACHEL,"U.S. Representative in Congress, District 2","Amodei, Mark E.",15
5 - RACHEL,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",1
5 - RACHEL,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",0
5 - RACHEL,"U.S. Representative in Congress, District 2","MARSHALL, KATE",3
Precinct 999,"U.S. Representative in Congress, District 2","Amodei, Mark E.",0
Precinct 999,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",0
Precinct 999,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",0
Precinct 999,"U.S. Representative in Congress, District 2","MARSHALL, KATE",0
