candidate,party,votes,percent,office
"AMODEI, MARK E.",REPUBLICAN,36797,52.28,"U.S REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"FASANO, TIMOTHY",INDEPENDENT AMERICAN,1016,1.44,"U.S REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"LEHMANN, HELMUTH",INDEPENDENT,3066,4.36,"U.S REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"MARSHALL, KATE",DEMOCRAT,29510,41.92,"U.S REPRESENTATIVE IN CONGRESS, DISTRICT 2"
