precinct,office,candidate,votes
Precinct 1,"U.S. Representative in Congress, District 2","Amodei, Mark E.",57
Precinct 1,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",1
Precinct 1,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",5
Precinct 1,"U.S. Representative in Congress, District 2","MARSHALL, KATE",12
Precinct 2,"U.S. Representative in Congress, District 2","Amodei, Mark E.",20
Precinct 2,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",2
Precinct 2,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",5
Precinct 2,"U.S. Representative in Congress, District 2","MARSHALL, KATE",4
Precinct 3,"U.S. Representative in Congress, District 2","Amodei, Mark E.",74
Precinct 3,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",6
Precinct 3,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",2
Precinct 3,"U.S. Representative in Congress, District 2","MARSHALL, KATE",10
Precinct 4,"U.S. Representative in Congress, District 2","Amodei, Mark E.",6
Precinct 4,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",0
Precinct 4,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",1
Precinct 4,"U.S. Representative in Congress, District 2","MARSHALL, KATE",3
Precinct 5,"U.S. Representative in Congress, District 2","Amodei, Mark E.",
Precinct 5,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",
Precinct 5,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",
Precinct 5,"U.S. Representative in Congress, District 2","MARSHALL, KATE",
Precinct 99,"U.S. Representative in Congress, District 2","Amodei, Mark E.",0
Precinct 99,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",0
Precinct 99,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",0
Precinct 99,"U.S. Representative in Congress, District 2","MARSHALL, KATE",0
