candidate,party,votes,percent,office
"AMODEI, MARK E.",REPUBLICAN,3369,72.86,"U.S REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"FASANO, TIMOTHY",INDEPENDENT AMERICAN,154,3.33,"U.S REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"LEHMANN, HELMUTH",INDEPENDENT,139,3.01,"U.S REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"MARSHALL, KATE",DEMOCRAT,962,20.80,"U.S REPRESENTATIVE IN CONGRESS, DISTRICT 2"
