precinct,office,candidate,votes
PRECINCT 1,"U.S. Representative in Congress, District 2","Amodei, Mark E.",195
PRECINCT 1,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",10
PRECINCT 1,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",26
PRECINCT 1,"U.S. Representative in Congress, District 2","MARSHALL, KATE",67
PRECINCT 3,"U.S. Representative in Congress, District 2","Amodei, Mark E.",79
PRECINCT 3,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",8
PRECINCT 3,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",17
PRECINCT 3,"U.S. Representative in Congress, District 2","MARSHALL, KATE",50
PRECINCT 4,"U.S. Representative in Congress, District 2","Amodei, Mark E.",45
PRECINCT 4,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",5
PRECINCT 4,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",10
PRECINCT 4,"U.S. Representative in Congress, District 2","MARSHALL, KATE",37
PRECINCT 5,"U.S. Representative in Congress, District 2","Amodei, Mark E.",37
PRECINCT 5,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",7
PRECINCT 5,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",9
PRECINCT 5,"U.S. Representative in Congress, District 2","MARSHALL, KATE",10
PRECINCT 6,"U.S. Representative in Congress, District 2","Amodei, Mark E.",73
PRECINCT 6,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",6
PRECINCT 6,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",8
PRECINCT 6,"U.S. Representative in Congress, District 2","MARSHALL, KATE",28
PRECINCT 7,"U.S. Representative in Congress, District 2","Amodei, Mark E.",96
PRECINCT 7,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",9
PRECINCT 7,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",12
PRECINCT 7,"U.S. Representative in Congress, District 2","MARSHALL, KATE",25
PRECINCT 999,"U.S. Representative in Congress, District 2","Amodei, Mark E.",0
PRECINCT 999,"U.S. Representative in Congress, District 2","FASANO, TIMOTHY",0
PRECINCT 999,"U.S. Representative in Congress, District 2","LEHMANN, HELMUTH",0
PRECINCT 999,"U.S. Representative in Congress, District 2","MARSHALL, KATE",0
