candidate,party,votes,percent,office
"AMODEI, MARK E.",REPUBLICAN,597,73.98,"U.S REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"FASANO, TIMOTHY",INDEPENDENT AMERICAN,29,3.59,"U.S REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"LEHMANN, HELMUTH",INDEPENDENT,50,6.20,"U.S REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"MARSHALL, KATE",DEMOCRAT,131,16.23,"U.S REPRESENTATIVE IN CONGRESS, DISTRICT 2"
