candidate,party,percent,votes,office
"COOK, SHIRLEY",REP,4.75%,191,GOVERNOR (REP)
"GUINN, KENNY C.Incumbent",REP,87.84%,"3,531",GOVERNOR (REP)
"HIETT, BILL",REP,1.07%,43,GOVERNOR (REP)
"LUSAK, STANLEIGH HAROLD",REP,0.27%,11,GOVERNOR (REP)
"POLIAK,",REP,0.12%,5,GOVERNOR (REP)
"PREVOT, JAMES K.",REP,0.25%,10,GOVERNOR (REP)
"WESTCOTT, BRUCE",REP,1.14%,46,GOVERNOR (REP)
None of these Candidates,,4.55%,183,GOVERNOR (REP)
Under Votes,,0.00%,0,GOVERNOR (REP)
Over Votes,,0.00%,0,GOVERNOR (REP)
"MEYER, DAN",DEM,12.07%,151,GOVERNOR (DEM)
"NEAL, JOE",DEM,33.57%,420,GOVERNOR (DEM)
"PETRELLA, CHRISTOPHER J.",DEM,4.96%,62,GOVERNOR (DEM)
"SCOTT, BARBARA",DEM,27.34%,342,GOVERNOR (DEM)
None of these Candidates,,22.06%,276,GOVERNOR (DEM)
Under Votes,,0.00%,0,GOVERNOR (DEM)
Over Votes,,0.00%,0,GOVERNOR (DEM)
