candidate,party,percent,votes,office
"COOK, SHIRLEY",REP,5.20%,"1,415",GOVERNOR (REP)
"GUINN, KENNY C.Incumbent",REP,87.05%,"23,689",GOVERNOR (REP)
"HIETT, BILL",REP,0.64%,174,GOVERNOR (REP)
"LUSAK, STANLEIGH HAROLD",REP,0.51%,140,GOVERNOR (REP)
"POLIAK,",REP,0.35%,95,GOVERNOR (REP)
"PREVOT, JAMES K.",REP,0.33%,89,GOVERNOR (REP)
"WESTCOTT, BRUCE",REP,1.44%,392,GOVERNOR (REP)
None of these Candidates,,4.48%,"1,220",GOVERNOR (REP)
Under Votes,,0.00%,0,GOVERNOR (REP)
Over Votes,,0.00%,0,GOVERNOR (REP)
"MEYER, DAN",DEM,11.92%,"1,888",GOVERNOR (DEM)
"NEAL, JOE",DEM,35.11%,"5,563",GOVERNOR (DEM)
"PETRELLA, CHRISTOPHER J.",DEM,4.05%,641,GOVERNOR (DEM)
"SCOTT, BARBARA",DEM,23.67%,"3,751",GOVERNOR (DEM)
None of these Candidates,,25.25%,"4,001",GOVERNOR (DEM)
Under Votes,,0.00%,0,GOVERNOR (DEM)
Over Votes,,0.00%,0,GOVERNOR (DEM)
"HUNT, LORRAINE Incumbent",REP,81.48%,"21,657",LIEUTENANT GOVERNOR (REP)
"LARRIVEE, GERRY",REP,12.66%,"3,366",LIEUTENANT GOVERNOR (REP)
None of these Candidates,,5.86%,"1,557",LIEUTENANT GOVERNOR (REP)
Under Votes,,0.00%,0,LIEUTENANT GOVERNOR (REP)
Over Votes,,0.00%,0,LIEUTENANT GOVERNOR (REP)
"WASHINGTON, MAURICE",REP,65.47%,"3,933",SENATE WASHOE DISTRICT 2 (REP)
"WRIGHT, WANDA",REP,25.04%,"1,504",SENATE WASHOE DISTRICT 2 (REP)
"YACOBOZZI, JR., WILLIAM",REP,9.49%,570,SENATE WASHOE DISTRICT 2 (REP)
Under Votes,,0.00%,0,SENATE WASHOE DISTRICT 2 (REP)
Over Votes,,0.00%,0,SENATE WASHOE DISTRICT 2 (REP)
"KEETON, TOM",REP,39.63%,107,ASSEMBLY DISTRICT 40 (REP)
"KNECHT, RON",REP,44.07%,119,ASSEMBLY DISTRICT 40 (REP)
"REEVES, WILLIAM ""BILL""  LEE",REP,16.30%,44,ASSEMBLY DISTRICT 40 (REP)
Under Votes,,0.00%,0,ASSEMBLY DISTRICT 40 (REP)
Over Votes,,0.00%,0,ASSEMBLY DISTRICT 40 (REP)
"GILBERT, JAN",DEM,78.81%,"1,860",STATE ASSEMBLY DISTICT 26 (DEM)
"LOVE, DAVID  C",DEM,21.19%,500,STATE ASSEMBLY DISTICT 26 (DEM)
Under Votes,,0.00%,0,STATE ASSEMBLY DISTICT 26 (DEM)
Over Votes,,0.00%,0,STATE ASSEMBLY DISTICT 26 (DEM)
"ANGLE, SHARRON",REP,51.19%,"3,045",STATE ASSEMBLY DISTRICT 26 (REP)
"BROWER, GREG",REP,48.81%,"2,903",STATE ASSEMBLY DISTRICT 26 (REP)
Under Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 26 (REP)
Over Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 26 (REP)
"SMITH, DEBBIE",DEM,83.73%,"1,528",STATE ASSEMBLY DISTRICT 30 (DEM)
"WILSON, GERALD NEAL",DEM,16.27%,297,STATE ASSEMBLY DISTRICT 30 (DEM)
Under Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 30 (DEM)
Over Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 30 (DEM)
"CORTEZ, GILBERT M",REP,16.94%,299,STATE ASSEMBLY DISTRICT 30 (REP)
"GUSTAVSON, DON",REP,83.06%,"1,466",STATE ASSEMBLY DISTRICT 30 (REP)
Under Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 30 (REP)
Over Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 30 (REP)
"COVERT, JIM",REP,40.23%,"2,538",COUNTY COMMISSIONER DISTRICT 2 (REP)
"HUMKE, DAVID",REP,59.77%,"3,770",COUNTY COMMISSIONER DISTRICT 2 (REP)
Under Votes,,0.00%,0,COUNTY COMMISSIONER DISTRICT 2 (REP)
Over Votes,,0.00%,0,COUNTY COMMISSIONER DISTRICT 2 (REP)
"BOND, JOANNE",REP,36.73%,"1,494",COUNTY COMMISSIONER DISTRICT 5 (REP)
"FEERO, GARY",REP,15.73%,640,COUNTY COMMISSIONER DISTRICT 5 (REP)
"LOGAN, WAYNE ADAM",REP,9.24%,376,COUNTY COMMISSIONER DISTRICT 5 (REP)
"WEBER, BONNIE",REP,38.30%,"1,558",COUNTY COMMISSIONER DISTRICT 5 (REP)
Under Votes,,0.00%,0,COUNTY COMMISSIONER DISTRICT 5 (REP)
Over Votes,,0.00%,0,COUNTY COMMISSIONER DISTRICT 5 (REP)
"DONOVAN, RICHARD T",DEM,28.77%,"4,333",COUNTY ASSESSOR (DEM)
"MCGOWAN, ROBERT  W",DEM,71.23%,"10,728",COUNTY ASSESSOR (DEM)
Under Votes,,0.00%,0,COUNTY ASSESSOR (DEM)
Over Votes,,0.00%,0,COUNTY ASSESSOR (DEM)
"CASELLI, JOHN",REP,33.07%,"8,032",PUBLIC ADMINISTRATOR (REP)
"CAVALLO, DON",REP,66.93%,"16,254",PUBLIC ADMINISTRATOR (REP)
Under Votes,,0.00%,0,PUBLIC ADMINISTRATOR (REP)
Over Votes,,0.00%,0,PUBLIC ADMINISTRATOR (REP)
"ARTEMIS, BECKY",REP,27.10%,"6,777",COUNTY RECORDER (REP)
"BURKE, KATHRYN L",REP,72.90%,"18,227",COUNTY RECORDER (REP)
Under Votes,,0.00%,0,COUNTY RECORDER (REP)
Over Votes,,0.00%,0,COUNTY RECORDER (REP)
"BALAAM, DENNIS",NP,49.28%,"22,541",SHERIFF (NP)
"BOWEN, WILLIAM",NP,42.12%,"19,268",SHERIFF (NP)
"NIGHTINGALE, DANIEL",NP,5.64%,"2,581",SHERIFF (NP)
"SMALL, JAY A",NP,2.96%,"1,353",SHERIFF (NP)
Under Votes,,0.00%,0,SHERIFF (NP)
Over Votes,,0.00%,0,SHERIFF (NP)
"MITCHELL, GALEN",NP,41.84%,"3,289",SCHOOL TRUSTEE SEAT C (NP)
"SHORT, FRANCES",NP,39.70%,"3,121",SCHOOL TRUSTEE SEAT C (NP)
"TRIMMER, CHARLES A",NP,18.46%,"1,451",SCHOOL TRUSTEE SEAT C (NP)
Under Votes,,0.00%,0,SCHOOL TRUSTEE SEAT C (NP)
Over Votes,,0.00%,0,SCHOOL TRUSTEE SEAT C (NP)
"BOHN, JOHN A",NP,23.45%,738,"GID, INCLINE VILLAGE (NP)"
"BROCKMAN, GENE",NP,29.77%,937,"GID, INCLINE VILLAGE (NP)"
"KAPLAN, DON",NP,16.05%,505,"GID, INCLINE VILLAGE (NP)"
"KELLER, HANS",NP,4.77%,150,"GID, INCLINE VILLAGE (NP)"
"PRIMOSCH, HERB",NP,1.40%,44,"GID, INCLINE VILLAGE (NP)"
"SHIRK, JIM",NP,5.34%,168,"GID, INCLINE VILLAGE (NP)"
"ZAHLER, PAUL",NP,19.22%,605,"GID, INCLINE VILLAGE (NP)"
Under Votes,,0.00%,0,"GID, INCLINE VILLAGE (NP)"
Over Votes,,0.00%,0,"GID, INCLINE VILLAGE (NP)"
"BROSE, DWIGHT",NP,1.16%,275,MAYOR (NP)
"CASHELL, BOB",NP,53.45%,"12,628",MAYOR (NP)
"DEHNE, CHAD",NP,1.76%,415,MAYOR (NP)
"HALLER, KEN",NP,2.61%,616,MAYOR (NP)
