candidate,party,percent,votes,office
"BOGGS- MCDONALD, LYNETTE MARIA",REP,78.89%,"16,838","REPRESENTATIVE IN CONGRESS, DISTRICT 1 (REP)"
"ORDUNEZ, ALFRED",REP,21.11%,"4,506","REPRESENTATIVE IN CONGRESS, DISTRICT 1 (REP)"
Under Votes,,0.00%,0,"REPRESENTATIVE IN CONGRESS, DISTRICT 1 (REP)"
Over Votes,,0.00%,0,"REPRESENTATIVE IN CONGRESS, DISTRICT 1 (REP)"
"BUDETICH, JR., MARK J.",DEM,31.20%,"9,419","REPRESENTATIVE IN CONGRESS, DISTRICT 3 (DEM)"
"HERRERA, DARIO",DEM,68.80%,"20,773","REPRESENTATIVE IN CONGRESS, DISTRICT 3 (DEM)"
Under Votes,,0.00%,0,"REPRESENTATIVE IN CONGRESS, DISTRICT 3 (DEM)"
Over Votes,,0.00%,0,"REPRESENTATIVE IN CONGRESS, DISTRICT 3 (DEM)"
"BILBRAY, BARRY D.",REP,16.66%,"6,179","REPRESENTATIVE IN CONGRESS, DISTRICT 3 (REP)"
"DAILY, BOB",REP,5.53%,"2,052","REPRESENTATIVE IN CONGRESS, DISTRICT 3 (REP)"
"KIGER, SUSAN",REP,9.19%,"3,407","REPRESENTATIVE IN CONGRESS, DISTRICT 3 (REP)"
"PORTER, JON",REP,68.62%,"25,446","REPRESENTATIVE IN CONGRESS, DISTRICT 3 (REP)"
Under Votes,,0.00%,0,"REPRESENTATIVE IN CONGRESS, DISTRICT 3 (REP)"
Over Votes,,0.00%,0,"REPRESENTATIVE IN CONGRESS, DISTRICT 3 (REP)"
"COOK, SHIRLEY",REP,7.57%,"4,689",GOVERNOR (REP)
"GUINN, KENNY C.Incumbent",REP,80.59%,"49,884",GOVERNOR (REP)
"HIETT, BILL",REP,1.06%,659,GOVERNOR (REP)
"LUSAK, STANLEIGH HAROLD",REP,0.48%,296,GOVERNOR (REP)
"POLIAK,",REP,0.36%,224,GOVERNOR (REP)
"PREVOT, JAMES K.",REP,0.57%,355,GOVERNOR (REP)
"WESTCOTT, BRUCE",REP,2.64%,"1,634",GOVERNOR (REP)
None of these Candidates,,6.72%,"4,161",GOVERNOR (REP)
Under Votes,,0.00%,0,GOVERNOR (REP)
Over Votes,,0.00%,0,GOVERNOR (REP)
"MEYER, DAN",DEM,13.18%,"7,523",GOVERNOR (DEM)
"NEAL, JOE",DEM,38.28%,"21,855",GOVERNOR (DEM)
"PETRELLA, CHRISTOPHER J.",DEM,6.20%,"3,542",GOVERNOR (DEM)
"SCOTT, BARBARA",DEM,19.77%,"11,288",GOVERNOR (DEM)
None of these Candidates,,22.57%,"12,884",GOVERNOR (DEM)
Under Votes,,0.00%,0,GOVERNOR (DEM)
Over Votes,,0.00%,0,GOVERNOR (DEM)
"HUNT, LORRAINE Incumbent",REP,84.17%,"51,033",LIEUTENANT GOVERNOR (REP)
"LARRIVEE, GERRY",REP,10.62%,"6,442",LIEUTENANT GOVERNOR (REP)
None of these Candidates,,5.21%,"3,157",LIEUTENANT GOVERNOR (REP)
Under Votes,,0.00%,0,LIEUTENANT GOVERNOR (REP)
Over Votes,,0.00%,0,LIEUTENANT GOVERNOR (REP)
"GOBEL, SHARON",DEM,39.18%,"3,268",STATE SENATE DISTRICT 5 (DEM)
"HAWK, JOHN",DEM,60.82%,"5,074",STATE SENATE DISTRICT 5 (DEM)
Under Votes,,0.00%,0,STATE SENATE DISTRICT 5 (DEM)
Over Votes,,0.00%,0,STATE SENATE DISTRICT 5 (DEM)
"TIFFANY, SANDRA",REP,73.28%,"7,932",STATE SENATE DISTRICT 5 (REP)
"WONG, BOB",REP,26.72%,"2,892",STATE SENATE DISTRICT 5 (REP)
Under Votes,,0.00%,0,STATE SENATE DISTRICT 5 (REP)
Over Votes,,0.00%,0,STATE SENATE DISTRICT 5 (REP)
"HANSEN, KRISTEN",DEM,66.07%,"2,490",STATE SENATE DISTRICT 8 (DEM)
"PORTELLO, EDWARD",DEM,33.93%,"1,279",STATE SENATE DISTRICT 8 (DEM)
Under Votes,,0.00%,0,STATE SENATE DISTRICT 8 (DEM)
Over Votes,,0.00%,0,STATE SENATE DISTRICT 8 (DEM)
"CEGAVSKE, BARBARA K",REP,55.93%,"3,738",STATE SENATE DISTRICT 8 (REP)
"CHRISTENSEN, TOM",REP,44.07%,"2,945",STATE SENATE DISTRICT 8 (REP)
Under Votes,,0.00%,0,STATE SENATE DISTRICT 8 (REP)
Over Votes,,0.00%,0,STATE SENATE DISTRICT 8 (REP)
"BUNKER, RICHARD W.",REP,49.15%,"4,274",STATE SENATE DISTRICT 9 (REP)
"NOLAN, DENNIS",REP,50.85%,"4,421",STATE SENATE DISTRICT 9 (REP)
Under Votes,,0.00%,0,STATE SENATE DISTRICT 9 (REP)
Over Votes,,0.00%,0,STATE SENATE DISTRICT 9 (REP)
"COLLINS, TOM",DEM,79.15%,"1,765",STATE ASSEMBLY DISTRICT 1 (DEM)
"HOWARD, BRENT",DEM,20.85%,465,STATE ASSEMBLY DISTRICT 1 (DEM)
Under Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 1 (DEM)
Over Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 1 (DEM)
"OPOLKA, DOUG",REP,53.54%,938,STATE ASSEMBLY DISTRICT 1 (REP)
"SCHNACKENBERG, ARVID",REP,46.46%,814,STATE ASSEMBLY DISTRICT 1 (REP)
Under Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 1 (REP)
Over Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 1 (REP)
"BERMAN, MERLE",REP,47.18%,"2,061",STATE ASSEMBLY DISTRICT 2 (REP)
"MABEY, GARN",REP,52.82%,"2,307",STATE ASSEMBLY DISTRICT 2 (REP)
Under Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 2 (REP)
Over Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 2 (REP)
"GRIEGO, DAVID",REP,34.19%,946,STATE ASSEMBLY DISTRICT 5 (REP)
"WEBER, VALERIE",REP,65.81%,"1,821",STATE ASSEMBLY DISTRICT 5 (REP)
Under Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 5 (REP)
Over Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 5 (REP)
"ARBERRY, JR., MORSE",DEM,74.10%,"1,442",STATE ASSEMBLY DISTRICT 7 (DEM)
"RUTHERFORD, SHAWN J",DEM,25.90%,504,STATE ASSEMBLY DISTRICT 7 (DEM)
Under Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 7 (DEM)
Over Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 7 (DEM)
"GLOVER, DARRYL L",REP,42.26%,295,STATE ASSEMBLY DISTRICT 7 (REP)
"WESLEY, JOANNA",REP,57.74%,403,STATE ASSEMBLY DISTRICT 7 (REP)
Under Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 7 (REP)
Over Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 7 (REP)
"BACHE, DOUG",DEM,37.38%,348,STATE ASSEMBLY DISTRICT 11 (DEM)
"CANTU, GEORGE",DEM,24.06%,224,STATE ASSEMBLY DISTRICT 11 (DEM)
