candidate,party,percent,votes,office
"COOK, SHIRLEY",REP,4.44%,35,GOVERNOR (REP)
"GUINN, KENNY C.Incumbent",REP,83.14%,656,GOVERNOR (REP)
"HIETT, BILL",REP,1.65%,13,GOVERNOR (REP)
"LUSAK, STANLEIGH HAROLD",REP,0.38%,3,GOVERNOR (REP)
"POLIAK,",REP,0.51%,4,GOVERNOR (REP)
"PREVOT, JAMES K.",REP,0.89%,7,GOVERNOR (REP)
"WESTCOTT, BRUCE",REP,1.90%,15,GOVERNOR (REP)
None of these Candidates,,6.21%,49,GOVERNOR (REP)
Under Votes,,0.38%,3,GOVERNOR (REP)
Over Votes,,0.51%,4,GOVERNOR (REP)
"MEYER, DAN",DEM,9.78%,112,GOVERNOR (DEM)
"NEAL, JOE",DEM,23.32%,267,GOVERNOR (DEM)
"PETRELLA, CHRISTOPHER J.",DEM,7.77%,89,GOVERNOR (DEM)
"SCOTT, BARBARA",DEM,16.86%,193,GOVERNOR (DEM)
None of these Candidates,,35.46%,406,GOVERNOR (DEM)
Under Votes,,6.46%,74,GOVERNOR (DEM)
Over Votes,,0.35%,4,GOVERNOR (DEM)
"HUNT, LORRAINE Incumbent",REP,76.93%,607,LIEUTENANT GOVERNOR (REP)
"LARRIVEE, GERRY",REP,10.01%,79,LIEUTENANT GOVERNOR (REP)
None of these Candidates,,8.37%,66,LIEUTENANT GOVERNOR (REP)
Under Votes,,4.44%,35,LIEUTENANT GOVERNOR (REP)
Over Votes,,0.25%,2,LIEUTENANT GOVERNOR (REP)
"CHACHAS, GEORGE C",DEM,39.30%,450,COUNTY COMMISSION SEAT FIVE (DEM)
"GILES, WILLIAM TIMOTHY",DEM,12.23%,140,COUNTY COMMISSION SEAT FIVE (DEM)
"PEREA, GARY",DEM,46.72%,535,COUNTY COMMISSION SEAT FIVE (DEM)
Under Votes,,1.57%,18,COUNTY COMMISSION SEAT FIVE (DEM)
Over Votes,,0.17%,2,COUNTY COMMISSION SEAT FIVE (DEM)
"KIRKEBY, KEVIN S",REP,50.06%,395,COUNTY COMMISSION SEAT FIVE (REP)
"LAMPROS, JOHN S",REP,34.22%,270,COUNTY COMMISSION SEAT FIVE (REP)
"POLLOCK, ELAINE",REP,13.94%,110,COUNTY COMMISSION SEAT FIVE (REP)
Under Votes,,1.65%,13,COUNTY COMMISSION SEAT FIVE (REP)
Over Votes,,0.13%,1,COUNTY COMMISSION SEAT FIVE (REP)
