candidate,party,percent,votes,office
"COOK, SHIRLEY",REP,5.15%,84,GOVERNOR (REP)
"GUINN, KENNY C.Incumbent",REP,84.60%,"1,379",GOVERNOR (REP)
"HIETT, BILL",REP,1.29%,21,GOVERNOR (REP)
"LUSAK, STANLEIGH HAROLD",REP,0.55%,9,GOVERNOR (REP)
"POLIAK,",REP,0.12%,2,GOVERNOR (REP)
"PREVOT, JAMES K.",REP,0.61%,10,GOVERNOR (REP)
"WESTCOTT, BRUCE",REP,1.10%,18,GOVERNOR (REP)
None of these Candidates,,5.52%,90,GOVERNOR (REP)
Under Votes,,1.04%,17,GOVERNOR (REP)
Over Votes,,0.00%,0,GOVERNOR (REP)
"MEYER, DAN",DEM,14.21%,142,GOVERNOR (DEM)
"NEAL, JOE",DEM,17.22%,172,GOVERNOR (DEM)
"PETRELLA, CHRISTOPHER J.",DEM,4.50%,45,GOVERNOR (DEM)
"SCOTT, BARBARA",DEM,22.22%,222,GOVERNOR (DEM)
None of these Candidates,,34.73%,347,GOVERNOR (DEM)
Under Votes,,7.11%,71,GOVERNOR (DEM)
Over Votes,,0.00%,0,GOVERNOR (DEM)
"HUNT, LORRAINE Incumbent",REP,78.40%,"1,278",LIEUTENANT GOVERNOR (REP)
"LARRIVEE, GERRY",REP,9.33%,152,LIEUTENANT GOVERNOR (REP)
None of these Candidates,,7.73%,126,LIEUTENANT GOVERNOR (REP)
Under Votes,,4.48%,73,LIEUTENANT GOVERNOR (REP)
Over Votes,,0.06%,1,LIEUTENANT GOVERNOR (REP)
"CARPENTER, JOHN C.Incumbent",REP,72.14%,189,ASSEMBLY DISTRICT 33 (REP)
"MEADE, MIKE J.",REP,14.50%,38,ASSEMBLY DISTRICT 33 (REP)
"WILLIAMS, CHARLES R.",REP,7.63%,20,ASSEMBLY DISTRICT 33 (REP)
Under Votes,,5.73%,15,ASSEMBLY DISTRICT 33 (REP)
Over Votes,,0.00%,0,ASSEMBLY DISTRICT 33 (REP)
"IROZ, JOHN  M",NP,34.72%,"1,019","DISTRICT COURT JUDGE, DISTRICT 6, DEPARTMENT 2 (NP)"
"MAHER, KENT",NP,16.63%,488,"DISTRICT COURT JUDGE, DISTRICT 6, DEPARTMENT 2 (NP)"
"PLIMPTON, TODD",NP,1.94%,57,"DISTRICT COURT JUDGE, DISTRICT 6, DEPARTMENT 2 (NP)"
"SULLIVAN, JERRY V",NP,41.84%,"1,228","DISTRICT COURT JUDGE, DISTRICT 6, DEPARTMENT 2 (NP)"
"TANNER, MILO",NP,3.44%,101,"DISTRICT COURT JUDGE, DISTRICT 6, DEPARTMENT 2 (NP)"
Under Votes,,1.06%,31,"DISTRICT COURT JUDGE, DISTRICT 6, DEPARTMENT 2 (NP)"
Over Votes,,0.37%,11,"DISTRICT COURT JUDGE, DISTRICT 6, DEPARTMENT 2 (NP)"
