candidate,party,percent,votes,office
"COOK, SHIRLEY",REP,9.74%,15,GOVERNOR (REP)
"GUINN, KENNY C.Incumbent",REP,66.88%,103,GOVERNOR (REP)
"HIETT, BILL",REP,4.55%,7,GOVERNOR (REP)
"LUSAK, STANLEIGH HAROLD",REP,0.65%,1,GOVERNOR (REP)
"POLIAK,",REP,0.65%,1,GOVERNOR (REP)
"PREVOT, JAMES K.",REP,1.95%,3,GOVERNOR (REP)
"WESTCOTT, BRUCE",REP,1.30%,2,GOVERNOR (REP)
None of these Candidates,,12.99%,20,GOVERNOR (REP)
Under Votes,,1.30%,2,GOVERNOR (REP)
Over Votes,,0.00%,0,GOVERNOR (REP)
"MEYER, DAN",DEM,7.45%,7,GOVERNOR (DEM)
"NEAL, JOE",DEM,18.09%,17,GOVERNOR (DEM)
"PETRELLA, CHRISTOPHER J.",DEM,8.51%,8,GOVERNOR (DEM)
"SCOTT, BARBARA",DEM,28.72%,27,GOVERNOR (DEM)
None of these Candidates,,35.11%,33,GOVERNOR (DEM)
Under Votes,,2.13%,2,GOVERNOR (DEM)
Over Votes,,0.00%,0,GOVERNOR (DEM)
"HUNT, LORRAINE Incumbent",REP,68.18%,105,LIEUTENANT GOVERNOR (REP)
"LARRIVEE, GERRY",REP,14.29%,22,LIEUTENANT GOVERNOR (REP)
None of these Candidates,,14.29%,22,LIEUTENANT GOVERNOR (REP)
Under Votes,,3.25%,5,LIEUTENANT GOVERNOR (REP)
Over Votes,,0.00%,0,LIEUTENANT GOVERNOR (REP)
"CARSON , GARY",REP,17.53%,27,ASSEMBLY DISTRICT 36 (REP)
"HARTMANN, SHELLEY WADSWORTH",REP,32.47%,50,ASSEMBLY DISTRICT 36 (REP)
"SHERER, ROD",REP,42.86%,66,ASSEMBLY DISTRICT 36 (REP)
Under Votes,,7.14%,11,ASSEMBLY DISTRICT 36 (REP)
Over Votes,,0.00%,0,ASSEMBLY DISTRICT 36 (REP)
