candidate,party,percent,votes,office
"COOK, SHIRLEY",REP,6.20%,354,GOVERNOR (REP)
"GUINN, KENNY C.Incumbent",REP,82.51%,"4,708",GOVERNOR (REP)
"HIETT, BILL",REP,0.81%,46,GOVERNOR (REP)
"LUSAK, STANLEIGH HAROLD",REP,0.42%,24,GOVERNOR (REP)
"POLIAK,",REP,0.26%,15,GOVERNOR (REP)
"PREVOT, JAMES K.",REP,0.40%,23,GOVERNOR (REP)
"WESTCOTT, BRUCE",REP,1.74%,99,GOVERNOR (REP)
None of these Candidates,,7.66%,437,GOVERNOR (REP)
Under Votes,,0.00%,0,GOVERNOR (REP)
Over Votes,,0.00%,0,GOVERNOR (REP)
"MEYER, DAN",DEM,10.08%,319,GOVERNOR (DEM)
"NEAL, JOE",DEM,38.95%,"1,233",GOVERNOR (DEM)
"PETRELLA, CHRISTOPHER J.",DEM,3.32%,105,GOVERNOR (DEM)
"SCOTT, BARBARA",DEM,21.16%,670,GOVERNOR (DEM)
None of these Candidates,,26.50%,839,GOVERNOR (DEM)
Under Votes,,0.00%,0,GOVERNOR (DEM)
Over Votes,,0.00%,0,GOVERNOR (DEM)
"HUNT, LORRAINE Incumbent",REP,81.50%,"4,255",LIEUTENANT GOVERNOR (REP)
"LARRIVEE, GERRY",REP,12.89%,673,LIEUTENANT GOVERNOR (REP)
None of these Candidates,,5.61%,293,LIEUTENANT GOVERNOR (REP)
Under Votes,,0.00%,0,LIEUTENANT GOVERNOR (REP)
Over Votes,,0.00%,0,LIEUTENANT GOVERNOR (REP)
"BISHOP, ROGER",REP,11.99%,120,ASSEMBLY DISTRICT 38 (REP)
"GRADY, TOM",REP,51.15%,512,ASSEMBLY DISTRICT 38 (REP)
"SOUTHARD, BUD",REP,24.98%,250,ASSEMBLY DISTRICT 38 (REP)
"WAGNER, DONALD E",REP,11.89%,119,ASSEMBLY DISTRICT 38 (REP)
Under Votes,,0.00%,0,ASSEMBLY DISTRICT 38 (REP)
Over Votes,,0.00%,0,ASSEMBLY DISTRICT 38 (REP)
