candidate,party,percent,votes,office
"COOK, SHIRLEY",REP,4.85%,37,GOVERNOR (REP)
"GUINN, KENNY C.Incumbent",REP,82.04%,626,GOVERNOR (REP)
"HIETT, BILL",REP,0.79%,6,GOVERNOR (REP)
"LUSAK, STANLEIGH HAROLD",REP,0.79%,6,GOVERNOR (REP)
"POLIAK,",REP,0.26%,2,GOVERNOR (REP)
"PREVOT, JAMES K.",REP,0.39%,3,GOVERNOR (REP)
"WESTCOTT, BRUCE",REP,2.62%,20,GOVERNOR (REP)
None of these Candidates,,7.47%,57,GOVERNOR (REP)
Under Votes,,0.66%,5,GOVERNOR (REP)
Over Votes,,0.13%,1,GOVERNOR (REP)
"MEYER, DAN",DEM,20.68%,97,GOVERNOR (DEM)
"NEAL, JOE",DEM,17.06%,80,GOVERNOR (DEM)
"PETRELLA, CHRISTOPHER J.",DEM,4.69%,22,GOVERNOR (DEM)
"SCOTT, BARBARA",DEM,19.40%,91,GOVERNOR (DEM)
None of these Candidates,,35.82%,168,GOVERNOR (DEM)
Under Votes,,2.35%,11,GOVERNOR (DEM)
Over Votes,,0.00%,0,GOVERNOR (DEM)
"HUNT, LORRAINE Incumbent",REP,72.08%,550,LIEUTENANT GOVERNOR (REP)
"LARRIVEE, GERRY",REP,15.20%,116,LIEUTENANT GOVERNOR (REP)
None of these Candidates,,11.01%,84,LIEUTENANT GOVERNOR (REP)
Under Votes,,1.70%,13,LIEUTENANT GOVERNOR (REP)
Over Votes,,0.00%,0,LIEUTENANT GOVERNOR (REP)
"IROZ, JOHN M",NP,15.06%,206,"DISTRICT COURT JUDGE, DISTRICT 6, DEPARTMENT 2 (NP)"
"MAHER, KENT",NP,15.35%,210,"DISTRICT COURT JUDGE, DISTRICT 6, DEPARTMENT 2 (NP)"
"PLIMPTON, TODD",NP,8.92%,122,"DISTRICT COURT JUDGE, DISTRICT 6, DEPARTMENT 2 (NP)"
"SULLIVAN, JERRY V",NP,39.33%,538,"DISTRICT COURT JUDGE, DISTRICT 6, DEPARTMENT 2 (NP)"
"TANNER, MILO",NP,19.88%,272,"DISTRICT COURT JUDGE, DISTRICT 6, DEPARTMENT 2 (NP)"
Under Votes,,1.39%,19,"DISTRICT COURT JUDGE, DISTRICT 6, DEPARTMENT 2 (NP)"
Over Votes,,0.07%,1,"DISTRICT COURT JUDGE, DISTRICT 6, DEPARTMENT 2 (NP)"
"KELLEY, BRADLEY J.",REP,68.94%,526,"COUNTY COMMISSIONER, DISTRICT 2 (REP)"
"RODABOUGH, KELLY",REP,12.45%,95,"COUNTY COMMISSIONER, DISTRICT 2 (REP)"
"WELSCH, NICK",REP,15.73%,120,"COUNTY COMMISSIONER, DISTRICT 2 (REP)"
Under Votes,,2.88%,22,"COUNTY COMMISSIONER, DISTRICT 2 (REP)"
Over Votes,,0.00%,0,"COUNTY COMMISSIONER, DISTRICT 2 (REP)"
"DAVIS, KAREN",DEM,39.02%,183,"COUNTY COMMISSIONER, DISTRICT 2 (DEM)"
"PHILLIPS, BOB",DEM,23.45%,110,"COUNTY COMMISSIONER, DISTRICT 2 (DEM)"
"ROGERS, JODY",DEM,34.33%,161,"COUNTY COMMISSIONER, DISTRICT 2 (DEM)"
Under Votes,,3.20%,15,"COUNTY COMMISSIONER, DISTRICT 2 (DEM)"
Over Votes,,0.00%,0,"COUNTY COMMISSIONER, DISTRICT 2 (DEM)"
"PIERCE, GRADY",DEM,36.03%,169,"COUNTY COMMISSIONER, DISTRICT 3 (DEM)"
"VIERRA, J.D.",DEM,12.15%,57,"COUNTY COMMISSIONER, DISTRICT 3 (DEM)"
"YARBRO, MICKEY Incumbent",DEM,49.25%,231,"COUNTY COMMISSIONER, DISTRICT 3 (DEM)"
Under Votes,,2.56%,12,"COUNTY COMMISSIONER, DISTRICT 3 (DEM)"
Over Votes,,0.00%,0,"COUNTY COMMISSIONER, DISTRICT 3 (DEM)"
