candidate,party,percent,votes,office
"COOK, SHIRLEY",REP,6.34%,210,GOVERNOR (REP)
"GUINN, KENNY C.Incumbent",REP,84.86%,"2,809",GOVERNOR (REP)
"HIETT, BILL",REP,1.00%,33,GOVERNOR (REP)
"LUSAK, STANLEIGH HAROLD",REP,0.63%,21,GOVERNOR (REP)
"POLIAK,",REP,0.27%,9,GOVERNOR (REP)
"PREVOT, JAMES K.",REP,0.18%,6,GOVERNOR (REP)
"WESTCOTT, BRUCE",REP,1.36%,45,GOVERNOR (REP)
None of these Candidates,,5.35%,177,GOVERNOR (REP)
Under Votes,,0.00%,0,GOVERNOR (REP)
Over Votes,,0.00%,0,GOVERNOR (REP)
"MEYER, DAN",DEM,8.00%,233,GOVERNOR (DEM)
"NEAL, JOE",DEM,15.59%,454,GOVERNOR (DEM)
"PETRELLA, CHRISTOPHER J.",DEM,2.64%,77,GOVERNOR (DEM)
"SCOTT, BARBARA",DEM,20.26%,590,GOVERNOR (DEM)
None of these Candidates,,17.51%,510,GOVERNOR (DEM)
Under Votes,,35.99%,"1,048",GOVERNOR (DEM)
Over Votes,,0.00%,0,GOVERNOR (DEM)
"HUNT, LORRAINE Incumbent",REP,79.50%,"2,537",LIEUTENANT GOVERNOR (REP)
"LARRIVEE, GERRY",REP,12.16%,388,LIEUTENANT GOVERNOR (REP)
None of these Candidates,,8.34%,266,LIEUTENANT GOVERNOR (REP)
Under Votes,,0.00%,0,LIEUTENANT GOVERNOR (REP)
Over Votes,,0.00%,0,LIEUTENANT GOVERNOR (REP)
"WASHINGTON, MAURICE",REP,71.86%,383,SENATE WASHOE DISTRICT 2 (REP)
"WRIGHT, WANDA",REP,16.89%,90,SENATE WASHOE DISTRICT 2 (REP)
"YACOBOZZI, JR., WILLIAM",REP,11.26%,60,SENATE WASHOE DISTRICT 2 (REP)
Under Votes,,0.00%,0,SENATE WASHOE DISTRICT 2 (REP)
Over Votes,,0.00%,0,SENATE WASHOE DISTRICT 2 (REP)
"BISHOP, ROGER",REP,8.32%,262,ASSEMBLY DISTRICT 38 (REP)
"GRADY, TOM",REP,46.24%,"1,456",ASSEMBLY DISTRICT 38 (REP)
"SOUTHARD, BUD",REP,23.44%,738,ASSEMBLY DISTRICT 38 (REP)
"WAGNER, DONALD E",REP,22.01%,693,ASSEMBLY DISTRICT 38 (REP)
Under Votes,,0.00%,0,ASSEMBLY DISTRICT 38 (REP)
Over Votes,,0.00%,0,ASSEMBLY DISTRICT 38 (REP)
"CHAFFIN, LEE ANNE",NP,37.95%,"2,477",COUNTY SCHOOL  DISTRICT NO.  2 (NP)
"LAMBETH, STEPHEN R",NP,23.84%,"1,556",COUNTY SCHOOL  DISTRICT NO.  2 (NP)
"P ICETTI, JOHN E",NP,19.11%,"1,247",COUNTY SCHOOL  DISTRICT NO.  2 (NP)
Under Votes,,0.00%,0,COUNTY SCHOOL  DISTRICT NO.  2 (NP)
Over Votes,,0.00%,0,COUNTY SCHOOL  DISTRICT NO.  2 (NP)
"DOYLE, DAVID A",NP,13.78%,"1,332",COUNTY SCHOOL  DISTRICT NO. 4 (NP)
"JOHNSON, BARBARA S",NP,26.86%,"2,596",COUNTY SCHOOL  DISTRICT NO. 4 (NP)
"SHIRLEY, CHARLES W",NP,14.93%,"1,443",COUNTY SCHOOL  DISTRICT NO. 4 (NP)
Under Votes,,30.65%,"2,963",COUNTY SCHOOL  DISTRICT NO. 4 (NP)
Over Votes,,0.00%,0,COUNTY SCHOOL  DISTRICT NO. 4 (NP)
