candidate,party,percent,votes,office
"COOK, SHIRLEY",REP,8.00%,44,GOVERNOR (REP)
"GUINN, KENNY C.Incumbent",REP,76.73%,422,GOVERNOR (REP)
"HIETT, BILL",REP,1.27%,7,GOVERNOR (REP)
"LUSAK, STANLEIGH HAROLD",REP,0.55%,3,GOVERNOR (REP)
"POLIAK,",REP,0.36%,2,GOVERNOR (REP)
"PREVOT, JAMES K.",REP,0.91%,5,GOVERNOR (REP)
"WESTCOTT, BRUCE",REP,1.27%,7,GOVERNOR (REP)
None of these Candidates,,10.91%,60,GOVERNOR (REP)
Under Votes,,0.00%,0,GOVERNOR (REP)
Over Votes,,0.00%,0,GOVERNOR (REP)
"MEYER, DAN",DEM,9.73%,78,GOVERNOR (DEM)
"NEAL, JOE",DEM,26.43%,212,GOVERNOR (DEM)
"PETRELLA, CHRISTOPHER J.",DEM,4.61%,37,GOVERNOR (DEM)
"SCOTT, BARBARA",DEM,25.81%,207,GOVERNOR (DEM)
None of these Candidates,,33.42%,268,GOVERNOR (DEM)
Under Votes,,0.00%,0,GOVERNOR (DEM)
Over Votes,,0.00%,0,GOVERNOR (DEM)
"HUNT, LORRAINE Incumbent",REP,75.28%,405,LIEUTENANT GOVERNOR (REP)
"LARRIVEE, GERRY",REP,12.83%,69,LIEUTENANT GOVERNOR (REP)
None of these Candidates,,11.90%,64,LIEUTENANT GOVERNOR (REP)
Under Votes,,0.00%,0,LIEUTENANT GOVERNOR (REP)
Over Votes,,0.00%,0,LIEUTENANT GOVERNOR (REP)
"CARSON , GARY",REP,16.05%,82,ASSEMBLY DISTRICT 36 (REP)
"HARTMANN, SHELLEY WADSWORTH",REP,29.16%,149,ASSEMBLY DISTRICT 36 (REP)
"SHERER, ROD",REP,54.79%,280,ASSEMBLY DISTRICT 36 (REP)
Under Votes,,0.00%,0,ASSEMBLY DISTRICT 36 (REP)
Over Votes,,0.00%,0,ASSEMBLY DISTRICT 36 (REP)
"DOCKTER, SHARON YVONNE",NP,18.31%,268,"DISTRICT COURT JUDGE, DISTRICT 5, DEPARTMENT 2 (NP)"
"DUFFY, LAUREL",NP,10.93%,160,"DISTRICT COURT JUDGE, DISTRICT 5, DEPARTMENT 2 (NP)"
"LANE, ROBERT W.Incumbent",NP,70.77%,"1,036","DISTRICT COURT JUDGE, DISTRICT 5, DEPARTMENT 2 (NP)"
Under Votes,,0.00%,0,"DISTRICT COURT JUDGE, DISTRICT 5, DEPARTMENT 2 (NP)"
Over Votes,,0.00%,0,"DISTRICT COURT JUDGE, DISTRICT 5, DEPARTMENT 2 (NP)"
"ABBE, SHEILA",DEM,60.33%,473,COUNTY COMMISSIONER-C (DEM)
"FOWLER, EDWARD M",DEM,39.67%,311,COUNTY COMMISSIONER-C (DEM)
Under Votes,,0.00%,0,COUNTY COMMISSIONER-C (DEM)
Over Votes,,0.00%,0,COUNTY COMMISSIONER-C (DEM)
"BLACK, NANCY",REP,60.00%,324,COUNTY COMMISSIONER C (REP)
"STODDARD, CURTIS A",REP,40.00%,216,COUNTY COMMISSIONER C (REP)
Under Votes,,0.00%,0,COUNTY COMMISSIONER C (REP)
Over Votes,,0.00%,0,COUNTY COMMISSIONER C (REP)
