candidate,party,percent,votes,office
"COOK, SHIRLEY",REP,6.18%,39,GOVERNOR (REP)
"GUINN, KENNY C.Incumbent",REP,80.82%,510,GOVERNOR (REP)
"HIETT, BILL",REP,1.43%,9,GOVERNOR (REP)
"LUSAK, STANLEIGH HAROLD",REP,0.32%,2,GOVERNOR (REP)
"POLIAK,",REP,0.63%,4,GOVERNOR (REP)
"PREVOT, JAMES K.",REP,0.63%,4,GOVERNOR (REP)
"WESTCOTT, BRUCE",REP,2.54%,16,GOVERNOR (REP)
None of these Candidates,,7.45%,47,GOVERNOR (REP)
Under Votes,,0.00%,0,GOVERNOR (REP)
Over Votes,,0.00%,0,GOVERNOR (REP)
"MEYER, DAN",DEM,16.31%,68,GOVERNOR (DEM)
"NEAL, JOE",DEM,31.41%,131,GOVERNOR (DEM)
"PETRELLA, CHRISTOPHER J.",DEM,3.12%,13,GOVERNOR (DEM)
"SCOTT, BARBARA",DEM,16.07%,67,GOVERNOR (DEM)
None of these Candidates,,33.09%,138,GOVERNOR (DEM)
Under Votes,,0.00%,0,GOVERNOR (DEM)
Over Votes,,0.00%,0,GOVERNOR (DEM)
"HUNT, LORRAINE Incumbent",REP,83.41%,513,LIEUTENANT GOVERNOR (REP)
"LARRIVEE, GERRY",REP,10.08%,62,LIEUTENANT GOVERNOR (REP)
None of these Candidates,,6.50%,40,LIEUTENANT GOVERNOR (REP)
Under Votes,,0.00%,0,LIEUTENANT GOVERNOR (REP)
Over Votes,,0.00%,0,LIEUTENANT GOVERNOR (REP)
