candidate,party,percent,votes,office
"COOK, SHIRLEY",REP,4.76%,91,GOVERNOR (REP)
"GUINN, KENNY C.Incumbent",REP,87.04%,"1,665",GOVERNOR (REP)
"HIETT, BILL",REP,0.63%,12,GOVERNOR (REP)
"LUSAK, STANLEIGH HAROLD",REP,1.15%,22,GOVERNOR (REP)
"POLIAK,",REP,0.21%,4,GOVERNOR (REP)
"PREVOT, JAMES K.",REP,0.42%,8,GOVERNOR (REP)
"WESTCOTT, BRUCE",REP,1.20%,23,GOVERNOR (REP)
None of these Candidates,,3.97%,76,GOVERNOR (REP)
Under Votes,,0.52%,10,GOVERNOR (REP)
Over Votes,,0.10%,2,GOVERNOR (REP)
"MEYER, DAN",DEM,10.43%,78,GOVERNOR (DEM)
"NEAL, JOE",DEM,29.28%,219,GOVERNOR (DEM)
"PETRELLA, CHRISTOPHER J.",DEM,3.07%,23,GOVERNOR (DEM)
"SCOTT, BARBARA",DEM,26.07%,195,GOVERNOR (DEM)
None of these Candidates,,31.02%,232,GOVERNOR (DEM)
Under Votes,,0.13%,1,GOVERNOR (DEM)
Over Votes,,0.00%,0,GOVERNOR (DEM)
"HUNT, LORRAINE Incumbent",REP,83.22%,"1,592",LIEUTENANT GOVERNOR (REP)
"LARRIVEE, GERRY",REP,9.25%,177,LIEUTENANT GOVERNOR (REP)
None of these Candidates,,6.22%,119,LIEUTENANT GOVERNOR (REP)
Under Votes,,1.31%,25,LIEUTENANT GOVERNOR (REP)
Over Votes,,0.00%,0,LIEUTENANT GOVERNOR (REP)
