candidate,party,percent,votes,office
"COOK, SHIRLEY",REP,4.82%,21,GOVERNOR (REP)
"GUINN, KENNY C.Incumbent",REP,80.05%,349,GOVERNOR (REP)
"HIETT, BILL",REP,0.92%,4,GOVERNOR (REP)
"LUSAK, STANLEIGH HAROLD",REP,0.23%,1,GOVERNOR (REP)
"POLIAK,",REP,0.23%,1,GOVERNOR (REP)
"PREVOT, JAMES K.",REP,0.23%,1,GOVERNOR (REP)
"WESTCOTT, BRUCE",REP,1.61%,7,GOVERNOR (REP)
None of these Candidates,,11.24%,49,GOVERNOR (REP)
Under Votes,,0.46%,2,GOVERNOR (REP)
Over Votes,,0.23%,1,GOVERNOR (REP)
"MEYER, DAN",DEM,12.50%,19,GOVERNOR (DEM)
"NEAL, JOE",DEM,15.79%,24,GOVERNOR (DEM)
"PETRELLA, CHRISTOPHER J.",DEM,1.97%,3,GOVERNOR (DEM)
"SCOTT, BARBARA",DEM,23.68%,36,GOVERNOR (DEM)
None of these Candidates,,41.45%,63,GOVERNOR (DEM)
Under Votes,,4.61%,7,GOVERNOR (DEM)
Over Votes,,0.00%,0,GOVERNOR (DEM)
"HUNT, LORRAINE Incumbent",REP,62.16%,271,LIEUTENANT GOVERNOR (REP)
"LARRIVEE, GERRY",REP,15.37%,67,LIEUTENANT GOVERNOR (REP)
None of these Candidates,,19.27%,84,LIEUTENANT GOVERNOR (REP)
Under Votes,,3.21%,14,LIEUTENANT GOVERNOR (REP)
Over Votes,,0.00%,0,LIEUTENANT GOVERNOR (REP)
"DYER, ROBERT G",REP,28.44%,124,COUNTY COMMISSIONER DISTRICT 2 (REP)
"PASTORINO, DAVID A",REP,32.34%,141,COUNTY COMMISSIONER DISTRICT 2 (REP)
"STEPHENSON SR, ROBERT  B",REP,38.30%,167,COUNTY COMMISSIONER DISTRICT 2 (REP)
Under Votes,,0.92%,4,COUNTY COMMISSIONER DISTRICT 2 (REP)
Over Votes,,0.00%,0,COUNTY COMMISSIONER DISTRICT 2 (REP)
"GALE, FRANCES E",REP,64.45%,281,COUNTY CLERK & TREASURER (REP)
"MORRISON, BELINDA FAYE",REP,29.36%,128,COUNTY CLERK & TREASURER (REP)
"WALLACK, AIMEE M",REP,5.73%,25,COUNTY CLERK & TREASURER (REP)
Under Votes,,0.46%,2,COUNTY CLERK & TREASURER (REP)
Over Votes,,0.00%,0,COUNTY CLERK & TREASURER (REP)
