candidate,party,percent,votes,office
"COOK, SHIRLEY",REP,5.32%,195,GOVERNOR (REP)
"GUINN, KENNY C.Incumbent",REP,84.17%,"3,083",GOVERNOR (REP)
"HIETT, BILL",REP,1.50%,55,GOVERNOR (REP)
"LUSAK, STANLEIGH HAROLD",REP,0.30%,11,GOVERNOR (REP)
"POLIAK,",REP,0.22%,8,GOVERNOR (REP)
"PREVOT, JAMES K.",REP,0.38%,14,GOVERNOR (REP)
"WESTCOTT, BRUCE",REP,1.64%,60,GOVERNOR (REP)
None of these Candidates,,6.47%,237,GOVERNOR (REP)
Under Votes,,0.00%,0,GOVERNOR (REP)
Over Votes,,0.00%,0,GOVERNOR (REP)
"MEYER, DAN",DEM,13.52%,191,GOVERNOR (DEM)
"NEAL, JOE",DEM,22.36%,316,GOVERNOR (DEM)
"PETRELLA, CHRISTOPHER J.",DEM,3.75%,53,GOVERNOR (DEM)
"SCOTT, BARBARA",DEM,26.82%,379,GOVERNOR (DEM)
None of these Candidates,,33.55%,474,GOVERNOR (DEM)
Under Votes,,0.00%,0,GOVERNOR (DEM)
Over Votes,,0.00%,0,GOVERNOR (DEM)
"HUNT, LORRAINE Incumbent",REP,82.64%,"2,989",LIEUTENANT GOVERNOR (REP)
"LARRIVEE, GERRY",REP,9.62%,348,LIEUTENANT GOVERNOR (REP)
None of these Candidates,,7.74%,280,LIEUTENANT GOVERNOR (REP)
Under Votes,,0.00%,0,LIEUTENANT GOVERNOR (REP)
Over Votes,,0.00%,0,LIEUTENANT GOVERNOR (REP)
"CARPENTER, JOHN C.Incumbent",REP,58.77%,"2,158",ASSEMBLY DISTRICT 33 (REP)
"MEADE, MIKE J.",REP,20.15%,740,ASSEMBLY DISTRICT 33 (REP)
"WILLIAMS, CHARLES R.",REP,21.08%,774,ASSEMBLY DISTRICT 33 (REP)
Under Votes,,0.00%,0,ASSEMBLY DISTRICT 33 (REP)
Over Votes,,0.00%,0,ASSEMBLY DISTRICT 33 (REP)
"ABEYTA, RUBEN",NP,8.92%,395,ELKO CIVIC AUDITORIUM BOARD (B) (NP)
"CALTON, DARRELL C",NP,27.63%,"1,223",ELKO CIVIC AUDITORIUM BOARD (B) (NP)
"HERNANDEZ, GIL",NP,38.45%,"1,702",ELKO CIVIC AUDITORIUM BOARD (B) (NP)
"KIRKWOOD, DOROTHY",NP,24.99%,"1,106",ELKO CIVIC AUDITORIUM BOARD (B) (NP)
Under Votes,,0.00%,0,ELKO CIVIC AUDITORIUM BOARD (B) (NP)
Over Votes,,0.00%,0,ELKO CIVIC AUDITORIUM BOARD (B) (NP)
