precinct,office,candidate,votes
AMARGOSA VLY 06,Attorney General,"Barrick, Travis",131
AMARGOSA VLY 06,Attorney General,"CORTEZ MASTO, CATHERINE",112
AMARGOSA VLY 06,Attorney General,"Hansen, Joel F.",55
AMARGOSA VLY 06,Attorney General,None Of These Candidates,6
AMARGOSA VLY 06,COUNTY ASSESSOR,"MATSON, SHIRLEY",180
AMARGOSA VLY 06,COUNTY ASSESSOR,"MUSSELMAN, SANDRA M.",120
AMARGOSA VLY 06,COUNTY CLERK,"MERLINO, SANDRA ""SAM""",206
AMARGOSA VLY 06,COUNTY CLERK,"OPATIK, NORMA JEAN",84
AMARGOSA VLY 06,COUNTY RECORDER,"BEATTY, DEBORAH",168
AMARGOSA VLY 06,COUNTY RECORDER,"FOSTER, BYRON P.",119
AMARGOSA VLY 06,County Sheriff - NYE - NonPartisan,"COBEL, SCOTT",125
AMARGOSA VLY 06,County Sheriff - NYE - NonPartisan,"DEMEO, TONY",173
AMARGOSA VLY 06,COUNTY TREASURER,"BUDAHL, GARY S.",127
AMARGOSA VLY 06,COUNTY TREASURER,"MAHER, MICHAEL W.",171
AMARGOSA VLY 06,DISTRICT ATTORNEY,"KENT, RON",179
AMARGOSA VLY 06,DISTRICT ATTORNEY,"KUNZI, BRIAN T.",121
AMARGOSA VLY 06,Governor,"Curtis, David Scott",10
AMARGOSA VLY 06,Governor,"DiSimone, Eugene ""Gino""",9
AMARGOSA VLY 06,Governor,"Fitzgibbons, Floyd",8
AMARGOSA VLY 06,Governor,"Honig, Aaron Y.",1
AMARGOSA VLY 06,Governor,"Lampitt, Jr., Arthur Forest",8
AMARGOSA VLY 06,Governor,None Of These Candidates,5
AMARGOSA VLY 06,Governor,"Reid, Rory",77
AMARGOSA VLY 06,Governor,"Sandoval, Brian",186
AMARGOSA VLY 06,Lieutenant Governor,"Fitzgibbons, Ryan",27
AMARGOSA VLY 06,Lieutenant Governor,"KROLICKI, BRIAN K.",182
AMARGOSA VLY 06,Lieutenant Governor,None Of These Candidates,10
AMARGOSA VLY 06,Lieutenant Governor,"Sferrazza, Jessica",83
AMARGOSA VLY 06,PUBLIC ADMINISTRATOR,"FINLINSON, FALKON",186
AMARGOSA VLY 06,PUBLIC ADMINISTRATOR,"JOKINEN, DONNA J.",101
AMARGOSA VLY 06,Secretary Of State,"Lauer, Rob",131
AMARGOSA VLY 06,Secretary Of State,"MILLER, ROSS",111
AMARGOSA VLY 06,Secretary Of State,None Of These Candidates,14
AMARGOSA VLY 06,Secretary Of State,"Wagner, John",44
AMARGOSA VLY 06,"State Assembly, District 36","GOEDHART, ED",115
AMARGOSA VLY 06,"State Assembly, District 36","HIBBLE, RON",127
AMARGOSA VLY 06,"State Assembly, District 36","VANDERBEEK, DAVID",63
AMARGOSA VLY 06,State Controller,"Herr, Barry",152
AMARGOSA VLY 06,State Controller,"Markowitz, Warren",43
AMARGOSA VLY 06,State Controller,None Of These Candidates,14
AMARGOSA VLY 06,State Controller,"WALLIN, KIM R.",94
AMARGOSA VLY 06,State Treasurer,"Hawkins, Mike",34
AMARGOSA VLY 06,State Treasurer,"MARSHALL, KATE",93
