precinct,office,candidate,votes
FOC,U.S. Senate,"Angle, Sharron",15
FOC,U.S. Senate,"Ashjian, Scott",0
FOC,U.S. Senate,"Fasano, Tim",0
FOC,U.S. Senate,"Haines, Michael L.",0
FOC,U.S. Senate,"Holland, Jesse",0
FOC,U.S. Senate,None Of These Candidates,0
FOC,U.S. Senate,"Reeves, Jeffrey C.",0
FOC,U.S. Senate,"REID, HARRY",16
FOC,U.S. Senate,"Stand, Wil",0
GER-WADS 7412,U.S. Senate,"Angle, Sharron",92
GER-WADS 7412,U.S. Senate,"Ashjian, Scott",1
GER-WADS 7412,U.S. Senate,"Fasano, Tim",0
GER-WADS 7412,U.S. Senate,"Haines, Michael L.",2
GER-WADS 7412,U.S. Senate,"Holland, Jesse",0
GER-WADS 7412,U.S. Senate,None Of These Candidates,2
GER-WADS 7412,U.S. Senate,"Reeves, Jeffrey C.",2
GER-WADS 7412,U.S. Senate,"REID, HARRY",173
GER-WADS 7412,U.S. Senate,"Stand, Wil",2
GER-WADS 7422 (MP),U.S. Senate,"Angle, Sharron",
GER-WADS 7422 (MP),U.S. Senate,"Ashjian, Scott",
GER-WADS 7422 (MP),U.S. Senate,"Fasano, Tim",
GER-WADS 7422 (MP),U.S. Senate,"Haines, Michael L.",
GER-WADS 7422 (MP),U.S. Senate,"Holland, Jesse",
GER-WADS 7422 (MP),U.S. Senate,None Of These Candidates,
GER-WADS 7422 (MP),U.S. Senate,"Reeves, Jeffrey C.",
GER-WADS 7422 (MP),U.S. Senate,"REID, HARRY",
GER-WADS 7422 (MP),U.S. Senate,"Stand, Wil",
GER-WADS 7423,U.S. Senate,"Angle, Sharron",5
GER-WADS 7423,U.S. Senate,"Ashjian, Scott",0
GER-WADS 7423,U.S. Senate,"Fasano, Tim",0
GER-WADS 7423,U.S. Senate,"Haines, Michael L.",0
GER-WADS 7423,U.S. Senate,"Holland, Jesse",0
GER-WADS 7423,U.S. Senate,None Of These Candidates,0
GER-WADS 7423,U.S. Senate,"Reeves, Jeffrey C.",0
GER-WADS 7423,U.S. Senate,"REID, HARRY",66
GER-WADS 7423,U.S. Senate,"Stand, Wil",0
GER-WADS 7521 (MP),U.S. Senate,"Angle, Sharron",40
GER-WADS 7521 (MP),U.S. Senate,"Ashjian, Scott",1
GER-WADS 7521 (MP),U.S. Senate,"Fasano, Tim",0
GER-WADS 7521 (MP),U.S. Senate,"Haines, Michael L.",0
GER-WADS 7521 (MP),U.S. Senate,"Holland, Jesse",0
GER-WADS 7521 (MP),U.S. Senate,None Of These Candidates,0
GER-WADS 7521 (MP),U.S. Senate,"Reeves, Jeffrey C.",0
GER-WADS 7521 (MP),U.S. Senate,"REID, HARRY",13
GER-WADS 7521 (MP),U.S. Senate,"Stand, Wil",0
GER-WADS 7522 (MP),U.S. Senate,"Angle, Sharron",47
GER-WADS 7522 (MP),U.S. Senate,"Ashjian, Scott",0
GER-WADS 7522 (MP),U.S. Senate,"Fasano, Tim",1
GER-WADS 7522 (MP),U.S. Senate,"Haines, Michael L.",3
GER-WADS 7522 (MP),U.S. Senate,"Holland, Jesse",1
GER-WADS 7522 (MP),U.S. Senate,None Of These Candidates,6
GER-WADS 7522 (MP),U.S. Senate,"Reeves, Jeffrey C.",0
GER-WADS 7522 (MP),U.S. Senate,"REID, HARRY",41
GER-WADS 7522 (MP),U.S. Senate,"Stand, Wil",1
GER-WADS 7531 (MP),U.S. Senate,"Angle, Sharron",33
GER-WADS 7531 (MP),U.S. Senate,"Ashjian, Scott",0
GER-WADS 7531 (MP),U.S. Senate,"Fasano, Tim",0
GER-WADS 7531 (MP),U.S. Senate,"Haines, Michael L.",0
GER-WADS 7531 (MP),U.S. Senate,"Holland, Jesse",0
GER-WADS 7531 (MP),U.S. Senate,None Of These Candidates,5
GER-WADS 7531 (MP),U.S. Senate,"Reeves, Jeffrey C.",0
GER-WADS 7531 (MP),U.S. Senate,"REID, HARRY",9
