candidate,party,votes,percent,office
"ANGLE, SHARRON",REPUBLICAN,9362,47.96,U.S. Senate
"ASHJIAN, SCOTT",TEA PARTY OF NEVADA,262,1.34,U.S. Senate
"FASANO, TIM",INDEPENDENT AMERICAN,172,0.88,U.S. Senate
"HAINES, MICHAEL L.",INDEPENDENT,105,0.54,U.S. Senate
"HOLLAND, JESSE",INDEPENDENT,84,0.43,U.S. Senate
"REEVES, JEFFREY C.",INDEPENDENT,61,0.31,U.S. Senate
"REID, HARRY (Incumbent)",DEMOCRAT,8714,44.64,U.S. Senate
"STAND, WIL",INDEPENDENT,57,0.29,U.S. Senate
NONE OF THESE CANDIDATES,&nbsp;,702,3.60,U.S. Senate
"BEST, RUSSELL",INDEPENDENT AMERICAN,713,3.73,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HELLER, DEAN (Incumbent)",REPUBLICAN,12470,65.29,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"PRICE, NANCY",DEMOCRAT,5916,30.98,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"CURTIS, DAVID SCOTT",GREEN,132,0.68,GOVERNOR
"DISIMONE, EUGENE ""GINO""",INDEPENDENT,267,1.37,GOVERNOR
"FITZGIBBONS, FLOYD",INDEPENDENT AMERICAN,208,1.07,GOVERNOR
"HONIG, AARON Y.",INDEPENDENT,71,0.36,GOVERNOR
"LAMPITT, JR., ARTHUR FOREST",LIBERTARIAN,115,0.59,GOVERNOR
"REID, RORY",DEMOCRAT,6676,34.25,GOVERNOR
"SANDOVAL, BRIAN",REPUBLICAN,11512,59.06,GOVERNOR
NONE OF THESE CANDIDATES,&nbsp;,511,2.62,GOVERNOR
"FITZGIBBONS, RYAN",INDEPENDENT AMERICAN,651,3.37,LIEUTENANT GOVERNOR
"KROLICKI, BRIAN K. (Incumbent)",REPUBLICAN,11528,59.67,LIEUTENANT GOVERNOR
"SFERRAZZA, JESSICA",DEMOCRAT,6733,34.85,LIEUTENANT GOVERNOR
NONE OF THESE CANDIDATES,&nbsp;,406,2.10,LIEUTENANT GOVERNOR
"LAUER, ROB",REPUBLICAN,7305,38.00,SECRETARY OF STATE
"MILLER, ROSS (Incumbent)",DEMOCRAT,10130,52.69,SECRETARY OF STATE
