candidate,party,votes,percent,office
"HAMILTON, EDUARDO ""MR. CLEAN""",DEMOCRAT,2968,4.07,UNITED STATES SENATOR (DEMOCRATIC)
"MILLER, ALEX",DEMOCRAT,5585,7.67,UNITED STATES SENATOR (DEMOCRATIC)
"POLIAK, CARLO",DEMOCRAT,1145,1.57,UNITED STATES SENATOR (DEMOCRATIC)
"REID, HARRY (Incumbent)",DEMOCRAT,56578,77.67,UNITED STATES SENATOR (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,6565,9.01,UNITED STATES SENATOR (DEMOCRATIC)
"ANGLE, SHARRON",REPUBLICAN,35127,38.25,UNITED STATES SENATOR (REPUBLICAN)
"BERNSTEIN, GARY",REPUBLICAN,464,0.51,UNITED STATES SENATOR (REPUBLICAN)
"CHACHAS, JOHN",REPUBLICAN,1955,2.13,UNITED STATES SENATOR (REPUBLICAN)
"CHRISTENSEN, CHAD",REPUBLICAN,3449,3.76,UNITED STATES SENATOR (REPUBLICAN)
"LOWDEN, SUE",REPUBLICAN,27779,30.25,UNITED STATES SENATOR (REPUBLICAN)
"MABEY, GARN",REPUBLICAN,344,0.37,UNITED STATES SENATOR (REPUBLICAN)
"MARINCH, GARY",REPUBLICAN,87,0.09,UNITED STATES SENATOR (REPUBLICAN)
"NADELL, BRIAN",REPUBLICAN,116,0.13,UNITED STATES SENATOR (REPUBLICAN)
"PARSON, BILL",REPUBLICAN,847,0.92,UNITED STATES SENATOR (REPUBLICAN)
"STERN, CECILIA",REPUBLICAN,183,0.20,UNITED STATES SENATOR (REPUBLICAN)
"SUOMINEN, TERRY",REPUBLICAN,137,0.15,UNITED STATES SENATOR (REPUBLICAN)
"TARKANIAN, DANNY",REPUBLICAN,20183,21.98,UNITED STATES SENATOR (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,1168,1.27,UNITED STATES SENATOR (REPUBLICAN)
"CUNNINGHAM, DAVID",REPUBLICAN,2051,7.60,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 1 (REPUBLICAN)"
"FIORE, MICHELE",REPUBLICAN,5923,21.96,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 1 (REPUBLICAN)"
"FLUME, CHUCK",REPUBLICAN,4318,16.01,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 1 (REPUBLICAN)"
"LAKE, CRAIG",REPUBLICAN,5277,19.56,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 1 (REPUBLICAN)"
"MONROE, MIKE A.",REPUBLICAN,457,1.69,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 1 (REPUBLICAN)"
"NEISTADT, SCOTT",REPUBLICAN,440,1.63,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 1 (REPUBLICAN)"
"TATNER, JOSEPH ""JOE""",REPUBLICAN,1293,4.79,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 1 (REPUBLICAN)"
"WEGNER, KENNETH",REPUBLICAN,7216,26.75,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 1 (REPUBLICAN)"
"DEHNE, DENIS ""SAM""",DEMOCRAT,220,9.31,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"MCKENNA, KEN",DEMOCRAT,875,37.04,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"PRICE, NANCY",DEMOCRAT,1267,53.64,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
