candidate,party,votes,percent,office
"COLLETTI, PATRICK J.",REPUBLICAN,866,19.19,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)"
"HELLER, DEAN (Incumbent)",REPUBLICAN,3647,80.81,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)"
"BEARD, JOHN M.",DEMOCRAT,7848,19.63,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 3 (DEMOCRATIC)"
"TITUS, DINA",DEMOCRAT,32134,80.37,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 3 (DEMOCRATIC)"
"BRIDGES, ED",REPUBLICAN,6070,11.31,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 3 (REPUBLICAN)"
"HECK, JOE",REPUBLICAN,36911,68.80,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 3 (REPUBLICAN)"
"LEUTWYLER, BRAD",REPUBLICAN,1812,3.38,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 3 (REPUBLICAN)"
"NOHRDEN, STEVEN P.",REPUBLICAN,8859,16.51,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 3 (REPUBLICAN)"
"CONQUEST, FREDERICK L.",DEMOCRAT,10143,14.13,GOVERNOR (DEMOCRATIC)
"REID, RORY",DEMOCRAT,53005,73.82,GOVERNOR (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,8659,12.06,GOVERNOR (DEMOCRATIC)
"ATWOOD, TONY",REPUBLICAN,1396,1.53,GOVERNOR (REPUBLICAN)
"GIBBONS, JIM (Incumbent)",REPUBLICAN,20557,22.49,GOVERNOR (REPUBLICAN)
"LUSAK, STANLEIGH HAROLD",REPUBLICAN,751,0.82,GOVERNOR (REPUBLICAN)
"MONTANDON, MICHAEL L.",REPUBLICAN,15560,17.02,GOVERNOR (REPUBLICAN)
"SANDOVAL, BRIAN",REPUBLICAN,51207,56.01,GOVERNOR (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,1946,2.13,GOVERNOR (REPUBLICAN)
"GOODMAN, ROBERT E. ""BOB""",DEMOCRAT,16350,23.96,LIEUTENANT GOVERNOR (DEMOCRATIC)
"MURAD, PAUL",DEMOCRAT,12393,18.16,LIEUTENANT GOVERNOR (DEMOCRATIC)
"RANDAZZO, ROBERT S.",DEMOCRAT,8509,12.47,LIEUTENANT GOVERNOR (DEMOCRATIC)
"SFERRAZZA, JESSICA",DEMOCRAT,21962,32.18,LIEUTENANT GOVERNOR (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,9029,13.23,LIEUTENANT GOVERNOR (DEMOCRATIC)
"KROLICKI, BRIAN (Incumbent)",REPUBLICAN,60300,68.49,LIEUTENANT GOVERNOR (REPUBLICAN)
"WOOLLEN, BARBARA LEE",REPUBLICAN,22339,25.37,LIEUTENANT GOVERNOR (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,5400,6.13,LIEUTENANT GOVERNOR (REPUBLICAN)
"DAGANI, GREGORY NANCE",REPUBLICAN,18432,22.74,STATE CONTROLLER (REPUBLICAN)
"HERR, BARRY",REPUBLICAN,46708,57.62,STATE CONTROLLER (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,15920,19.64,STATE CONTROLLER (REPUBLICAN)
"BARRICK, TRAVIS",REPUBLICAN,37849,46.63,ATTORNEY GENERAL (REPUBLICAN)
"HAFTER, JACOB",REPUBLICAN,30227,37.24,ATTORNEY GENERAL (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,13085,16.12,ATTORNEY GENERAL (REPUBLICAN)
"ROBERSON, MICHAEL",REPUBLICAN,11308,79.84,"STATE SENATE, CLARK DISTRICT 5 (REPUBLICAN)"
"SCHLUMPF, NATHAN ""NATE""",REPUBLICAN,2856,20.16,"STATE SENATE, CLARK DISTRICT 5 (REPUBLICAN)"
"MANENDO, MARK",DEMOCRAT,4403,57.39,"STATE SENATE, CLARK DISTRICT 7 (DEMOCRATIC)"
"MCCLAIN, KATHY",DEMOCRAT,3269,42.61,"STATE SENATE, CLARK DISTRICT 7 (DEMOCRATIC)"
"MARSH, TRISH",REPUBLICAN,2270,43.29,"STATE SENATE, CLARK DISTRICT 7 (REPUBLICAN)"
"WRIGHT, ANTHONY ""TONY""",REPUBLICAN,2974,56.71,"STATE SENATE, CLARK DISTRICT 7 (REPUBLICAN)"
"BRANDON, MARK",DEMOCRAT,1668,38.77,"STATE SENATE, CLARK DISTRICT 8 (DEMOCRATIC)"
"PETERSON, TAMMY",DEMOCRAT,2634,61.23,"STATE SENATE, CLARK DISTRICT 8 (DEMOCRATIC)"
"DAGANI, SHARONA",DEMOCRAT,2040,22.05,"STATE SENATE, CLARK DISTRICT 9 (DEMOCRATIC)"
"SAXE, STEVEN",DEMOCRAT,3205,34.65,"STATE SENATE, CLARK DISTRICT 9 (DEMOCRATIC)"
"YERUSHALMI, BENNY",DEMOCRAT,4005,43.30,"STATE SENATE, CLARK DISTRICT 9 (DEMOCRATIC)"
"HALSETH, ELIZABETH",REPUBLICAN,9197,57.23,"STATE SENATE, CLARK DISTRICT 9 (REPUBLICAN)"
"NOLAN, DENNIS",REPUBLICAN,6873,42.77,"STATE SENATE, CLARK DISTRICT 9 (REPUBLICAN)"
"AUGUSTINE, DALLAS",REPUBLICAN,517,37.85,"STATE SENATE, CLARK DISTRICT 10 (REPUBLICAN)"
"SOLOE, BILLY",REPUBLICAN,266,19.47,"STATE SENATE, CLARK DISTRICT 10 (REPUBLICAN)"
"TYLER, HENRY",REPUBLICAN,583,42.68,"STATE SENATE, CLARK DISTRICT 10 (REPUBLICAN)"
"HARDY, JOE",REPUBLICAN,8043,54.54,"STATE SENATE, CLARK DISTRICT 12 (REPUBLICAN)"
"MCNAUGHT, PATRICK",REPUBLICAN,5839,39.59,"STATE SENATE, CLARK DISTRICT 12 (REPUBLICAN)"
"SANSON, STEVE",REPUBLICAN,865,5.87,"STATE SENATE, CLARK DISTRICT 12 (REPUBLICAN)"
"BLACK, ANNIE",REPUBLICAN,1359,29.64,"STATE ASSEMBLY, DISTRICT 2 (REPUBLICAN)"
"HAMBRICK, JOHN",REPUBLICAN,2866,62.51,"STATE ASSEMBLY, DISTRICT 2 (REPUBLICAN)"
"SLOTTA, MARK",REPUBLICAN,360,7.85,"STATE ASSEMBLY, DISTRICT 2 (REPUBLICAN)"
"MORELLI, ERIC",REPUBLICAN,1359,77.35,"STATE ASSEMBLY, DISTRICT 3 (REPUBLICAN)"
"PRATO, ANDREW",REPUBLICAN,398,22.65,"STATE ASSEMBLY, DISTRICT 3 (REPUBLICAN)"
"FISHER, GARY",DEMOCRAT,2184,68.74,"STATE ASSEMBLY, DISTRICT 4 (DEMOCRATIC)"
"MACKIN, GERRY",DEMOCRAT,993,31.26,"STATE ASSEMBLY, DISTRICT 4 (DEMOCRATIC)"
"ELLIS, TIBI",REPUBLICAN,1225,48.61,"STATE ASSEMBLY, DISTRICT 5 (REPUBLICAN)"
"WILLIAMS, TIM",REPUBLICAN,1295,51.39,"STATE ASSEMBLY, DISTRICT 5 (REPUBLICAN)"
"ESSEX, CAROLYN J.",DEMOCRAT,486,22.53,"STATE ASSEMBLY, DISTRICT 7 (DEMOCRATIC)"
"NEAL, DINA",DEMOCRAT,1233,57.16,"STATE ASSEMBLY, DISTRICT 7 (DEMOCRATIC)"
"STEPHENS, III, JOHN",DEMOCRAT,438,20.31,"STATE ASSEMBLY, DISTRICT 7 (DEMOCRATIC)"
"CANTERO, JESSE",DEMOCRAT,151,12.58,"STATE ASSEMBLY, DISTRICT 8 (DEMOCRATIC)"
"CHILD, KEVIN L.",DEMOCRAT,463,38.58,"STATE ASSEMBLY, DISTRICT 8 (DEMOCRATIC)"
"FRIERSON, JASON",DEMOCRAT,586,48.83,"STATE ASSEMBLY, DISTRICT 8 (DEMOCRATIC)"
"EGAN, JOE",REPUBLICAN,635,68.57,"STATE ASSEMBLY, DISTRICT 8 (REPUBLICAN)"
"ESPIRITU, WILFREDO ""JING""",REPUBLICAN,291,31.43,"STATE ASSEMBLY, DISTRICT 8 (REPUBLICAN)"
"BACHE, SALLIE S.",DEMOCRAT,68,7.26,"STATE ASSEMBLY, DISTRICT 11 (DEMOCRATIC)"
"COCHRAN, ANGIE G.",DEMOCRAT,87,9.29,"STATE ASSEMBLY, DISTRICT 11 (DEMOCRATIC)"
"DIAZ, OLIVIA",DEMOCRAT,781,83.44,"STATE ASSEMBLY, DISTRICT 11 (DEMOCRATIC)"
"BOOTHE, BRIAN",DEMOCRAT,1873,27.69,"STATE ASSEMBLY, DISTRICT 13 (DEMOCRATIC)"
"CASTRO-ZAVALA, PABLO",DEMOCRAT,657,9.71,"STATE ASSEMBLY, DISTRICT 13 (DEMOCRATIC)"
"DESALVIO, LOUIS",DEMOCRAT,2462,36.40,"STATE ASSEMBLY, DISTRICT 13 (DEMOCRATIC)"
"GORELOW, MICHELLE",DEMOCRAT,1772,26.20,"STATE ASSEMBLY, DISTRICT 13 (DEMOCRATIC)"
"GUST, JOSHUA",REPUBLICAN,2867,25.59,"STATE ASSEMBLY, DISTRICT 13 (REPUBLICAN)"
"HAMMOND, SCOTT",REPUBLICAN,3437,30.68,"STATE ASSEMBLY, DISTRICT 13 (REPUBLICAN)"
"HURST, C. KELLY",REPUBLICAN,969,8.65,"STATE ASSEMBLY, DISTRICT 13 (REPUBLICAN)"
"LEFEBVRE, ALAN J.",REPUBLICAN,1719,15.34,"STATE ASSEMBLY, DISTRICT 13 (REPUBLICAN)"
"TAYLOR, NATHAN",REPUBLICAN,2211,19.74,"STATE ASSEMBLY, DISTRICT 13 (REPUBLICAN)"
"CARLTON, MAGGIE",DEMOCRAT,895,50.20,"STATE ASSEMBLY, DISTRICT 14 (DEMOCRATIC)"
"KING, KAREN HAYES",DEMOCRAT,666,37.35,"STATE ASSEMBLY, DISTRICT 14 (DEMOCRATIC)"
"KOIVISTO, VICTOR",DEMOCRAT,222,12.45,"STATE ASSEMBLY, DISTRICT 14 (DEMOCRATIC)"
"ANDERSON, ELLIOT T.",DEMOCRAT,1108,45.80,"STATE ASSEMBLY, DISTRICT 15 (DEMOCRATIC)"
"BOYLAN, PATRICK",DEMOCRAT,217,8.97,"STATE ASSEMBLY, DISTRICT 15 (DEMOCRATIC)"
"KLEVEN, CHERINA",DEMOCRAT,595,24.60,"STATE ASSEMBLY, DISTRICT 15 (DEMOCRATIC)"
"TOOMIN, LOU",DEMOCRAT,499,20.63,"STATE ASSEMBLY, DISTRICT 15 (DEMOCRATIC)"
"GREENER, GLENN V.",REPUBLICAN,682,32.11,"STATE ASSEMBLY, DISTRICT 16 (REPUBLICAN)"
"IRWIN, BOB",REPUBLICAN,1442,67.89,"STATE ASSEMBLY, DISTRICT 16 (REPUBLICAN)"
"CARRILLO, RICHARD",DEMOCRAT,1639,53.54,"STATE ASSEMBLY, DISTRICT 18 (DEMOCRATIC)"
"CONSIDINE, VENICIA",DEMOCRAT,1232,40.25,"STATE ASSEMBLY, DISTRICT 18 (DEMOCRATIC)"
"ENWRIGHT, LON WEST",DEMOCRAT,190,6.21,"STATE ASSEMBLY, DISTRICT 18 (DEMOCRATIC)"
"COLLINS, CAROL",REPUBLICAN,980,44.38,"STATE ASSEMBLY, DISTRICT 18 (REPUBLICAN)"
"WALTHER, KEN",REPUBLICAN,1228,55.62,"STATE ASSEMBLY, DISTRICT 18 (REPUBLICAN)"
"BROOKS, STEVEN",DEMOCRAT,495,32.74,"STATE ASSEMBLY, DISTRICT 19 (DEMOCRATIC)"
"CASUTT, BRANDON",DEMOCRAT,140,9.26,"STATE ASSEMBLY, DISTRICT 19 (DEMOCRATIC)"
"HAFEN, SCOTT",DEMOCRAT,374,24.74,"STATE ASSEMBLY, DISTRICT 19 (DEMOCRATIC)"
"JACKSON, PIANGE B.",DEMOCRAT,44,2.91,"STATE ASSEMBLY, DISTRICT 19 (DEMOCRATIC)"
"SMITH, MEGHAN",DEMOCRAT,459,30.36,"STATE ASSEMBLY, DISTRICT 19 (DEMOCRATIC)"
"HARDY, CRESENT",REPUBLICAN,3396,58.56,"STATE ASSEMBLY, DISTRICT 20 (REPUBLICAN)"
"STUBBS, RICHARD",REPUBLICAN,2403,41.44,"STATE ASSEMBLY, DISTRICT 20 (REPUBLICAN)"
"ARRINGTON, CHERLYN",REPUBLICAN,1269,38.12,"STATE ASSEMBLY, DISTRICT 21 (REPUBLICAN)"
"SHERWOOD, MARK",REPUBLICAN,2060,61.88,"STATE ASSEMBLY, DISTRICT 21 (REPUBLICAN)"
"CAMPBELL, ZACHARY S.",DEMOCRAT,1891,31.33,"STATE ASSEMBLY, DISTRICT 22 (DEMOCRATIC)"
"DONOVAN, KEVINN",DEMOCRAT,2361,39.12,"STATE ASSEMBLY, DISTRICT 22 (DEMOCRATIC)"
"SPOOR, RANDY",DEMOCRAT,1783,29.54,"STATE ASSEMBLY, DISTRICT 22 (DEMOCRATIC)"
"ATIA, CALANIT",REPUBLICAN,1491,12.61,"STATE ASSEMBLY, DISTRICT 22 (REPUBLICAN)"
"CHAPPELL, SCOTT",REPUBLICAN,2526,21.37,"STATE ASSEMBLY, DISTRICT 22 (REPUBLICAN)"
"CHRISTY, DUANE",REPUBLICAN,2133,18.04,"STATE ASSEMBLY, DISTRICT 22 (REPUBLICAN)"
"STEWART, LYNN D.",REPUBLICAN,5671,47.97,"STATE ASSEMBLY, DISTRICT 22 (REPUBLICAN)"
"CRESSMAN, JAMES L.",REPUBLICAN,223,71.94,"STATE ASSEMBLY, DISTRICT 28 (REPUBLICAN)"
"MENDOZA, TINO",REPUBLICAN,87,28.06,"STATE ASSEMBLY, DISTRICT 28 (REPUBLICAN)"
"BUSTAMANTE ADAMS, IRENE",DEMOCRAT,965,64.81,"STATE ASSEMBLY, DISTRICT 42 (DEMOCRATIC)"
"CHRISTOS, SAM",DEMOCRAT,224,15.04,"STATE ASSEMBLY, DISTRICT 42 (DEMOCRATIC)"
"GREENWOOD, KYLE",DEMOCRAT,178,11.95,"STATE ASSEMBLY, DISTRICT 42 (DEMOCRATIC)"
"HAUTH, DON",DEMOCRAT,122,8.19,"STATE ASSEMBLY, DISTRICT 42 (DEMOCRATIC)"
"GALE, BRUCE L.",NONPARTISAN,40405,28.61,"DISTRICT COURT JUDGE, DISTRICT 8, DEPARTMENT 26 (NONPARTISAN)"
"HARRIS, KURT KAY",NONPARTISAN,34772,24.62,"DISTRICT COURT JUDGE, DISTRICT 8, DEPARTMENT 26 (NONPARTISAN)"
"STURMAN, GLORIA",NONPARTISAN,66055,46.77,"DISTRICT COURT JUDGE, DISTRICT 8, DEPARTMENT 26 (NONPARTISAN)"
"COUMOU, LUCINDA",NONPARTISAN,40894,27.13,"DISTRICT COURT JUDGE, DISTRICT 8, DEPARTMENT 28 (NONPARTISAN)"
"HOWARD, JACK",NONPARTISAN,43305,28.73,"DISTRICT COURT JUDGE, DISTRICT 8, DEPARTMENT 28 (NONPARTISAN)"
"ISRAEL, RON",NONPARTISAN,66517,44.13,"DISTRICT COURT JUDGE, DISTRICT 8, DEPARTMENT 28 (NONPARTISAN)"
"DAVIDSON, MICHAEL D.",NONPARTISAN,45654,31.56,"DISTRICT COURT JUDGE, DISTRICT 8, DEPARTMENT 30 (NONPARTISAN)"
"FRIEDBERG, CRAIG",NONPARTISAN,14398,9.95,"DISTRICT COURT JUDGE, DISTRICT 8, DEPARTMENT 30 (NONPARTISAN)"
"PALM, PATRICIA ""TRISH""",NONPARTISAN,39478,27.29,"DISTRICT COURT JUDGE, DISTRICT 8, DEPARTMENT 30 (NONPARTISAN)"
"WIESE, JERRY A.",NONPARTISAN,45119,31.19,"DISTRICT COURT JUDGE, DISTRICT 8, DEPARTMENT 30 (NONPARTISAN)"
"DABNEY, PHIL",NONPARTISAN,45719,32.00,"DISTRICT COURT JUDGE, DISTRICT 8, DEPARTMENT 31 (NONPARTISAN)"
"KISHNER, JOANNA",NONPARTISAN,44568,31.20,"DISTRICT COURT JUDGE, DISTRICT 8, DEPARTMENT 31 (NONPARTISAN)"
"KUNIS, JOSH",NONPARTISAN,14426,10.10,"DISTRICT COURT JUDGE, DISTRICT 8, DEPARTMENT 31 (NONPARTISAN)"
"RISMAN, MARC",NONPARTISAN,38148,26.70,"DISTRICT COURT JUDGE, DISTRICT 8, DEPARTMENT 31 (NONPARTISAN)"
"VOY, BILL",NONPARTISAN,126124,100.00,"DISTRICT COURT JUDGE, DISTRICT 8, FAMILY DIVISION, DEPARTMENT A (NONPARTISAN)"
"SANCHEZ, GLORIA",NONPARTISAN,125156,100.00,"DISTRICT COURT JUDGE, DISTRICT 8, FAMILY DIVISION, DEPARTMENT B (NONPARTISAN)"
"JONES, STEVE",NONPARTISAN,60582,42.94,"DISTRICT COURT JUDGE, DISTRICT 8, FAMILY DIVISION, DEPARTMENT C (NONPARTISAN)"
"MASKALL, MARIA",NONPARTISAN,41267,29.25,"DISTRICT COURT JUDGE, DISTRICT 8, FAMILY DIVISION, DEPARTMENT C (NONPARTISAN)"
"PIFER, DENISE A.",NONPARTISAN,39234,27.81,"DISTRICT COURT JUDGE, DISTRICT 8, FAMILY DIVISION, DEPARTMENT C (NONPARTISAN)"
"TEUTON, ROBERT ""BOB""",NONPARTISAN,124303,100.00,"DISTRICT COURT JUDGE, DISTRICT 8, FAMILY DIVISION, DEPARTMENT D (NONPARTISAN)"
"HOSKIN, CHUCK",NONPARTISAN,122621,100.00,"DISTRICT COURT JUDGE, DISTRICT 8, FAMILY DIVISION, DEPARTMENT E (NONPARTISAN)"
"BEZIAN, ELLEN J.",NONPARTISAN,36267,25.90,"DISTRICT COURT JUDGE, DISTRICT 8, FAMILY DIVISION, DEPARTMENT F (NONPARTISAN)"
"ECCLES, JOHN",NONPARTISAN,46834,33.44,"DISTRICT COURT JUDGE, DISTRICT 8, FAMILY DIVISION, DEPARTMENT F (NONPARTISAN)"
"GONZALEZ, BILL",NONPARTISAN,56935,40.66,"DISTRICT COURT JUDGE, DISTRICT 8, FAMILY DIVISION, DEPARTMENT F (NONPARTISAN)"
"CHURCHILL, DAVID",NONPARTISAN,16628,11.61,"DISTRICT COURT JUDGE, DISTRICT 8, FAMILY DIVISION, DEPARTMENT S (NONPARTISAN)"
"GIBBS, R. NATHAN",NONPARTISAN,16323,11.40,"DISTRICT COURT JUDGE, DISTRICT 8, FAMILY DIVISION, DEPARTMENT S (NONPARTISAN)"
"KOTTLER, ETHAN",NONPARTISAN,17996,12.57,"DISTRICT COURT JUDGE, DISTRICT 8, FAMILY DIVISION, DEPARTMENT S (NONPARTISAN)"
"LIKER, TONY",NONPARTISAN,13758,9.61,"DISTRICT COURT JUDGE, DISTRICT 8, FAMILY DIVISION, DEPARTMENT S (NONPARTISAN)"
"MUIRHEAD, GRETA",NONPARTISAN,12204,8.52,"DISTRICT COURT JUDGE, DISTRICT 8, FAMILY DIVISION, DEPARTMENT S (NONPARTISAN)"
"OCHOA, VINCENT",NONPARTISAN,38532,26.90,"DISTRICT COURT JUDGE, DISTRICT 8, FAMILY DIVISION, DEPARTMENT S (NONPARTISAN)"
"WALLACE, REBECCA",NONPARTISAN,27778,19.40,"DISTRICT COURT JUDGE, DISTRICT 8, FAMILY DIVISION, DEPARTMENT S (NONPARTISAN)"
"JENSEN, JOHN",NONPARTISAN,28729,20.42,"DISTRICT COURT JUDGE, DISTRICT 8, FAMILY DIVISION, DEPARTMENT T (NONPARTISAN)"
"MARREN, TERRANCE",NONPARTISAN,24791,17.62,"DISTRICT COURT JUDGE, DISTRICT 8, FAMILY DIVISION, DEPARTMENT T (NONPARTISAN)"
"MERCER, MICHELE ""SHELL""",NONPARTISAN,26140,18.58,"DISTRICT COURT JUDGE, DISTRICT 8, FAMILY DIVISION, DEPARTMENT T (NONPARTISAN)"
"NATHAN, GAYLE",NONPARTISAN,29417,20.91,"DISTRICT COURT JUDGE, DISTRICT 8, FAMILY DIVISION, DEPARTMENT T (NONPARTISAN)"
"PIAZZA, CARL F.",NONPARTISAN,31603,22.46,"DISTRICT COURT JUDGE, DISTRICT 8, FAMILY DIVISION, DEPARTMENT T (NONPARTISAN)"
"LANGE, KEN",NONPARTISAN,3165,31.71,"UNIVERSITY BOARD OF REGENTS, DISTRICT 3 (NONPARTISAN)"
"PAGE, KEVIN",NONPARTISAN,4580,45.88,"UNIVERSITY BOARD OF REGENTS, DISTRICT 3 (NONPARTISAN)"
"TELLO, SHANA",NONPARTISAN,2237,22.41,"UNIVERSITY BOARD OF REGENTS, DISTRICT 3 (NONPARTISAN)"
"WIXOM, MICHAEL B.",NONPARTISAN,11223,100.00,"UNIVERSITY BOARD OF REGENTS, DISTRICT 6 (NONPARTISAN)"
"DOUBRAVA, MARK",NONPARTISAN,5869,32.18,"UNIVERSITY BOARD OF REGENTS, DISTRICT 7 (NONPARTISAN)"
"HASEGAWA, BOB",NONPARTISAN,2765,15.16,"UNIVERSITY BOARD OF REGENTS, DISTRICT 7 (NONPARTISAN)"
"RAWSON, RAY",NONPARTISAN,5835,31.99,"UNIVERSITY BOARD OF REGENTS, DISTRICT 7 (NONPARTISAN)"
"THALER, LUCILLE",NONPARTISAN,3769,20.67,"UNIVERSITY BOARD OF REGENTS, DISTRICT 7 (NONPARTISAN)"
"ANDERSON, ANDREA",NONPARTISAN,13105,44.84,"UNIVERSITY BOARD OF REGENTS, DISTRICT 12 (NONPARTISAN)"
"CHESNUT, DWAYNE",NONPARTISAN,6465,22.12,"UNIVERSITY BOARD OF REGENTS, DISTRICT 12 (NONPARTISAN)"
"NEWBURN, MARK",NONPARTISAN,9656,33.04,"UNIVERSITY BOARD OF REGENTS, DISTRICT 12 (NONPARTISAN)"
"HESHMATI, PARVIZ AARON",NONPARTISAN,2188,8.13,"UNIVERSITY BOARD OF REGENTS, DISTRICT 13 (NONPARTISAN)"
"LEAVITT, JAMES DEAN",NONPARTISAN,17871,66.40,"UNIVERSITY BOARD OF REGENTS, DISTRICT 13 (NONPARTISAN)"
"PITTS, JOE",NONPARTISAN,6856,25.47,"UNIVERSITY BOARD OF REGENTS, DISTRICT 13 (NONPARTISAN)"
"METCALF, H. SANDRA ""SANDY""",NONPARTISAN,11729,100.00,"STATE BOARD OF EDUCATION, DISTRICT 6 (NONPARTISAN)"
"CANIZALEZ, EDWIN",REPUBLICAN,18582,29.15,COUNTY TREASURER (REPUBLICAN)
"JAVORNICKY, MIKE ""DOC""",REPUBLICAN,45162,70.85,COUNTY TREASURER (REPUBLICAN)
"CONWAY, DEBBIE",DEMOCRAT,39108,63.69,COUNTY RECORDER (DEMOCRATIC)
"JOSEPH, STEPHANIE",DEMOCRAT,22294,36.31,COUNTY RECORDER (DEMOCRATIC)
"EDWARDS, JIM",REPUBLICAN,32738,47.28,COUNTY RECORDER (REPUBLICAN)
"HOTCHKISS, JR., DONALD L.",REPUBLICAN,19950,28.81,COUNTY RECORDER (REPUBLICAN)
"WILLIS, TOM",REPUBLICAN,16557,23.91,COUNTY RECORDER (REPUBLICAN)
"CLARK, JACK",REPUBLICAN,36113,50.81,PUBLIC ADMINISTRATOR (REPUBLICAN)
"GRAHAM, KELSIE",REPUBLICAN,20323,28.59,PUBLIC ADMINISTRATOR (REPUBLICAN)
"SANSON, STEVE",REPUBLICAN,14638,20.60,PUBLIC ADMINISTRATOR (REPUBLICAN)
"BLAKELY, ROBERT",DEMOCRAT,19583,31.87,COUNTY ASSESSOR (DEMOCRATIC)
"SHAFE, MICHELE W.",DEMOCRAT,30926,50.33,COUNTY ASSESSOR (DEMOCRATIC)
"WERNICKE, TONI",DEMOCRAT,10940,17.80,COUNTY ASSESSOR (DEMOCRATIC)
"HALE, GERRIT C.",REPUBLICAN,38457,54.38,COUNTY ASSESSOR (REPUBLICAN)
"STARLING, NICK",REPUBLICAN,32258,45.62,COUNTY ASSESSOR (REPUBLICAN)
"ALBA, DIANA",DEMOCRAT,35518,56.37,COUNTY CLERK (DEMOCRATIC)
"BONAVENTURA, GLORIA",DEMOCRAT,27494,43.63,COUNTY CLERK (DEMOCRATIC)
"AUSTIN, SCOTT",REPUBLICAN,42786,67.84,COUNTY CLERK (REPUBLICAN)
