precinct,office,candidate,votes
Precinct 01 (Ballot Styl,Attorney General (Republican),"Barrick, Travis",82
Precinct 01 (Ballot Styl,Attorney General (Republican),"Hafter, Jacob",66
Precinct 01 (Ballot Styl,Attorney General (Republican),None Of These Candidates,64
Precinct 01 (Ballot Styl,Board of School Trustees - vf 4 (Nonpartisan),"BIRD, BRANDON",89
Precinct 01 (Ballot Styl,Board of School Trustees - vf 4 (Nonpartisan),"GAILEY, DENNIS K.",103
Precinct 01 (Ballot Styl,Board of School Trustees - vf 4 (Nonpartisan),"GENT, RICH",139
Precinct 01 (Ballot Styl,Board of School Trustees - vf 4 (Nonpartisan),"HENDRIX, CLAY",90
Precinct 01 (Ballot Styl,Board of School Trustees - vf 4 (Nonpartisan),"HYDE, MATT",100
Precinct 01 (Ballot Styl,Board of School Trustees - vf 4 (Nonpartisan),"JOHNSON, DESTRY",80
Precinct 01 (Ballot Styl,Board of School Trustees - vf 4 (Nonpartisan),"LAMMEL, JODY",81
Precinct 01 (Ballot Styl,Board of School Trustees - vf 4 (Nonpartisan),"LUDLOW, MIKE",90
Precinct 01 (Ballot Styl,Board of School Trustees - vf 4 (Nonpartisan),"MCFARLANE, NONA",128
Precinct 01 (Ballot Styl,Board of School Trustees - vf 4 (Nonpartisan),"NELSEN, WENDY WAGNER",60
Precinct 01 (Ballot Styl,Board of School Trustees - vf 4 (Nonpartisan),"SMACK, JAMES",87
Precinct 01 (Ballot Styl,Board of School Trustees - vf 4 (Nonpartisan),"SOMMER, JACOB",109
Precinct 01 (Ballot Styl,Board of School Trustees - vf 4 (Nonpartisan),"WIDEMAN, RICH",39
Precinct 01 (Ballot Styl,COUNTY ASSESSOR (Republican),"ACKERMAN, VINCE",38
Precinct 01 (Ballot Styl,COUNTY ASSESSOR (Republican),"GREEN, NORMA J.",183
Precinct 01 (Ballot Styl,County Comm Dist. 2 (CW) (Republican),"CROWDER, STEVE",35
Precinct 01 (Ballot Styl,County Comm Dist. 2 (CW) (Republican),"OLSEN, PETE",142
Precinct 01 (Ballot Styl,County Comm Dist. 2 (CW) (Republican),"TEWELL, JOHN",44
Precinct 01 (Ballot Styl,COUNTY RECORDER (Republican),"CROWDER, ART",68
Precinct 01 (Ballot Styl,COUNTY RECORDER (Republican),"SIMS, JOAN",146
Precinct 01 (Ballot Styl,Governor (Democratic),"Conquest, Frederick L.",9
Precinct 01 (Ballot Styl,Governor (Democratic),None Of These Candidates,26
Precinct 01 (Ballot Styl,Governor (Democratic),"Reid, Rory",39
Precinct 01 (Ballot Styl,Governor (Republican),"Atwood, Tony",4
Precinct 01 (Ballot Styl,Governor (Republican),"GIBBONS, JIM",70
Precinct 01 (Ballot Styl,Governor (Republican),"Lusak, Stanleigh Harold",1
Precinct 01 (Ballot Styl,Governor (Republican),"Montandon, Michael L.",15
Precinct 01 (Ballot Styl,Governor (Republican),None Of These Candidates,9
Precinct 01 (Ballot Styl,Governor (Republican),"Sandoval, Brian",127
Precinct 01 (Ballot Styl,Lieutenant Governor (Democratic),"GOODMAN, Robert E. ""Bob""",10
Precinct 01 (Ballot Styl,Lieutenant Governor (Democratic),"Murad, Paul",5
Precinct 01 (Ballot Styl,Lieutenant Governor (Democratic),None Of These Candidates,14
Precinct 01 (Ballot Styl,Lieutenant Governor (Democratic),"Randazzo, Robert S.",7
Precinct 01 (Ballot Styl,Lieutenant Governor (Democratic),"Sferrazza, Jessica",40
Precinct 01 (Ballot Styl,Lieutenant Governor (Republican),"Krolicki, Brian",165
Precinct 01 (Ballot Styl,Lieutenant Governor (Republican),None Of These Candidates,24
Precinct 01 (Ballot Styl,Lieutenant Governor (Republican),"Woollen, Barbara Lee",32
Precinct 01 (Ballot Styl,Sheriff - CHURCHILL - NP (Nonpartisan),"EAST, RAY",19
Precinct 01 (Ballot Styl,Sheriff - CHURCHILL - NP (Nonpartisan),"GIOVE, TONY",17
Precinct 01 (Ballot Styl,Sheriff - CHURCHILL - NP (Nonpartisan),"INGRAM, RICHARD",103
Precinct 01 (Ballot Styl,Sheriff - CHURCHILL - NP (Nonpartisan),"TROTTER, BENJAMIN D.",99
Precinct 01 (Ballot Styl,Sheriff - CHURCHILL - NP (Nonpartisan),"WARD, DANIEL P.",32
Precinct 01 (Ballot Styl,Sheriff - CHURCHILL - NP (Nonpartisan),"WHITTEN, WAYNE",66
Precinct 01 (Ballot Styl,"State Board of Education, District 10 (Nonpartisan)","FERRY, CLIFF",277
Precinct 01 (Ballot Styl,State Controller (Republican),"Dagani, Gregory Nance",71
