candidate,party,votes,percent,office
"ANGLE, SHARRON",REPUBLICAN,524,69.04,UNITED STATES SENATOR
"ASHJIAN, SCOTT",TEA PARTY OF NEVADA,18,2.37,UNITED STATES SENATOR
"FASANO, TIM",INDEPENDENT AMERICAN,18,2.37,UNITED STATES SENATOR
"HAINES, MICHAEL L.",INDEPENDENT,6,0.79,UNITED STATES SENATOR
"HOLLAND, JESSE",INDEPENDENT,5,0.66,UNITED STATES SENATOR
"REEVES, JEFFREY C.",INDEPENDENT,4,0.53,UNITED STATES SENATOR
"REID, HARRY (Incumbent)",DEMOCRAT,137,18.05,UNITED STATES SENATOR
"STAND, WIL",INDEPENDENT,4,0.53,UNITED STATES SENATOR
NONE OF THESE CANDIDATES,&nbsp;,43,5.67,UNITED STATES SENATOR
"BEST, RUSSELL",INDEPENDENT AMERICAN,65,8.72,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HELLER, DEAN (Incumbent)",REPUBLICAN,599,80.40,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"PRICE, NANCY",DEMOCRAT,81,10.87,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"CURTIS, DAVID SCOTT",GREEN,10,1.32,GOVERNOR
"DISIMONE, EUGENE ""GINO""",INDEPENDENT,9,1.19,GOVERNOR
"FITZGIBBONS, FLOYD",INDEPENDENT AMERICAN,20,2.65,GOVERNOR
"HONIG, AARON Y.",INDEPENDENT,1,0.13,GOVERNOR
"LAMPITT, JR., ARTHUR FOREST",LIBERTARIAN,12,1.59,GOVERNOR
"REID, RORY",DEMOCRAT,76,10.05,GOVERNOR
"SANDOVAL, BRIAN",REPUBLICAN,597,78.97,GOVERNOR
NONE OF THESE CANDIDATES,&nbsp;,31,4.10,GOVERNOR
"FITZGIBBONS, RYAN",INDEPENDENT AMERICAN,78,10.34,LIEUTENANT GOVERNOR
"KROLICKI, BRIAN K. (Incumbent)",REPUBLICAN,539,71.49,LIEUTENANT GOVERNOR
"SFERRAZZA, JESSICA",DEMOCRAT,93,12.33,LIEUTENANT GOVERNOR
NONE OF THESE CANDIDATES,&nbsp;,44,5.84,LIEUTENANT GOVERNOR
"LAUER, ROB",REPUBLICAN,451,59.97,SECRETARY OF STATE
"MILLER, ROSS (Incumbent)",DEMOCRAT,166,22.07,SECRETARY OF STATE
"WAGNER, JOHN",INDEPENDENT AMERICAN,85,11.30,SECRETARY OF STATE
NONE OF THESE CANDIDATES,&nbsp;,50,6.65,SECRETARY OF STATE
"HAWKINS, MIKE",INDEPENDENT AMERICAN,75,9.99,STATE TREASURER
"MARSHALL, KATE (Incumbent)",DEMOCRAT,130,17.31,STATE TREASURER
"MARTIN, STEVEN E.",REPUBLICAN,488,64.98,STATE TREASURER
NONE OF THESE CANDIDATES,&nbsp;,58,7.72,STATE TREASURER
"HERR, BARRY",REPUBLICAN,440,58.74,STATE CONTROLLER
"MARKOWITZ, WARREN",INDEPENDENT AMERICAN,86,11.48,STATE CONTROLLER
"WALLIN, KIM R. (Incumbent)",DEMOCRAT,152,20.29,STATE CONTROLLER
NONE OF THESE CANDIDATES,&nbsp;,71,9.48,STATE CONTROLLER
"BARRICK, TRAVIS",REPUBLICAN,448,59.65,ATTORNEY GENERAL
"CORTEZ  MASTO, CATHERINE (Incumbent)",DEMOCRAT,152,20.24,ATTORNEY GENERAL
"HANSEN, JOEL F.",INDEPENDENT AMERICAN,107,14.25,ATTORNEY GENERAL
NONE OF THESE CANDIDATES,&nbsp;,44,5.86,ATTORNEY GENERAL
"GOICOECHEA, PETE (Incumbent)",REPUBLICAN,625,83.56,"STATE ASSEMBLY, DISTRICT 35"
"O'CONNOR, JOHN",DEMOCRAT,123,16.44,"STATE ASSEMBLY, DISTRICT 35"
"HARDESTY, JAMES W. (Incumbent)",NONPARTISAN,500,74.63,"SUPREME COURT JUSTICE, SEAT A"
NONE OF THESE CANDIDATES,&nbsp;,170,25.37,"SUPREME COURT JUSTICE, SEAT A"
"PARRAGUIRRE, RONALD D. (Incumbent)",NONPARTISAN,488,74.28,"SUPREME COURT JUSTICE, SEAT E"
NONE OF THESE CANDIDATES,&nbsp;,169,25.72,"SUPREME COURT JUSTICE, SEAT E"
"MELCHER, KEVIN C.",NONPARTISAN,292,44.58,"UNIVERSITY BOARD OF REGENTS, DISTRICT 8"
"PUCCINELLI, MARGARET",NONPARTISAN,363,55.42,"UNIVERSITY BOARD OF REGENTS, DISTRICT 8"
"ITHURRALDE, JAMES P.",REPUBLICAN,497,67.25,COUNTY COMMISSIONER DISTRICT 2
"VERNES, TED",REPUBLICAN,242,32.75,COUNTY COMMISSIONER DISTRICT 2
"MEARS, MICHAEL A.",REPUBLICAN,675,100.00,ASSESSOR
"BERG, JACKIE",INDEPENDENT AMERICAN,374,50.00,CLERK/TREASURER
"WRIGHT, CARRI",REPUBLICAN,374,50.00,CLERK/TREASURER
"BEUTEL, THEODORE ""TED""",REPUBLICAN,600,100.00,DISTRICT ATTORNEY
"REBALEATI, MICHAEL N.",DEMOCRAT,575,100.00,COUNTY RECORDER
"CUTLER, ROBERT L.",NONPARTISAN,258,34.58,SHERIFF
"JONES, KENNETH E.",NONPARTISAN,488,65.42,SHERIFF
