precinct,office,candidate,votes
Precinct 1,Attorney General (Republican),"Barrick, Travis",34
Precinct 1,Attorney General (Republican),"Hafter, Jacob",14
Precinct 1,Attorney General (Republican),None Of These Candidates,27
Precinct 1,"County Commissioner, District 1 (Republican)","HIGGINS, JR., PRESTON KING",8
Precinct 1,"County Commissioner, District 1 (Republican)","PAPPALARDO, DOMINIC G.",58
Precinct 1,"County Commissioner, District 1 (Republican)","SKULLESTAD, JON",12
Precinct 1,DISTRICT ATTORNEY (Republican),"ARABIA, CHRISTOPHER",38
Precinct 1,DISTRICT ATTORNEY (Republican),"LAWSON, ANDRE",28
Precinct 1,Governor (Democratic),"Conquest, Frederick L.",12
Precinct 1,Governor (Democratic),None Of These Candidates,11
Precinct 1,Governor (Democratic),"Reid, Rory",16
Precinct 1,Governor (Republican),"Atwood, Tony",4
Precinct 1,Governor (Republican),"GIBBONS, JIM",30
Precinct 1,Governor (Republican),"Lusak, Stanleigh Harold",0
Precinct 1,Governor (Republican),"Montandon, Michael L.",5
Precinct 1,Governor (Republican),None Of These Candidates,7
Precinct 1,Governor (Republican),"Sandoval, Brian",32
Precinct 1,Lieutenant Governor (Democratic),"GOODMAN, Robert E. ""Bob""",6
Precinct 1,Lieutenant Governor (Democratic),"Murad, Paul",5
Precinct 1,Lieutenant Governor (Democratic),None Of These Candidates,7
Precinct 1,Lieutenant Governor (Democratic),"Randazzo, Robert S.",5
Precinct 1,Lieutenant Governor (Democratic),"Sferrazza, Jessica",15
Precinct 1,Lieutenant Governor (Republican),"Krolicki, Brian",53
Precinct 1,Lieutenant Governor (Republican),None Of These Candidates,9
Precinct 1,Lieutenant Governor (Republican),"Woollen, Barbara Lee",13
Precinct 1,"School Board Trustee, Seat A (Nonpartisan)","BROADBENT, ROBERT",105
Precinct 1,"School Board Trustee, Seat C (Nonpartisan)","HARTMAN, FREDERICK N.",110
Precinct 1,"School Board Trustee, Seat E (Nonpartisan)","DOWERS, ROBERT",106
Precinct 1,Sheriff - ESMERALDA (Nonpartisan),"ELGAN, KENNETH N.",100
Precinct 1,"State Assembly, District 36 (Democratic)","HIBBLE, RON",20
Precinct 1,"State Assembly, District 36 (Democratic)","SCHIFFMAN, HARRY J.",15
Precinct 1,"State Board of Education, District 10 (Nonpartisan)","FERRY, CLIFF",104
Precinct 1,State Controller (Republican),"Dagani, Gregory Nance",22
Precinct 1,State Controller (Republican),"Herr, Barry",25
Precinct 1,State Controller (Republican),None Of These Candidates,26
Precinct 1,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Denis ""Sam""",5
Precinct 1,"U.S. Representative in Congress, District 2 (Democratic)","McKenna, Ken",19
Precinct 1,"U.S. Representative in Congress, District 2 (Democratic)","Price, Nancy",13
Precinct 1,"U.S. Representative in Congress, District 2 (Republican)","Colletti, Patrick J.",15
Precinct 1,"U.S. Representative in Congress, District 2 (Republican)","Heller, Dean",60
