candidate,party,votes,percent,office
"ANGLE, SHARRON",REPUBLICAN,1311,67.27,U.S. Senate
"ASHJIAN, SCOTT",TEA PARTY OF NEVADA,33,1.69,U.S. Senate
"FASANO, TIM",INDEPENDENT AMERICAN,21,1.08,U.S. Senate
"HAINES, MICHAEL L.",INDEPENDENT,10,0.51,U.S. Senate
"HOLLAND, JESSE",INDEPENDENT,13,0.67,U.S. Senate
"REEVES, JEFFREY C.",INDEPENDENT,13,0.67,U.S. Senate
"REID, HARRY (Incumbent)",DEMOCRAT,442,22.68,U.S. Senate
"STAND, WIL",INDEPENDENT,18,0.92,U.S. Senate
NONE OF THESE CANDIDATES,&nbsp;,88,4.52,U.S. Senate
"BEST, RUSSELL",INDEPENDENT AMERICAN,150,7.96,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HELLER, DEAN (Incumbent)",REPUBLICAN,1396,74.10,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"PRICE, NANCY",DEMOCRAT,338,17.94,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"CURTIS, DAVID SCOTT",GREEN,12,0.62,GOVERNOR
"DISIMONE, EUGENE ""GINO""",INDEPENDENT,17,0.87,GOVERNOR
"FITZGIBBONS, FLOYD",INDEPENDENT AMERICAN,48,2.47,GOVERNOR
"HONIG, AARON Y.",INDEPENDENT,11,0.56,GOVERNOR
"LAMPITT, JR., ARTHUR FOREST",LIBERTARIAN,26,1.34,GOVERNOR
"REID, RORY",DEMOCRAT,380,19.52,GOVERNOR
"SANDOVAL, BRIAN",REPUBLICAN,1381,70.93,GOVERNOR
NONE OF THESE CANDIDATES,&nbsp;,72,3.70,GOVERNOR
"FITZGIBBONS, RYAN",INDEPENDENT AMERICAN,160,8.34,LIEUTENANT GOVERNOR
"KROLICKI, BRIAN K. (Incumbent)",REPUBLICAN,1257,65.50,LIEUTENANT GOVERNOR
"SFERRAZZA, JESSICA",DEMOCRAT,385,20.06,LIEUTENANT GOVERNOR
NONE OF THESE CANDIDATES,&nbsp;,117,6.10,LIEUTENANT GOVERNOR
"LAUER, ROB",REPUBLICAN,970,50.57,SECRETARY OF STATE
"MILLER, ROSS (Incumbent)",DEMOCRAT,645,33.63,SECRETARY OF STATE
"WAGNER, JOHN",INDEPENDENT AMERICAN,191,9.96,SECRETARY OF STATE
NONE OF THESE CANDIDATES,&nbsp;,112,5.84,SECRETARY OF STATE
"HAWKINS, MIKE",INDEPENDENT AMERICAN,159,8.28,STATE TREASURER
"MARSHALL, KATE (Incumbent)",DEMOCRAT,499,25.99,STATE TREASURER
"MARTIN, STEVEN E.",REPUBLICAN,1112,57.92,STATE TREASURER
NONE OF THESE CANDIDATES,&nbsp;,150,7.81,STATE TREASURER
"HERR, BARRY",REPUBLICAN,1103,57.72,STATE CONTROLLER
"MARKOWITZ, WARREN",INDEPENDENT AMERICAN,164,8.58,STATE CONTROLLER
"WALLIN, KIM R. (Incumbent)",DEMOCRAT,467,24.44,STATE CONTROLLER
NONE OF THESE CANDIDATES,&nbsp;,177,9.26,STATE CONTROLLER
"BARRICK, TRAVIS",REPUBLICAN,796,41.42,ATTORNEY GENERAL
"CORTEZ MASTO, CATHERINE (Incumbent)",DEMOCRAT,711,36.99,ATTORNEY GENERAL
"HANSEN, JOEL F.",INDEPENDENT AMERICAN,314,16.34,ATTORNEY GENERAL
NONE OF THESE CANDIDATES,&nbsp;,101,5.25,ATTORNEY GENERAL
"GOEDHART, ED (Incumbent)",REPUBLICAN,1089,57.08,"STATE ASSEMBLY, DISTRICT 36"
"HIBBLE, RON",DEMOCRAT,652,34.17,"STATE ASSEMBLY, DISTRICT 36"
"VANDERBEEK, DAVID",INDEPENDENT AMERICAN,167,8.75,"STATE ASSEMBLY, DISTRICT 36"
"HARDESTY, JAMES W. (Incumbent)",NONPARTISAN,1396,80.00,"SUPREME COURT JUSTICE, SEAT A"
NONE OF THESE CANDIDATES,&nbsp;,349,20.00,"SUPREME COURT JUSTICE, SEAT A"
"PARRAGUIRRE, RONALD D. (Incumbent)",NONPARTISAN,1394,80.30,"SUPREME COURT JUSTICE, SEAT E"
NONE OF THESE CANDIDATES,&nbsp;,342,19.70,"SUPREME COURT JUSTICE, SEAT E"
"MELCHER, KEVIN C.",NONPARTISAN,1012,61.86,"UNIVERSITY BOARD OF REGENTS, DISTRICT 8"
"PUCCINELLI, MARGARET",NONPARTISAN,624,38.14,"UNIVERSITY BOARD OF REGENTS, DISTRICT 8"
"DONOHUE, A. PAUL",REPUBLICAN,979,52.02,COUNTY COMM DIST. B (CW)
"LISTER, BEVAN",REPUBLICAN,903,47.98,COUNTY COMM DIST. B (CW)
"HIGBEE, JR., ED",REPUBLICAN,1743,100.00,COUNTY COMM DIST. C (CW)
"HORNBECK, RONDA",REPUBLICAN,887,46.86,COUNTY COMM DIST. D (CW)
"PHILLIPS, KEVIN J.",REPUBLICAN,1006,53.14,COUNTY COMM DIST. D (CW)
"BOUCHER, LESLIE",DEMOCRAT,1640,100.00,COUNTY RECORDER-AUDITOR
"FREHNER, DYLAN V.",REPUBLICAN,925,48.51,DISTRICT ATTORNEY
"HOOGE, DANIEL M.",REPUBLICAN,982,51.49,DISTRICT ATTORNEY
"MCBRIDE, MELANIE K.",DEMOCRAT,1642,100.00,COUNTY ASSESSOR
"LLOYD, LISA C.",REPUBLICAN,1792,100.00,COUNTY CLERK
"HIATT, KATHY C.",DEMOCRAT,1661,100.00,COUNTY TREASURER
