candidate,party,votes,percent,office
"ANGLE, SHARRON",REPUBLICAN,268,67.51,UNITED STATES SENATOR
"ASHJIAN, SCOTT",TEA PARTY OF NEVADA,10,2.52,UNITED STATES SENATOR
"FASANO, TIM",INDEPENDENT AMERICAN,10,2.52,UNITED STATES SENATOR
"HAINES, MICHAEL L.",INDEPENDENT,1,0.25,UNITED STATES SENATOR
"HOLLAND, JESSE",INDEPENDENT,4,1.01,UNITED STATES SENATOR
"REEVES, JEFFREY C.",INDEPENDENT,3,0.76,UNITED STATES SENATOR
"REID, HARRY (Incumbent)",DEMOCRAT,80,20.15,UNITED STATES SENATOR
"STAND, WIL",INDEPENDENT,7,1.76,UNITED STATES SENATOR
NONE OF THESE CANDIDATES,&nbsp;,14,3.53,UNITED STATES SENATOR
"BEST, RUSSELL",INDEPENDENT AMERICAN,50,12.99,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HELLER, DEAN (Incumbent)",REPUBLICAN,285,74.03,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"PRICE, NANCY",DEMOCRAT,50,12.99,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"CURTIS, DAVID SCOTT",GREEN,7,1.76,GOVERNOR
"DISIMONE, EUGENE ""GINO""",INDEPENDENT,6,1.51,GOVERNOR
"FITZGIBBONS, FLOYD",INDEPENDENT AMERICAN,11,2.76,GOVERNOR
"HONIG, AARON Y.",INDEPENDENT,5,1.26,GOVERNOR
"LAMPITT, JR., ARTHUR FOREST",LIBERTARIAN,12,3.02,GOVERNOR
"REID, RORY",DEMOCRAT,48,12.06,GOVERNOR
"SANDOVAL, BRIAN",REPUBLICAN,289,72.61,GOVERNOR
NONE OF THESE CANDIDATES,&nbsp;,20,5.03,GOVERNOR
"FITZGIBBONS, RYAN",INDEPENDENT AMERICAN,55,14.10,LIEUTENANT GOVERNOR
"KROLICKI, BRIAN K. (Incumbent)",REPUBLICAN,247,63.33,LIEUTENANT GOVERNOR
"SFERRAZZA, JESSICA",DEMOCRAT,61,15.64,LIEUTENANT GOVERNOR
NONE OF THESE CANDIDATES,&nbsp;,27,6.92,LIEUTENANT GOVERNOR
"LAUER, ROB",REPUBLICAN,199,50.51,SECRETARY OF STATE
"MILLER, ROSS (Incumbent)",DEMOCRAT,101,25.63,SECRETARY OF STATE
"WAGNER, JOHN",INDEPENDENT AMERICAN,70,17.77,SECRETARY OF STATE
NONE OF THESE CANDIDATES,&nbsp;,24,6.09,SECRETARY OF STATE
"HAWKINS, MIKE",INDEPENDENT AMERICAN,49,12.53,STATE TREASURER
"MARSHALL, KATE (Incumbent)",DEMOCRAT,88,22.51,STATE TREASURER
"MARTIN, STEVEN E.",REPUBLICAN,221,56.52,STATE TREASURER
NONE OF THESE CANDIDATES,&nbsp;,33,8.44,STATE TREASURER
"HERR, BARRY",REPUBLICAN,220,56.12,STATE CONTROLLER
"MARKOWITZ, WARREN",INDEPENDENT AMERICAN,59,15.05,STATE CONTROLLER
"WALLIN, KIM R. (Incumbent)",DEMOCRAT,80,20.41,STATE CONTROLLER
NONE OF THESE CANDIDATES,&nbsp;,33,8.42,STATE CONTROLLER
"BARRICK, TRAVIS",REPUBLICAN,201,51.54,ATTORNEY GENERAL
"CORTEZ  MASTO, CATHERINE (Incumbent)",DEMOCRAT,89,22.82,ATTORNEY GENERAL
"HANSEN, JOEL F.",INDEPENDENT AMERICAN,70,17.95,ATTORNEY GENERAL
NONE OF THESE CANDIDATES,&nbsp;,30,7.69,ATTORNEY GENERAL
"GOEDHART, ED (Incumbent)",REPUBLICAN,260,66.67,"STATE ASSEMBLY, DISTRICT 36"
"HIBBLE, RON",DEMOCRAT,67,17.18,"STATE ASSEMBLY, DISTRICT 36"
"VANDERBEEK, DAVID",INDEPENDENT AMERICAN,63,16.15,"STATE ASSEMBLY, DISTRICT 36"
"HARDESTY, JAMES W. (Incumbent)",NONPARTISAN,267,73.15,"SUPREME COURT JUSTICE, SEAT A"
NONE OF THESE CANDIDATES,&nbsp;,98,26.85,"SUPREME COURT JUSTICE, SEAT A"
"PARRAGUIRRE, RONALD D. (Incumbent)",NONPARTISAN,289,78.32,"SUPREME COURT JUSTICE, SEAT E"
NONE OF THESE CANDIDATES,&nbsp;,80,21.68,"SUPREME COURT JUSTICE, SEAT E"
"MELCHER, KEVIN C.",NONPARTISAN,176,51.92,"UNIVERSITY BOARD OF REGENTS, DISTRICT 8"
"PUCCINELLI, MARGARET",NONPARTISAN,163,48.08,"UNIVERSITY BOARD OF REGENTS, DISTRICT 8"
"PAPPALARDO, DOMINIC",REPUBLICAN,162,100.00,COUNTY COMMISSIONER DISTRICT 1
"BAIRD, LORIE",REPUBLICAN,118,29.87,AUDITOR/RECORDER
"SCOTT, KAREN",DEMOCRAT,277,70.13,AUDITOR/RECORDER
"ELGAN, LACINDA ""CINDY""",REPUBLICAN,352,100.00,COUNTY CLERK/TREASURER
"ARABIA, CHRISTOPHER",REPUBLICAN,113,28.83,DISTRICT ATTORNEY
"BULLOCK, JACK T. II",DEMOCRAT,91,23.21,DISTRICT ATTORNEY
"WEHRMEISTER, ARTHUR",INDEPENDENT AMERICAN,188,47.96,DISTRICT ATTORNEY
"LEE, RUTH P.",REPUBLICAN,367,100.00,COUNTY ASSESSOR
"HALL, FRANK",REPUBLICAN,342,100.00,PUBLIC ADMINISTRATOR
