precinct,office,candidate,votes
Precinct 1,Attorney General,"Barrick, Travis",101
Precinct 1,Attorney General,"CORTEZ MASTO, CATHERINE",40
Precinct 1,Attorney General,"Hansen, Joel F.",27
Precinct 1,Attorney General,None Of These Candidates,17
Precinct 1,Auditor/Recorder,"BAIRD, LORIE",55
Precinct 1,Auditor/Recorder,"SCOTT, KAREN",130
Precinct 1,COUNTY ASSESSOR,"LEE, RUTH P.",165
Precinct 1,County Clerk/Treasurer,"ELGAN, LACINDA ""CINDY""",162
Precinct 1,County Commissioner District 1,"PAPPALARDO, DOMINIC",162
Precinct 1,DISTRICT ATTORNEY,"ARABIA, CHRISTOPHER",50
Precinct 1,DISTRICT ATTORNEY,"BULLOCK, JACK T. II",68
Precinct 1,DISTRICT ATTORNEY,"WEHRMEISTER, ARTHUR",67
Precinct 1,Governor,"Curtis, David Scott",4
Precinct 1,Governor,"DiSimone, Eugene ""Gino""",4
Precinct 1,Governor,"Fitzgibbons, Floyd",7
Precinct 1,Governor,"Honig, Aaron Y.",4
Precinct 1,Governor,"Lampitt, Jr., Arthur Forest",8
Precinct 1,Governor,None Of These Candidates,14
Precinct 1,Governor,"Reid, Rory",23
Precinct 1,Governor,"Sandoval, Brian",124
Precinct 1,Lieutenant Governor,"Fitzgibbons, Ryan",28
Precinct 1,Lieutenant Governor,"KROLICKI, BRIAN K.",120
Precinct 1,Lieutenant Governor,None Of These Candidates,14
Precinct 1,Lieutenant Governor,"Sferrazza, Jessica",25
Precinct 1,PUBLIC ADMINISTRATOR,"HALL, FRANK",155
Precinct 1,Secretary Of State,"Lauer, Rob",95
Precinct 1,Secretary Of State,"MILLER, ROSS",41
Precinct 1,Secretary Of State,None Of These Candidates,13
Precinct 1,Secretary Of State,"Wagner, John",36
Precinct 1,"State Assembly, District 36","GOEDHART, ED",125
Precinct 1,"State Assembly, District 36","HIBBLE, RON",34
Precinct 1,"State Assembly, District 36","VANDERBEEK, DAVID",29
Precinct 1,State Controller,"Herr, Barry",106
Precinct 1,State Controller,"Markowitz, Warren",30
Precinct 1,State Controller,None Of These Candidates,14
Precinct 1,State Controller,"WALLIN, KIM R.",36
Precinct 1,State Treasurer,"Hawkins, Mike",26
Precinct 1,State Treasurer,"MARSHALL, KATE",39
Precinct 1,State Treasurer,"Martin, Steven E.",101
Precinct 1,State Treasurer,None Of These Candidates,20
Precinct 1,"Supreme Court Justice, Seat A","Hardesty, James W.",122
Precinct 1,"Supreme Court Justice, Seat A",None Of These Candidates,52
Precinct 1,"Supreme Court Justice, Seat E",None Of These Candidates,41
Precinct 1,"Supreme Court Justice, Seat E","PARRAGUIRRE, RONALD D.",135
Precinct 1,"U.S. Representative in Congress, District 2","Best, Russell",27
Precinct 1,"U.S. Representative in Congress, District 2","HELLER, DEAN",129
Precinct 1,"U.S. Representative in Congress, District 2","Price, Nancy",26
Precinct 1,U.S. Senate,"Angle, Sharron",121
Precinct 1,U.S. Senate,"Ashjian, Scott",6
Precinct 1,U.S. Senate,"Fasano, Tim",5
Precinct 1,U.S. Senate,"Haines, Michael L.",0
Precinct 1,U.S. Senate,"Holland, Jesse",3
Precinct 1,U.S. Senate,None Of These Candidates,6
Precinct 1,U.S. Senate,"Reeves, Jeffrey C.",0
Precinct 1,U.S. Senate,"REID, HARRY",44
Precinct 1,U.S. Senate,"Stand, Wil",3
Precinct 1,"University Board of Regents, District 8","MELCHER, KEVIN C.",79
Precinct 1,"University Board of Regents, District 8","PUCCINELLI, MARGARET",76
Precinct 2,Attorney General,"Barrick, Travis",26
Precinct 2,Attorney General,"CORTEZ MASTO, CATHERINE",6
Precinct 2,Attorney General,"Hansen, Joel F.",4
Precinct 2,Attorney General,None Of These Candidates,5
Precinct 2,Auditor/Recorder,"BAIRD, LORIE",10
Precinct 2,Auditor/Recorder,"SCOTT, KAREN",32
Precinct 2,COUNTY ASSESSOR,"LEE, RUTH P.",38
Precinct 2,County Clerk/Treasurer,"ELGAN, LACINDA ""CINDY""",33
Precinct 2,DISTRICT ATTORNEY,"ARABIA, CHRISTOPHER",12
Precinct 2,DISTRICT ATTORNEY,"BULLOCK, JACK T. II",11
Precinct 2,DISTRICT ATTORNEY,"WEHRMEISTER, ARTHUR",18
Precinct 2,Governor,"Curtis, David Scott",1
Precinct 2,Governor,"DiSimone, Eugene ""Gino""",0
Precinct 2,Governor,"Fitzgibbons, Floyd",1
Precinct 2,Governor,"Honig, Aaron Y.",0
Precinct 2,Governor,"Lampitt, Jr., Arthur Forest",1
Precinct 2,Governor,None Of These Candidates,2
Precinct 2,Governor,"Reid, Rory",5
Precinct 2,Governor,"Sandoval, Brian",32
Precinct 2,Lieutenant Governor,"Fitzgibbons, Ryan",5
Precinct 2,Lieutenant Governor,"KROLICKI, BRIAN K.",22
Precinct 2,Lieutenant Governor,None Of These Candidates,6
Precinct 2,Lieutenant Governor,"Sferrazza, Jessica",7
Precinct 2,PUBLIC ADMINISTRATOR,"HALL, FRANK",35
Precinct 2,Secretary Of State,"Lauer, Rob",27
Precinct 2,Secretary Of State,"MILLER, ROSS",7
Precinct 2,Secretary Of State,None Of These Candidates,3
Precinct 2,Secretary Of State,"Wagner, John",5
Precinct 2,"State Assembly, District 36","GOEDHART, ED",28
Precinct 2,"State Assembly, District 36","HIBBLE, RON",5
Precinct 2,"State Assembly, District 36","VANDERBEEK, DAVID",7
Precinct 2,State Controller,"Herr, Barry",26
Precinct 2,State Controller,"Markowitz, Warren",4
Precinct 2,State Controller,None Of These Candidates,4
Precinct 2,State Controller,"WALLIN, KIM R.",7
Precinct 2,State Treasurer,"Hawkins, Mike",6
Precinct 2,State Treasurer,"MARSHALL, KATE",6
Precinct 2,State Treasurer,"Martin, Steven E.",24
Precinct 2,State Treasurer,None Of These Candidates,5
Precinct 2,"Supreme Court Justice, Seat A","Hardesty, James W.",25
Precinct 2,"Supreme Court Justice, Seat A",None Of These Candidates,14
Precinct 2,"Supreme Court Justice, Seat E",None Of These Candidates,13
Precinct 2,"Supreme Court Justice, Seat E","PARRAGUIRRE, RONALD D.",26
Precinct 2,"U.S. Representative in Congress, District 2","Best, Russell",3
Precinct 2,"U.S. Representative in Congress, District 2","HELLER, DEAN",32
Precinct 2,"U.S. Representative in Congress, District 2","Price, Nancy",6
Precinct 2,U.S. Senate,"Angle, Sharron",30
Precinct 2,U.S. Senate,"Ashjian, Scott",1
Precinct 2,U.S. Senate,"Fasano, Tim",0
Precinct 2,U.S. Senate,"Haines, Michael L.",0
Precinct 2,U.S. Senate,"Holland, Jesse",0
Precinct 2,U.S. Senate,None Of These Candidates,1
Precinct 2,U.S. Senate,"Reeves, Jeffrey C.",0
Precinct 2,U.S. Senate,"REID, HARRY",9
Precinct 2,U.S. Senate,"Stand, Wil",1
Precinct 2,"University Board of Regents, District 8","MELCHER, KEVIN C.",21
Precinct 2,"University Board of Regents, District 8","PUCCINELLI, MARGARET",16
Precinct 3,Attorney General,"Barrick, Travis",67
Precinct 3,Attorney General,"CORTEZ MASTO, CATHERINE",34
Precinct 3,Attorney General,"Hansen, Joel F.",38
Precinct 3,Attorney General,None Of These Candidates,7
Precinct 3,Auditor/Recorder,"BAIRD, LORIE",47
Precinct 3,Auditor/Recorder,"SCOTT, KAREN",103
Precinct 3,COUNTY ASSESSOR,"LEE, RUTH P.",145
Precinct 3,County Clerk/Treasurer,"ELGAN, LACINDA ""CINDY""",140
Precinct 3,DISTRICT ATTORNEY,"ARABIA, CHRISTOPHER",42
Precinct 3,DISTRICT ATTORNEY,"BULLOCK, JACK T. II",10
Precinct 3,DISTRICT ATTORNEY,"WEHRMEISTER, ARTHUR",96
Precinct 3,Governor,"Curtis, David Scott",1
Precinct 3,Governor,"DiSimone, Eugene ""Gino""",2
Precinct 3,Governor,"Fitzgibbons, Floyd",3
Precinct 3,Governor,"Honig, Aaron Y.",1
Precinct 3,Governor,"Lampitt, Jr., Arthur Forest",3
Precinct 3,Governor,None Of These Candidates,4
Precinct 3,Governor,"Reid, Rory",15
Precinct 3,Governor,"Sandoval, Brian",121
Precinct 3,Lieutenant Governor,"Fitzgibbons, Ryan",20
Precinct 3,Lieutenant Governor,"KROLICKI, BRIAN K.",98
Precinct 3,Lieutenant Governor,None Of These Candidates,6
Precinct 3,Lieutenant Governor,"Sferrazza, Jessica",21
Precinct 3,PUBLIC ADMINISTRATOR,"HALL, FRANK",136
Precinct 3,Secretary Of State,"Lauer, Rob",67
Precinct 3,Secretary Of State,"MILLER, ROSS",45
Precinct 3,Secretary Of State,None Of These Candidates,8
Precinct 3,Secretary Of State,"Wagner, John",28
Precinct 3,"State Assembly, District 36","GOEDHART, ED",97
Precinct 3,"State Assembly, District 36","HIBBLE, RON",21
Precinct 3,"State Assembly, District 36","VANDERBEEK, DAVID",26
Precinct 3,State Controller,"Herr, Barry",78
